page 2	香港屋租問題續
page 3	張作霖態度強硬對長江問題始終主張任張勳為巡閱使如曹靳不從即不願再議他項　
page 3	留津各總次長定三日回京列席閣議靳雲鵬已打銷辭職意有偕同王占元回京　
page 3	二日下午日使小幡在使署宴請段芝貴李思浩曾毓雋　士　
page 3	徐世昌又派周肇祥到天津歡迎曹張王入　
page 3	張錫鑾電徐世昌聲明不願　
page 3	龍濟光運動任征粵副司令甚力並云如不允所請即　京　
page 3	曲同豐呈請曹錕張作霖准予釋放並願將個人所辦實業報效軍
page 3	徐世昌電岑春　徵求對粵　
page 3	盧永祥對於津議大不滿意密商他省將表示意見
page 3	駐京舊議員覲見徐世昌被拒　轉赴天津慫恿討
page 3	國際聯合會擬組臨時經濟委員會徵求中國意見
page 3	教職員議決下星期日照常　
page 3	日使小幡定期八日回國月後仍來華復　
page 3	慶賀孫文就任之大雨敗興
page 3	關國雄部隊候餉出發
page 3	熊略部隊赴河口
page 3	馬育航任財廳長
page 3	許崇智已返省
page 3	財廳　絀之一斑
page 3	英議院提及香港婢女問題
page 3	樂洋丸失慎續聞
page 3	軍火案
page 3	市廳改期會訂舖底頂手辦法
page 3	市教育局義務教育委員延聘顧問函
page 3	手車商人被罰
page 3	軍隊強迫銀號換紙幣
page 3	岑春　電京歷表前禮部侍郎貽穀開墾蒙古功勞且身任其咎現在蒙古王公尚受其福乞特予　
page 3	黃漢湘等為傅良佐疏通無效其他運動亦均失敗係因曹張怒甚　
page 3	顧維鈞電徐世昌謂英法對德態度尚未表決歐局或有轉移　德商約請緩　
page 3	潘復允任財長惟要求將煙酒署歸併財部撤換張壽齡
page 3	曹錕張作霖因中央窮迫有發起最高級官吏義捐說
page 3	劉湘宣言不再問全川軍事與政務如各方推舉各職亦概不就
page 3	本日因閣員大半在天津閣議停頓
page 3	香港工界印劇所將成立
page 3	西報對於朱啟鈐赴英任務之推測
page 6	鄂西統一後之各問題
page 6	王占元對豫兵變應付之實況
page 6	船政署案
page 6	瑣聞彙錄
page 6	銀價
page 6	強劫判監
page 6	被控棍騙
page 6	牛奶昧來歷
page 6	攔途截搶判監
page 6	重戀摸竊
page 6	金八卦何來
page 6	中案輪船煙案擬上控
page 6	豫亂後之趙倜地位問題
page 6	四川通信中之兩要事
page 6	延琿撤兵後之新交涉
page 6	俄新黨圈留難民之交涉
page 6	侵餉武人之難關
page 6	最近之馬良
page 6	鄂省取銷自治機關
page 6	控冒名案開審
page 6	深水　劫案再押候
page 6	意外斃命案續聞
page 6	華商總會聚會
page 6	土煙案押候
page 6	搜獲煙土
page 7	陳覺民移駐雷州
page 7	廣西民軍總司令赴封川
page 7	杜威連日演講
page 7	市財局收入短少之原因
page 7	黃大偉部開赴高雷再誌
page 7	南雄商會請除苛稅再誌
page 7	高等議會之哀的美敦書已交德使
page 7	禁煙會在滬會議之經過
page 7	國際同盟會與海牙會鴉片條約
page 7	歐陽庚赴智利代理公使任
page 7	星州政府停止管理米糧
page 7	德否認有新條款向協約國提出
page 7	美國移民案已通過
page 7	英國失業人眾
page 7	英政府之儉煤政策
page 7	英大臣對於定例限制樹膠之意見
page 7	三水西南要聞
page 7	開採煤礦請立案未准
page 7	瑣聞一束
page 7	令緝暗殺利琛艦水兵之兇手
page 7	合浦人慘遭欽軍蹂躪
page 7	催各縣組農會
page 7	工團巡遊中之槍聲驚人
page 7	請將暹華輪船公司股價建築運動場
page 9	駐京日使歸國之任務
page 9	加入萬國電報會
page 9	都護使在京設署辦公
page 9	屯墾使何須調用如許軍隊耶
page 9	直奉兩軍援庫近訊
page 9	電吳督防範黑省俄黨
page 9	蒙古王公會議之議案
page 9	天津會議聲中之鄂人驅王運動
page 9	姜桂題允不辭職矣
page 9	日人何故不撤聯絡員耶
page 9	張宗昌舊部紛紛來京
page 9	留法勤工學生消息
page 12	五四紀念日之學生巡行
page 12	孫政府之組織
page 12	軍政府命令
page 12	解決工業學校罷課風潮
page 12	議決取消市選舉證　　
page 12	又封輪渡運軍險
page 12	丘八哥虎頭釘風
page 12	大警察逼死小百姓
page 12	鄉人反對護沙之風潮
page 12	鐵路研究社之進行
page 12	一篇王大儒供狀
