page 1	撤銷華報檢查問題平議
page 2	冀魯等省文藝界主張出賣古物建設國防與其保管無力虛糜國帑何如拍賣得款充實國防
page 2	日外務省特派員太田抵京交換解決蓉案意見植田訓令部屬乘機侵華
page 2	須磨訪外張晤談一時餘
page 2	楊邵抵蓉後尚在調查中
page 2	受傷日記者乘機飛漢口
page 2	日使館員稱未提何要求
page 2	糟谷松村等聯訪劉主席
page 2	省府鄧秘書對糟谷談話
page 2	冀東特種貨物南運祇抽特稅即放行與正常關稅大有抵觸但中央謂此事無所聞
page 2	政院昨晨例會通過整理粵金融公債案債額一萬二千萬元利率四厘債期三十年定十月一日發行
page 2	報告事項
page 2	討論事項
page 2	任免事項
page 2	華南日領會議結果
page 2	日人盛倡經濟提攜聲中久滯滬濱之王克敏突然北上王稱抵平後就職否未定過青時訪韓復　晤商
page 3	馮玉祥昨日由贛赴杭過江山時曾晤張發奎
page 3	京市肅清煙毒會當眾焚燬煙具
page 3	日商在石河建人造絲工廠
page 3	中航校長黃光銳昨日宣誓就職
page 3	教部實施電影教育徵求四種影片中選者將給予鉅酬
page 3	日團體來華活動數達三千餘人
page 3	蒙匪禁糧出口
page 3	國選總所解答各種疑義
page 3	劉匪在津謀亂
page 3	中元節萬福麟放河燈橋樑突告塌觀眾多人落水
page 3	蒙旂候選人已有七處推出名單已送總所審核
page 3	僑閩日商意圖生事假醉毆逐行人
page 3	檳榔嶼華僑募款購機壽蔣成立籌委會積極進行
page 3	滬市記者公會發表國選宣言要求負責者尊重公意慎重推選國大候選人
page 3	漢市新聞記者公會推選國大代表
page 3	林主席明日由牯返京將轉九華山遊覽
page 3	吳鼎昌昨由鄂抵長沙考察湘省合作事業
page 3	地方自治法委會通過新法規案
page 3	永定河局舉行安瀾典禮
page 3	北寧路所購新車陸續點收完畢將分發各次車行駛
page 3	就業訓導班昨日截止保送人數已超出一千人
page 3	林雲陔因病赴滬就醫
page 3	臨時高考十日在京舉行
page 3	觀察者述馬德勒城恐怖情形
page 3	叛軍宣稱政府軍飛機被擊落
page 3	叛軍派艦聯合各軍攻伊倫城
page 3	西國叛軍逼首都馬德勒城將成焦土全城已陷無政府狀態無政府黨準備焚燬華麗宮室並將家屬槍斃免遭敵人捕捉
page 3	綏境蒙政會舉行二全大會晉閻派員蒞場指導
page 3	滬市各機關個別舉行宣誓
page 3	美駐滬陸戰隊期滿瓜代返國
page 3	九一記者節各地舉行慶祝
page 3	各國使節向西政府居間調停
page 3	墨索里尼演說影響歐洲和平和平會議益無望
page 3	世運中國足球在英比賽李馮表演極佳觀眾大為稱賞
page 3	那威法部限制托氏自由
page 3	粵漢鐵路昨已直達通車沿途各界熱烈慶祝
page 4	天台再戰冠軍隊鐵定今日六時在蕭頓球場
page 4	南華體育會會友籃球賽章程該賽會昨日開始報告
page 4	英京銀價無變動
page 4	英美匯兌昨報漲
page 4	港外匯市情平穩
page 4	滬外匯市情穩定
page 4	各行股票之行情
page 4	昨戰精武首佔優勢再衰三竭卒以廿七比十七而敗今晚廈精武對藍月預料有惡戰
page 5	閩邊匪共再竄詔饒之焚殺
page 5	詔屬各鄉多已赤化
page 5	捲土重來各鄉垂危
page 5	稅捐撤銷承商制暫難實現
page 5	粵省自治區召開緊急聯議
page 5	契稅減征再展期六個月
page 5	潮汕緝私之整理決組緝私總處統一緝私事務
page 5	中央軍與桂軍雙方駐地近誌
page 5	財政廳裁撤承審處訊宋子良尊重司法職權後案犯完全移交法院辦理
page 5	桂局和平之樂觀和平使者入桂前之會議議決新提條件多項對中央軍撤退一項聞李白已不堅持粵路軍運已不甚忙居程諸氏昨日赴桂和平前途當有佳音
page 6	各縣警衛隊改編尚須有待李福林堅辭保安司令
page 6	公安局佈告停收防空租捐
page 6	廣州航政局昨舉行成立典禮誌盛交次俞飛鵬監誓局姚伯龍談託取之於航者仍用之於航
page 6	禁賭會擴大宣傳
page 6	請撤銷苛稅兩誌
page 6	省行法幣改名稱為省券
page 6	各汽車增加運費
page 6	停寄保險信包裹
page 6	粵市酒樓茶室尚欲綏禁麻雀牌以挽救市面蕭條為言昨呈禁賭委員會核辦
page 6	開始禁賭日之河南巡禮
page 7	港大車士打學額已開始審查投考學生資格
page 7	日澳商約難成立澳洲名記者之談話
page 7	各店廚師紛購生雪
page 7	海軍增拓住宅區
page 7	廈山丸煙案續審
page 7	深圳賭場昨停業
page 7	帝航機趕期返港不候歐洲郵件
page 7	廖仲愷家屬請緝剌廖兇犯將向中央及粵當局呼籲
page 7	印警槍殺同侶案證供畢集詳臬定讞
page 7	羅渣士赴粵協助整理金融晤將後即召集銀行界徵詞意見貝祖詒昨日來港北返尚未有期
page 7	江寧輪有改航意
page 7	第二屆集團結婚參加情侶已足十對報名日期尚有四天是屆儀式與首屆同
page 8	衛生局昨日會議關于瘧疾及肺癆之質問主席答瘧症雖增但情形非嚴重癆症蔓延實因貧人聚居太擠擁
page 8	瘧症數目較前增加
page 8	特別步驟　須施行
page 8	肺結核症蔓延可驚
page 8	住客擠擁實難防止
page 8	回教義學開學禮紀
page 8	意外死傷之調查
page 8	起絞覆沒之鹽船
page 8	改善華報檢查辦法港政府現在縝密考慮中
page 10	新寧破輪已拍賣
page 10	本港軍訓員更調
page 10	赦特傑出院休養
page 10	偽幣案詳臬定讞
page 10	西商會定期會議
page 10	初級法庭案彙誌
page 10	虐婢
page 10	盜竊
page 10	勒索
page 10	旅行會週年會議定本月四日舉行
page 11	海盜猖獗渡船被劫
page 11	　岡後備隊起衝突
page 11	惠陽大洲海盜行劫鹽船
page 11	潮陽縣獄囚犯圖逃未遂之詳情
page 11	風災中之幸運兒覆船後漂流一晝夜遇救脫險人財無損
page 11	惠平車遭匪劫詳情
page 11	爭管廟嘗發生械鬥
page 11	可塘章姓醞釀械鬥
page 11	大洋加五發生糾紛
page 11	赴梧民船觸雷又聞
page 14	華北苟安現狀一斑綏東危機不如外傳之甚戰區反殷逆空氣甚劇烈
page 14	綏東最近真相
page 14	改組偽保安隊
page 14	日本氣象台技師談颶風之產生及其死滅起風季大致起自六月至十一月太平洋颶風多起自南洋群島間
page 14	颶風之卵穴地
page 14	起風季之早遲
page 14	價值連城一串項圈之價竟達百二十萬元美國煤油大王之女脫售
page 14	日準備大戰與國際關係
page 15	颶風與低氣壓
page 15	何謂非連續線
page 15	伊拉瓦底江上緬屬仰光風俗巡禮寺塔林立　民虔心奉佛到處都有短期和尚潑水節一到穿著薄衣的女郎　將　落湯雞
page 15	佛教
page 15	寺塔
page 15	烏鴉
page 15	施捨
page 15	女性
page 15	婚姻
page 15	喪殯
page 15	燈節
page 15	潑水　
page 15	現任總參謀長程潛用兩支槍肩起討袁的使命東征之役以少許人勝多許
page 15	世界颶風名別
