page 1	評德意軍事政治同盟
page 2	晉東北又進犯五台山晉南我攻趙城發生激戰
page 2	蔣委長在渝視察被炸災區市民感激至惡毒地泣下中央絕無移動之意
page 2	川康視察團昨抵甘孜各界開大會表示歡迎由莫組長代表分級慰問
page 2	廣州昨晨Ｘ軍又突下戒嚴令市內一切活動俱停止至正午十二時始解嚴
page 2	Ｘ機狂炸福州燬屋數百間
page 2	華北偽府承認金融政策失敗民間攜帶存儲國幣已不禁止國幣在華北結果將偽鈔壓倒
page 2	行政院會議通過內政會議延期舉行並通過內政軍政等概算案
page 2	愛國青年在滬散發傳單勸人集中力量抗戰以　得到最後勝利
page 2	有田演述政局最近發展並謂三國協定有加強必要德將勸日加入軸心國同盟
page 2	日對赤道以北各屬地謀統一行政權以便鞋將來推行南進政策拓殖相現徵求各方意見
page 2	美眾院通過海軍法案
page 2	法將建築新巨型郵船
page 2	Ｘ機炸渝英使館英將向日抗議
page 2	蔣夫人昨向澳洲廣播演說
page 2	重光葵與英外相談話英對日在華行動表示遺憾重光葵言語間則怨英助華
page 2	英皇及后在輪看戲拍球旅途生活安適
page 2	蘇聯派遣駐波大使
page 2	皖省我軍克復全椒南昌附近展開血戰高安北我克大嶺追擊殲Ｘ
page 3	懍於兵凶戰危溫莎公爵演說呼籲和平要知現代戰爭結果無論勝敗俱罹慘禍
page 3	東京某化學工廠昨晨突然爆炸傷者二百餘失蹤者三十
page 3	倫敦泰晤士報評論日空軍慘炸重慶炸彈不能威脅中國人反加強彼等抗戰決心
page 3	日輪麻立甲丸在叢林島附近遇霧沉沒葡輪布魯圖　趕往救援
page 3	德　同盟下月簽字
page 3	世運執委會將在倫敦開會日代表永井參加
page 3	西班牙退出國聯
page 3	英下院辯論英蘇締互助公約問題軍事訓練法案舉行第二次宣讀保守黨議員質問在華英僑利益
page 3	軍事訓練法案辯論
page 3	波丹金抵波蘭將與柏克進行談話
page 3	在華英僑利益問題
page 3	英意俱願意調解德波糾紛但波蘭疑意別有作用拒絕調解但澤納粹黨秘密武裝居心叵測
page 4	追撥政費
page 4	防止迫遷
page 4	捐金購債彙誌
page 4	五校舉行國民公約宣誓光華光中
page 4	肺癆症之可怖去週死九十人
page 4	粵南中學
page 4	華大中學
page 4	真光女校
page 4	立法局明日會議將討論限制迫遷新例財委會請追撥不敷政費防止虐待牲畜例再修改
page 5	我軍曾衝進惠民門
page 5	整個會城尚被包圍
page 5	北街Ｘ艦試航江河
page 5	北街機場已有Ｘ機
page 5	容桂之Ｘ全部欲撤
page 5	江鶴兩路戰況昨情
page 5	我軍紛向江會推進
page 5	我大軍增防鰲頭神岡Ｘ連日出擾不逞犯小樓觀音閣Ｘ被殲Ｘ機連日炸花縣各鄉
page 5	我機械隊增防鰲頭
page 5	Ｘ犯小樓又遭重創
page 5	Ｘ機狂炸花縣各地
page 5	觀音閣我Ｘ之劇戰
page 5	翟司令昨出巡
page 5	廣九路沿線戰訊澈底破壞各公路Ｘ再擾寮步不逞
page 5	Ｘ軍再擾寮步
page 5	劉發愚部殲Ｘ
page 5	潮汕遭炸後加緊救濟已疏散之婦孺不准返市沿海各地方現均甚寧謐
page 5	容桂Ｘ軍來去飄忽
page 5	偽軍反正在花地激戰
page 5	廣州Ｘ軍戒嚴
page 5	轟炸之後繼以覆舟
page 5	難民眾多加緊救濟
page 5	禁止流散婦孺返市
page 5	我圍攻新會城部隊曾衝進惠民門大獲戰果蔡廷楷氏指揮進攻江會容桂Ｘ有全部撤退之勢
page 6	朱六峽大戰之經過
page 6	Ｘ勢已疲我克要點
page 6	南沙Ｘ艦他去
page 6	增城從化之Ｘ今晨侵擾我陣地
page 6	粵省救濟事業分　極消極兩方面
page 6	消極方面
page 6	積極方面
page 6	梧嚴查入口旅客
page 6	粵參議會仍趕十五成立
page 6	民眾動員在西江一
page 6	Ｘ機昨進襲粵北韶各機蘭紀念五九
page 6	南路各屬安謐如常週來Ｘ艦已大部他駛無異動免稅洋米十萬擔運高雷救濟
page 6	南路安謐人心鎮定
page 6	洋米十萬分配救濟
page 6	中山岐關車失慎傾覆死傷數人
page 6	犯企人石Ｘ艦昨駛九洲貨艇來往又遭窒礙
page 6	吉利渡在南滘又遭匪劫損失三千餘元
page 6	古鼎華電請嘉獎梁卓奮勇殺退Ｘ人
page 6	順德新縣長劉超常將到任
page 6	鶴山朱六峽大戰經過某師長親臨督師高明城轉危為安
page 7	主席宣布開會理由
page 7	葉蘭泉氏致開幕詞
page 7	來賓演講印刷事業
page 7	選出職員通過章程
page 7	華商會昨未討論國民宣誓提案聞已函覆原提議人決不舉行會議曾請記者退席
page 7	嚴禁販賣河豚醫務總監之通告
page 7	印刷業商會昨日成立大會議決聘葉蘭泉為名譽會長聚珍書樓鄧潔士等為執監委員
page 8	街市檯位招投經過
page 8	租值之高竟出意料
page 8	中區增建水廁問題
page 8	痛斥日本空軍南華早報之社論
page 8	工業合作運動馬尼剌進行最積極組織國際推進委員會已募得經費廿五萬元
page 8	留港難民續減較前週少六百餘人
page 8	文化社將舉行國民宣誓典禮
page 8	瑪麗醫院鐵肺裝配完妥
page 8	婦慰分會常會
page 8	賑聯會議決重演黃花崗
page 8	港歐航運保險費回跌一律減低七先令六辦士
page 8	外艦來去調查
page 8	劉君任蘇安平夫婦訟案未了劉謂蘇導兒女迷信神佛
page 8	繳納學費
page 8	開設畫院
page 8	兒童迷信
page 8	自治精神
page 8	留港燕大同學招待司徒雷登
page 8	建費八十萬之中市年租竟達三十四萬元港政府希望亦不過二十五萬衛生局長謂有致取償于物價
page 10	貢獻給本港籃球界三
page 10	學界排球戰績保羅培英英皇告捷
page 10	菲台維斯杯兩選手明日過港赴美
page 10	今日網球雙打徐家軍對何李組是一幕爭霸戰
page 10	小型球賽消息
page 10	宵來籃球聯賽警察不敵廣大乙組記者破紅星獲首次勝利三十二比二十四廣中克大中
