page 1	美艦隊將巡航遠東
page 2	美行動愈益積極太平洋艦隊主力明春將作遠東巡航美議員主移運日軍火助華野村未赴美前將來華視察
page 2	蘇聯貫徹援華遠東情勢好轉
page 2	野村來華視察日報再煽反美
page 2	美國朝野一致主張財政援英
page 2	視察災區
page 2	美在海參威設領蘇已同意
page 2	德在英各口岸施放魚雷英　雷艇數艘沉沒
page 2	德法兩國締結經濟協定規定兩國貨幣匯率每馬克值二十佛郎
page 2	蔣委員長在紀念週講演一痛駁日汪私約
page 2	蘇聯女共黨在法秘密活動性清　酷槍法甚準警察捕獲有若干名
page 2	英國空軍炸意國圖林城又炸非亞脫飛機廠德機仍向倫敦轟炸
page 2	英國會否決和平呼籲美國輿論大感興奮對德意警告表示決作戰到底德使巴本勸土調停意希戰事
page 2	轟炸馬賽事件英答覆法抗議謂係一種誤認
page 2	美財長宣佈擬貸款阿根廷數額五千萬金元
page 2	南大西洋中英巡艦遭暗算偽裝艦擊傷英艦
page 2	古巴注意第五縱隊活動
page 2	匈外長將訪南國或　　　友好協定
page 3	希軍窮追敵人使無喘息機會
page 3	英軍事評論家主張希軍窮追
page 3	諒山區域日軍全撤法軍開入接防越對泰國取靜觀態度現極力鎮壓共黨暴動
page 3	越經濟代表團過岷尼剌將轉道往神戶與日經濟談判
page 3	羅斯福將要求國會批准美加水電條約目的在完成聖羅蘭士水道工程
page 3	美紅會賑華藥物運出兩批值三十五萬美金
page 3	泰僑獻旗
page 3	阿部抵漢今日乘機返日
page 3	辦理桂省急賑中央撥款百萬元
page 3	彭澤附近激戰我軍連克重要據點蘇北淮安寶應日軍出擾被擊官昌近郊日軍被　死傷甚重
page 3	滬寧路炸車案日謂尋得線索兇手多人被捕
page 3	滬工部局接納華捕加薪要求罷崗醞釀已中止
page 3	褚民誼赴日本年底即可實現滿洲派員駐南京
page 3	滬法界六中學移交汪政權有等著名小學準備自動解散
page 3	大西洋輪船五艘發出求救警號
page 3	鄂政治顧問夏道子被刺傷
page 3	羅官方否認續有德軍開到
page 3	英輪雷電帝國號發出遇難警號遭遇強烈之西風
page 3	美海長乘機檢閱海軍羅斯福視察京十頓
page 3	在冰天雪地中希軍長驅直進佔領聖德瓜蘭達意軍受壓迫全線搖動向北方退卻狀極狼狽
page 5	廣州劫案繼續發生七銀號又被劫地點各異時間則同損失共約四萬餘元
page 5	汪軍委會擬收編瓊附日軍後宮一度飛越
page 5	興寧縣城繁盛近況米價仍昂幸有鄰縣接濟
page 5	禁止資日物品運滬須由政府公商會證明並以租界範圍為限度供給我國或友邦廠商
page 5	粵慰勞團抵桂
page 5	挺進隊長張元抵韶述職
page 5	日軍以台廈作南侵根據地編南洋挺進隊四百擴充廈金各地機場
page 5	劉侯武視察粵政觀感財政收支不平衡宜增地稅國米輸粵亟宜加強運輸力
page 5	粵加緊整理全省公路修築原日公路及興築新線減少車輛消耗改裝木炭爐
page 5	某軍要與記者談鶴山陣地穩固日不敢來犯日增兵江佛路祗是虛張聲勢新開新鶴兩線連日均有砲戰
page 6	沙魚涌葵涌之現狀
page 6	日軍千餘開抵深圳
page 6	惠城市區兩度被炸
page 6	炸彈頻發生後廣州形勢緊張日兵二千增防市西河北可南交通斷絕
page 6	瓊州海峽日艦移集潿州海面瓊崖我軍出擊奏捷
page 6	淡水澳頭亦被肆虐
page 6	行政巡察團來粵視察陳禮江視察教育
page 6	瓊救鄉會會議
page 6	中山大學各院陸續開課各院補招新生考試完竣
page 6	粵省府擬定征收自治戶捐辦法補助各縣自治經費即停止自治協助員改充允區指導員
page 6	東江淪陷區匪盜猖獗匪炸渡船死傷五十餘人
page 6	粵汽車商組聯營互助社推定各屬代表幹事
page 6	日機連日炸東江各地貨物損失共達千萬元以上日軍千餘昨調抵寶安換防
page 7	不離港者幸勿爭先
page 7	新訂辦法憑籌領證
page 7	代領證社紛紛成立
page 7	居民會代會員領證
page 7	中華書局貨倉謀殺案疑犯今晨提堂被害人胡東樵遺骸已收殮王新家仍候政府醫官檢驗
page 7	在美備受僑胞歡迎
page 7	美洲僑胞認銷航券達美金六百萬勸銷任務告一段落陳雲等回國覆命
page 7	國貨展覽場作古城形極壯觀昨日已開始蓋搭
page 7	認購航券熱烈情形
page 7	粵省府組文化促進會李浴日請港名流贊助
page 7	農植訓練所定十五日開幕已取錄學員五十名
page 7	菲僑胞亦踴躍認購
page 7	美洲各地報認數字
page 7	富勵士發表談話決改善頒移民證手續下星期起憑籌領證以防舞弊對領證代理處無給予優先權
page 8	違背命令將予軍罰
page 8	政府囤米暫不動用
page 8	截獲大批私運米石
page 8	林主席發起追悼徐廉定明年二月在本港舉行
page 8	日澳關係
page 8	澳洲首任駐日公使談澳絕對不受戰爭威脅民眾一致擁護英國長期抗戰對援華問題請記者觀察事實
page 8	昨日柴價仍未回跌
page 8	援華問題
page 8	爵士略歷
page 8	記者圖書館實行全部開放各界續有贈送書籍
page 8	各區防空洞將有兩種用途戰時避彈平時設攤位賣貨灣仔街市一洞月底可竣工
page 8	串竊郵件案詳臬定讞兩被告被回控罪名
page 8	商會秘密會議
page 8	傳美國將禁港奢侈品入口
page 8	知用中學開慈善音樂會全港音樂家均參加
page 8	兩漁船出海又被焚昨拖回鴨巴甸漁人震動紛請本港政府予以保障
page 8	又一貨艇被劫損失約二萬元
page 8	兩賣物會開幕募款救濟難民與孤兒
page 8	人才調劑協會繼續考選技工
page 8	汽車輾斃婦人
page 8	逼人入會疑案被告九人已獲釋一押侯下週再審
page 8	九龍警探破獲兩字花廠兩賭徒被懲罰
page 8	偽幣案昨詳臬
page 8	製漆廠發生火警
page 8	留港粵參議員昨晚　座　酒家舉行座談會各員互相酬酢至為　洽
page 8	零售商陽奉陰違上米每元仍售五斤半多數米店不將價目標出統制署已派員嚴密查究
page 10	今日甲組足球三場南華重逢蘇軍光華出戰香港會聖約瑟對九龍會
page 10	四四金昨趨跌較前日收市跌二毫九
page 10	國幣市價平穩收市二四二三七五
page 10	滬市英匯略緊美匯穩定
page 10	英美銀價無變
page 10	內地魚菜源源運港本港市價陸續低跌
page 10	明日聯賽東星大戰星島擬請改期不確
page 10	一週間本港股份市情大部價格升漲成交極多
page 10	仿林華雄合辦男女籃球義賽一切開支由兩會自行負擔
page 10	學界籃球戰訊
page 10	南華陸運大會展期止截報名
page 10	申電昨日轉鬆港市美匯續漲暹匯略縮
page 11	轟炸中的倫敦
page 11	奇異的炸彈
page 11	英德海軍最近戰史拉巴拉他海之戰下德袖珍艦斯比上將號自沉經過
page 11	土耳其的海軍
