page 1	德法休戰後之歐局
page 2	南昌附近殲日盈千我軍乘勝抵朱河潮贛北我某部攻克安義南宋埠
page 2	嘉獎助戰民眾綏舉行盛大給獎禮受獎者有抬送傷兵之纏足婦女有捐資收容傷兵之僧俗有獨力殺日十餘之農民
page 2	陝省農貸接洽完竣正式合同日內簽字
page 2	在華猶太人將組猶太軍參加聯軍作戰
page 2	世界紛亂局面中美負重要任務助英國為民主國家爭取勝利遠東局面之受威脅美應注意
page 2	漢奸觸犯日怒被日槍殺
page 2	視察三原臨潼
page 2	政視團第二組已抵韶關
page 2	日長澤大佐在鄂北被擊斃
page 2	美海軍擴充案下院過通
page 2	美洲各國贊成汎美會議
page 2	朱家驊演講學校黨務的銓釋在嚴守秩序紀律中求學校黨務之推進
page 2	渝滬人士贊成史任陸長
page 2	綏境日軍蠢動不逞
page 2	世外桃源
page 2	德法休戰協定簽字
page 2	我軍猛攻佔鎮鏡山整個宜昌受我瞰制當宜日軍主力被擊破遺屍五千
page 3	南僑團向傳將軍獻旗
page 3	羅馬教皇派員赴葡慶賀
page 3	條件內容傳極苛酷
page 3	英國首相發表聲明
page 3	秘魯東南發現世外桃源與世隔絕已有二十五年
page 3	英空軍之戰績炸傷德巡艦槎航士號大舉轟炸德機廠油廠
page 3	美國共和黨舉行代表大會選出該黨候選總統利用反戰宣傳倒羅
page 3	波羅的海沿岸諸國現已開始赤化法國失敗反共陣線隨之崩潰貝當或　提議大赦共產黨人
page 3	意潛艇中彈投降
page 3	美國反日巨頭史汀生
page 3	法方代表沉痛聲明
page 3	法殖民地繼續抗戰
page 3	德法簽立休戰協定法代表首途往意國法海外殖民地決仍繼續戰爭邱吉爾勸勉法志士助英奮鬥
page 5	日偽續到深圳情形
page 5	日機續炸龍崗雁田
page 5	沙頭角昨仍在我手
page 5	揚言北竄以圖威脅
page 5	內地交通情形昨訊
page 5	游擊隊抗戰有功長官傳令嘉獎
page 5	中央調整綏署省府職權
page 5	日感兵源枯竭擬強征我壯丁二萬餘限三星期內募足
page 5	各縣兵役賑濟成績定為首要考成
page 5	大良日軍搶攤被歹徒攔途襲擊
page 5	桂林北門外大火災
page 5	板垣由瓊飛返廣州召開軍事密議
page 5	鹽步偽維持會長庇賭被人擊斃
page 5	日軍返援江門後鶴洲對河日軍已撤古井勢緩睦洲日軍竟向三江勒索萬元日艦進窺三洲口遭我軍擊退
page 5	中山艦艇多已東駛
page 5	日向三江勒索萬元
page 5	日艦數艘圖窺三洲
page 5	東江日軍犯聯和小樓均不逞在小樓大肆焚殺燬民房數十日機轟炸麻榨各地並窺羅浮
page 5	沿博增公路向聯和進犯
page 5	迭派隊向外圍各地搜索
page 5	龍門麻搾附近發現日機
page 5	第二批候用公務員審竣分別通知入所招待及撤銷登記
page 5	日偽再犯南頭深圳續訊深圳續到日偽軍分駐各地日機續向龍崗等地投炸彈日揚言北犯實以封鎖為威脅蛇口及沙魚涌之交通昨訊
page 6	廣從沿線搏戰激烈
page 6	粵路我軍進襲高塘
page 6	海豐糧食來源告絕
page 6	英德慰勞傷兵記前方將士在流血戰區民眾在流汗
page 6	省衛生處普遍推行防疫運動韶關發生霍亂症
page 6	省主席李漢魂昨再申禁賭令
page 6	教廳訂定暑期補習辦法
page 6	粵北連日激戰神岡日軍反撲大崗嶺李師痛予殲擊日重創回竄我軍進襲高塘墟攻入新田
page 7	港貨運越無形中斷越貨運港仍如常暢通
page 7	本港各界昨追悼馮天如
page 7	東港口水雷重新佈置輪船進出口者務宜小心
page 7	歐戰發生後僑胞紛紛返國五月內數達四千餘人經港匯款國幣五千萬
page 7	新會商會新選董事題名
page 7	四人行竊水喉
page 7	警察司收管市民槍械限本月廿七日前交到總警署待將來戰事停止後始行發還
page 8	五千難民逃至新界
page 8	南頭之北我軍抗戰
page 8	警員照料入境難民
page 8	數難民營重行開放
page 8	餐室工會舉行一週紀念第二屆職員宣誓就職
page 8	何公灣海面兩艘貨艇被劫賊黨八人一網成擒
page 8	限制移民委會報告書將完成
page 8	粵救護會常會
page 8	洗染商店起價
page 8	英人堅信抗戰必勝華籍海員返港之談話
page 8	義軍整日演習不久可以實現
page 8	男女兩賊行劫村婦以石將婦擊暈掠去二百元
page 8	逃難老農之血淚語
page 8	昨日邊界安謐如常
page 8	日機追炸寶安難民深圳鄉村被炸大火新界可望見本港邊境安謐居民可毋庸驚擾
page 10	小型球友誼賽住聯會挫記者
page 10	今夕籃球賽程
page 10	南華游藝部動態
page 10	白蘿仙盃準決賽西園僅勝尖沙嘴
page 10	水球友誼賽消息
page 10	青支會第一次水藝會昨日舉行成績甚佳
page 10	棒球聯賽昨僅一場戰事香港挫南華成績為九比四首場因雨改期
