page 1	南昌退出後之戰局
page 2	魯東我軍克復榮成傷亡數百人
page 2	我正規軍大舉渡過錢江將會攻杭州Ｘ甚形恐慌
page 2	我正規軍深入滬市腹地
page 2	我軍反攻南昌近郊一帶展開激戰武寧東北我Ｘ仍在血戰中南潯路我軍向靖安反攻
page 2	冀偽省府群醜惶惶由平遷往保定漢奸不敢隨行
page 2	鄂南我游擊隊擊傷Ｘ艦三艘
page 2	偽軍郭德俊部被我全部解決繳獲五百餘支俘偽軍三百餘
page 2	日機轟炸美教會美大使提抗議
page 2	寧偽各傀儡內訌日益尖銳
page 2	四國反侵略宣言將由英法會同發表波國則已拒不參加
page 2	皖中連日激戰
page 2	陝川公路建築猛進由成都至寶雞七百公里路面平闊沿途車輛絡繹
page 2	Ｘ向江門進迫我自衛圍四起圍擊
page 2	國府暨各地黨部舉行紀念先烈典禮在此抗戰建國緊要關頭應效先烈犧牲精神奮鬥
page 2	川康公路正積極興築中
page 2	湘北我某部向南林橋進擊
page 2	淪陷區之Ｘ勒索雜稅益厲
page 2	我軍猛攻信陽克復王莊等要地鄂中Ｘ強渡未逞
page 3	美延長貨幣法有效期延長至一九四一年六月卅日
page 3	對義務兵役案英閣意見分歧外相表示贊同財相反對甚力
page 3	瑪德里政治犯已獲一律釋放西國防委會移瓦倫西亞
page 3	泰晤士河橋被暴徒炸毀
page 3	羅傑氏下月二日來港
page 3	澳洲決施行國民兵役制
page 3	德將視波蘭為捷克第二德軍大舉向但澤調動波通知德但澤問題無討論餘地德各報發表激烈言論攻擊波蘭
page 3	德羅協定影響偽滿輸出
page 3	羅斯福批准增建新艦兩艘
page 3	法國競選熱鬧
page 3	戈培爾已抵匈
page 3	一週戰況廿三日至廿九日軍事委員會發表
page 3	印度議會決議拒絕英印商約
page 3	美總工會會長主張抵制德貨
page 3	贛北方面
page 3	廣東方面
page 3	蘇洲方面
page 3	河南方面
page 3	謀抵抗德國侵略英法擬締結軍事同盟波羅亦將加入但未約蘇聯參加英法正迫波羅以全力保持邊疆
page 4	港府華員將旅行新娘潭
page 4	麻纜公司年報
page 4	車輛失事統計去週死三人傷廿五人
page 4	各難民營人數統計較前星期增加二百餘人
page 4	澳門馬票將開彩
page 4	救傷隊定期大操
page 4	李樹培夫人返港
