page 1	Ｘ機濫施空襲感言
page 2	我空軍飛晉南運城炸毀Ｘ機四十餘架造成廿八年度之第一次奇功
page 2	我軍夜襲鉅鹿斃Ｘ數百後安然退出
page 2	平偽令禁法幣流通華北
page 2	昆明市商舉行義賣獻金各商行踴躍捐輸
page 2	天津市民聯函英國大使藉以表示歡迎與敬意對Ｘ偽組織決不屈服
page 2	Ｘ犯牯嶺被我擊退
page 2	沿海Ｘ艦不絕截搜外輪外輪多艘被扣留廈港
page 2	我游擊隊進攻保定平漢車因此不通
page 2	Ｘ在淪陷區強征壯丁入伍年歲由二十至四十五違則以抗日論罪處罰
page 2	三水對岸已無Ｘ蹤
page 2	滬我游擊隊奪獲Ｘ人軍械機槍十一梃高射炮一架
page 2	中條山南Ｘ軍續向芮城西潰晉東我軍繼續收復曲周我空軍飛晉助陸軍作戰
page 2	汪精衛女來港訪林
page 2	晉東我軍續克曲周
page 2	我空軍出動炸晉Ｘ
page 2	霍縣之Ｘ謀犯汾西
page 2	Ｘ在東峪里放毒彈
page 2	綏Ｘ殘殺漢奸
page 2	Ｘ軍反戰情緒激烈Ｘ軍三千在大沽口譁變江陰之Ｘ五百反戰暴動
page 3	英謀排除意在西勢力擬貸款西國民軍政府
page 3	意國最高委員會公報志願兵不肯退出西境
page 3	抗戰時期教育統計教部統計室所發表
page 3	法總統向國人呼籲恢復法國國力為維持世界秩序之基礎法國必須擁有雄厚勢力
page 3	匈捷邊境發生糾紛
page 3	帝大教授永井辭職反對清黨運動
page 3	日繼續與蘇談判漁約
page 3	西國總理已赴法國
page 3	美國明年選舉總統報界贊美藍敦
page 3	張伯倫宣稱英法必須聯合抵抗外來一切威脅
page 3	為對抗德意計法擬添建潛艇現法潛艇僅及德意半數因此法國必須急起直追
page 3	美國會將澈底討論外交政策美國之國防前線是否在萊茵河上
page 3	卡爾由津抵平
page 3	江南造船所日工反戰被檢舉調往充軍
page 3	拉卜楞僧俗慰代團返抵蘭州深感中央關念邊民
page 3	英國會改選定十月間舉行
page 3	赫禮歐否認參加大選
page 3	星加坡舉行人力登記應付非常時期
page 3	德鐵道交通遭受困難失事誤點情事層見迭出國營鐵道公司急謀補救
page 3	我游擊隊開抵浦東高橋
page 3	漢奸下場偽新聞檢查所主任錢華被刺重傷斃命偽難民給養組主任朱錦濤亦被刺斃命
page 3	日外務省拒絕英美通牒對華問題不能接納英美意見
page 3	捷匈會談邊境衝突事件
page 3	汪精衛行將赴歐經向外部領得護照
page 3	西政府軍已崩潰謀作和平談判但國民軍方面不允接納僅能考慮無條件之投降
page 4	四少　亞利孖　大律師盤問
page 4	花式單中行數張字跡相同
page 4	圖劫疑犯詳臬
page 4	捐金購債彙誌
page 4	廣大校考驗新生
page 4	福特車由渝赴緬
page 4	本港當局設分區防空班
page 4	僕僕港日
page 4	年宵節約運動雜木行又起響應
page 4	崇正總會積極賑濟難民
page 4	索償保險費案仍未了黃潤堂解釋更改簿據理由
page 5	我機隊連日活躍向九江河清間低飛偵察九江Ｘ強拉壯丁挖掘山洞
page 5	Ｘ機連擾新台各地轟炸會城新昌
page 5	炸會城西河口
page 5	炸台山新昌埠
page 5	從化以南劇戰續誌梁師克復大岡嶺
page 5	大岡嶺我Ｘ拉鋸戰
page 5	增城花縣Ｘ情另誌
page 5	各游擊區司令部結束續訊
page 5	東路大戰一觸即發新四軍勢力之加增華北游擊派員南來
page 5	華北代表南來
page 5	四縣防務聯絡
page 5	新四軍之勢力
page 5	三水之Ｘ西犯被擊退經過去月卅一日與本月一日之戰情我軍進襲Ｘ陣之戰果鄧部已開抵西江佈防
page 6	福建又宣佈禁米運潮東北各縣米價飛漲
page 6	太平之Ｘ圖犯寶安另訊
page 6	新造再度淪陷慘狀強迫壯丁受訓搜刮民間銅鐵
page 6	翠亨村前Ｘ機又截擊客車傷斃多命Ｘ機四架低飛層次分明機槍掃射客車我無辜民眾慘被屠殺死傷七人
page 6	東寶惠鄉村遭Ｘ狂炸受災慘重
page 6	由北江入桂迂迴肇慶
page 6	順德縣府救濟米荒禁止米石出口組糧食救濟會
page 6	南禺花鄉民被Ｘ轟炸ＸＸ投彈三百餘枚鄉民紛紛逃難
page 6	客車開動
page 6	昨傳Ｘ在赤灣登陸係漁民誤會虛報
page 6	高等法院審判部遷往恩平辦公巡迴審判三月一日實行
page 6	潮汕煙絲商人力爭承辦菸稅
page 6	潮汕防軍舉行戰鬥演習
page 6	汕警察局長近有易人消息
page 6	Ｘ機斷狂炸下四會被災情形慘重被Ｘ機轟炸達十八次全縣並施行臨時戒嚴
page 6	Ｘ機轟炸
page 6	Ｘ艇截擊新美星輪　炮擊沉Ｘ艇
page 7	突來六賊
page 7	損失調查
page 7	小童舞獅還債
page 7	報警查究
page 7	發生地點
page 7	店中職員
page 7	老翁慘死
page 7	中央振委會長許世英慰問深圳難民壯丁已全部回鄉重行生產婦孺老弱留所達四千餘人
page 7	各界追悼美醫師達保羅
page 7	大批英艦準備赴星參加海軍大操操演日期未定約在下月中旬將由駐華印兩艦隊司令指揮
page 7	中環果販團贈醫處已結束
page 7	海龍帆船遊蹤現已離港百七十五里
page 7	救濟學生委會今午開聯誼會
page 7	六賊夜劫紅磡雜貨店老司數員被縛窒息死夾萬鎖匙幸由司理攜去僅被掠零碎現款數十元
page 8	搜獲大批紅丸兩疑犯　臬定讞
page 8	難民工業社明日行開幕禮
page 8	中國工業合作協會發表初期工作報告書望得專家及熱心人士援助
page 8	中英商訂民航新約我國將闢滇緬航空線
page 8	禁巴士賣票員拒用小型鎳幣
page 8	第四級制水可不致施行
page 8	私鑄疑案詳臬
page 8	械劫庶母疑案
page 8	猶太難民千餘人將過港
page 8	澳門馬票開彩首名四一七一零
page 8	賑聯會常會紀
page 8	中大服務團捐助東江戰士
page 8	粵　政府設漁墾區救濟漁民地點已擇定　要三區迴龍站僑委會奉政院令告港漁協會
page 10	內次黃季陸返蓉後西康新省印象山川幽美資源豐富前途無量省府銳意建設人民忠實健強
page 10	廣西省會傷兵之友積極活動開籌備會情緒緊張熱烈中外人士願做傷兵之友蔣夫人捐款三千元
page 10	Ｘ軍反戰蓬勃散發傳單高呼打倒軍部號召在華軍人停戰回國
page 11	籃球聯會昨開二次會議下星期一舉行義賽由東方會對星島隊
page 11	校際乒乓賽本月十日頒獎
page 11	第二週榮業牌賽健光昨克天台今日威靈頓對超超
page 11	足球總會昨議決麗華杯決賽提前舉行特別銀牌南南三戰九龍未定球場
