page 1	太平洋上之九一八
page 2	冀南激戰我軍迭獲勝利Ｘ增兵反攻威縣散我退出郊外晉南運城Ｘ西移我嚴密監視
page 2	晉東和順Ｘ被截擊
page 2	晉南運城Ｘ向西移
page 2	籐井指揮汾城Ｘ軍
page 2	晉北五台Ｘ增新兵
page 2	同蒲路Ｘ車觸地雷
page 2	豫北原武Ｘ無變化
page 2	我壯丁夜中起事焚燬Ｘ砲彈四百餘箱
page 2	Ｘ在劉村土門強徵壯丁
page 2	杭州以東我軍包圍平湖Ｘ由嘉興調兵增
page 2	牯嶺外僑決定撤退撤退之期未定
page 2	鄂中Ｘ軍仍圖西犯日來積極補充
page 2	吳佩孚決不為Ｘ用土肥原三次晉謁均告失敗
page 2	　軍再度克菱湖鎮
page 2	我向美定購大批新式飛機上下飛行速率甚高每小時飛三百英里
page 2	保定偽軍全部反正
page 2	汪精衛留居海防
page 2	征收物品移動稅Ｘ加緊操縱長江商業Ｘ運艦　來軍用品免稅
page 2	上海西區又發生一命案某煤公司主人被殺身中兩彈頭部被砍
page 2	滬足球員昨乘泰生輪南下參加埠際足球賽
page 2	張善孖作品在法展覽
page 2	Ｘ趕收隴海路謀與平漢接軌我方積極襲擊打破Ｘ人夢想
page 2	贛北之Ｘ犯老虎山受挫
page 2	Ｘ擬控制淪陷區域外匯日貨輸入淪陷區佔總額百分六十
page 2	津Ｘ在法界故意製造恐怖企圖淆惑人心
page 2	Ｘ柳下中將由石家庄抵晉
page 2	英使在津視察開灤煤礦　日後返滬
page 2	西政府官員已重返馬德里西國民軍飛機轟炸瓦倫西亞
page 2	美國防預算案眾院改期討論為哀悼教皇
page 2	羅馬各界舉行教皇奉安大典
page 2	羅京警察發現謀殺內長陰謀各犯均為鐵衛團員
page 2	Ｘ在海南島登陸後遭我抵抗未能深入仍在瓊山附近一帶激戰三水Ｘ軍戒備防我進襲
page 3	法日關係橫生枝節
page 3	新山西概談一
page 3	德邀法外長再度赴德協商歐洲問題
page 3	柏林傳出消息意盼法國允許其要求以為意志願兵自西撤退交換條件
page 3	美國今日開始舉行海軍演習規模之大為有史以來未有共軍艇百餘艘飛機六百架
page 3	寇爾赴秦皇島
page 3	對海南島事件英法態度一致美方則表示驚異
page 4	少婦服毒獲救
page 4	粉嶺昨日賽馬
page 4	婦人自縊殞命
page 4	皇仁書院基石在該院之東北角
page 4	犬展會籌備忙
page 4	學界獻金徵信錄
page 4	西河堂募債成績
page 4	國泰院招待各界
page 4	輪艇互撞艇覆沒
page 4	電報生回國服務
page 4	紅磡劫殺案獲五疑犯店伴梁周被疑串同行劫
page 5	粵保留六個游擊區司令由軍委會直接委任各縣設縱隊司令指揮抗Ｘ自衛團
page 5	虎門外之貨艇被焚慘劇
page 5	粵省戰時教育本學期用導師制
page 5	我機隊昨又炸Ｘ艦Ｘ營Ｘ艦兩艘沉沒四艘受傷白沙機場Ｘ軍品悉被燬
page 5	掃蕩珠江Ｘ艦
page 5	猛炸太平Ｘ陣
page 5	翁照垣張炎調任四戰區部參議劉志陸任顧問
page 5	廣州市南Ｘ軍調援各線河南Ｘ軍之調查
page 5	淪陷區內游擊戰之成績
page 5	東西北三路戰況彙誌我軍反攻Ｘ傷亡慘重石龍Ｘ軍竄擾博羅派潭正果被擊潰敗神岡我軍斬Ｘ數百西江戰事仍無變化
page 5	東江戰事再復展開
page 5	石龍Ｘ軍突犯博羅
page 5	派潭正果已無Ｘ蹤
page 5	神崗激戰斬Ｘ數百
page 5	西江戰情又呈膠著
page 5	鄧夏會商作戰計劃
page 5	番順交界河南匪風猖獗船舶大受其害
page 5	欖岡Ｘ遭圍擊後南潰廣三鐵路Ｘ軍運連日不停前犯舊三水之傷兵運大範觸目驚心　苦煞傀儡之舉動
page 6	官吏更動
page 6	新政綱要
page 6	訓練人才
page 6	省府遷韶
page 6	財廳頒佈整理營稅辦法
page 6	訪問稅警總團一
page 6	Ｘ軍在烏洲島闢築機場強拉鄉民漁民作工
page 6	南莞縣長易人寶安縣長亦將更動訊
page 6	Ｘ機八架昨又瘋狂濫炸鶴山沙坪鎮投彈達廿餘枚燬舖戶甚多平民無辜被炸死傷卅餘人
page 6	順德三十六鄉聯防禦匪麥德裕為聯防主任
page 6	海康縣府組冬防巡路隊並禁止遊神演戲
page 6	江門省行復業擬定十三或廿日復業
page 6	新會還債運動增印債券一萬元
page 6	九江Ｘ人化裝向我剌探自衛團分頭查緝
page 6	李漢魂之革新粵政羅置大批人才訓練幹部保甲及民眾武力效廣西
page 7	住客聯會呈　政府頒保障學校商號專章奪舖迫遷不惟影響商業整個社會安寧亦受其害
page 7	學賑會服務團今日授旗十五日出發
page 7	港府擴充義軍甲車隊將委專任教官訓練
page 7	北江郵運復通
page 7	胡文燦昨赴韶
page 7	摩托車總工會新職員昨就職
page 7	港九北上服務團張任濤報告書
page 7	瓊僑聯合總會昨開救鄉會議即日成立瓊崖難民救濟會分電政府及邑僑速起救濟
page 7	新疆輪昨返港船員搭客談海口我Ｘ劇戰經過Ｘ機數十架掩護艦隊進犯我軍奮勇還擊毀Ｘ艦一艘
page 10	緒言
page 10	政治的目標
page 10	經濟的目標
page 10	軍事的目標
page 10	五日本處於進退兩難的地位
page 10	死島燃犀錄防務空虛政治黑暗不值一擊提倡迷信推行煙賭奴我民族我民眾不忘祖國仍在不斷奮鬥
page 10	經濟財政設施
page 10	交通設施
page 10	司法設施
page 10	社會黑暗
page 10	留鼓同胞艱苦奮
page 10	第八路軍在華北的巧妙遊擊戰術
page 11	上半場約瑟佔先
page 11	易位後戰個平手
page 11	加時間警察得利
page 11	美國游泳界的小慧星亞絲平娜年僅十二創二百碼俯泳紀錄
page 11	記者會主辦之賑難杯排球賽今又召開代表會議
page 11	印人網球隊昨小創滬學生單打二比一雙打一比一
page 11	小型球戰訊
