page 1	國聯援華之新決議
page 2	冀晉察邊區我軍粉碎Ｘ掃蕩計劃綏遠武川東北展開血戰晉南曲沃東犯多Ｘ潰敗
page 2	皖省Ｘ佔領區多被我軍收復僅長江沿岸及鐵路線在Ｘ軍手舒城桐城公安等地已無一Ｘ軍
page 2	蘇北阜寧之Ｘ犯三截溝被擊兩淮Ｘ軍西犯不逞
page 2	三水之Ｘ犯魯村被擊退江會間Ｘ無變化
page 2	晉陝驟降甘霖
page 2	國聯本屆會議決議案之內容
page 2	國聯政院本屆常會昨日宣告閉幕蘇反對海埃倫特島設防英法對蘇意見表示贊助
page 2	軍委會發言人鄭重聲明陳儀被捕說絕非事實Ｘ人廣播此讕言企圖中傷
page 2	滬人士重視寇爾及諾貝爾返滬抵滬後即與各國交換意見必採適當措置保租界意見必採適當措置保租界權益
page 2	鄂北湘北戰事沉寂鄂中隨棗方面殘Ｘ業肅清新牆河北岸戰事已歸沉寂
page 3	英法蘇協定草案蘇認有接受可能
page 3	赫爾提出中立法修正案並將宣佈禁止軍火出口條款廢止
page 3	數十年來所未有日圓慘跌創新紀錄昨晨跌至法幣八角九日銀行界似不予支持
page 3	日圓需要顯已減少
page 3	日滿貨物外匯付價
page 3	重要因素厥有兩端
page 3	將來結果頗似馬克
page 3	流通之幣並未收回
page 3	日方自稱流滬過多
page 3	波閣請國會授予總統全權使政府成一軍事獨裁機構對作戰一切行動有獨斷權
page 3	德航空次長離意返國
page 3	佛朗哥再度復員軍隊
page 3	法人在滇設保育所日內勘察地址
page 3	蘇土未有簽訂軍事協定
page 3	荷政府提出造艦法案建主力艦三艘
page 3	參加西戰意軍定期月底返國
page 3	希特勒赴別墅渡假
page 3	士蔑氏飛渡大西洋
page 3	德意將拉攏日西簽訂軍事同盟歐洲兩大集團實力分明之後四強或可舉行會議解決懸案
page 3	英將照會日本力斥封鎖我沿海不合萬一英美合作可使日本經濟困難且可間接斷絕對日本軍火之供給
page 3	英飛機出產計劃成功每月出產額已達一千架構做精良比德國者尤佳
page 3	粵臨時參議會昨閉幕會期兩週通過議案七十餘宗
page 3	滬西虹橋路發生激戰黎明槍砲聲始息
page 3	法外長聲明英法已成一體英法蘇協定即將宣布成立英土協定有早日簽訂可能
page 4	少婦投海獲救
page 4	三童中毒獲救
page 4	婦慰會募捐訊
page 4	隆鎮同鄉會近訊
page 4	孔教學院講學記
page 4	循道會賣物成績
page 4	廣州失陷後本港商業未受大影響對外貿易仍能保持原狀最近四月出口貨值反增
page 5	江門Ｘ瘧疾蔓延
page 5	鶴山境情勢又緊
page 5	游擊隊夜襲江門
page 5	中山海突增Ｘ艦
page 5	梁震崗部剿辦禺南匪幫詳情高沙等地各匪幫現已由梁部擊散各地善後事宜責由當地紳耆辦理
page 5	我游擊隊殲Ｘ兩誌番禺北海與順德羊額
page 5	粵省各地Ｘ軍分佈調查Ｘ近來之換防
page 5	組織規程
page 5	財廳統一各縣稅捐征收組各縣稅捐征收處
page 5	通令開導民眾防止為Ｘ利用
