page 1	林銑日中之經濟文化提攜
page 2	全會散會後蔣委長對記者發表重要談話開放言論有三點不能不禁止集中人材注意於有實學專家
page 2	汪在外部紀念週中演講內政與外交關係不救亡圖存計劃須有整個認識外交內政實在互相聯結關係
page 2	意人搗毀戲院案外部向意使館提嚴重抗議要求迅予懲處事者賠償損失並保留提出其他適當要求之權
page 2	蔣鼎文赴奉化晤張有所商談
page 2	津關對韓人搶私貨案將向日提抗議
page 2	津市警察局破獲反動機關
page 2	川樾定期謁蔣代表日新閣致敬意
page 2	日電力問題不擬提出議會
page 2	華盛頓誕辰美僑開會慶祝
page 2	歐亞公司恢復平粵航線今日先開航平漢線票價為一百十五元
page 2	對我三中全會宣言日方保持緘默態度三中全會昨舉行閉會式張群已辭外長職中央擬以王寵惠繼任
page 3	三中全會宣言全文
page 3	五全大會宣言已有明確表示
page 3	今後對外方針力謀友誼增進
page 3	日方調查列強建造艦數
page 3	勃魯姆演說否認法政府變更政策之議外間所傳內閣行將改組說亦屬不確政府仍當為人民陣線之政府而奮鬥
page 3	不願內蒙成為反日地帶日陸相杉山之意見
page 3	英國急激擴軍意國不甘落後亦擬討論擴軍計劃
page 3	今後對內方針務達和平統一
page 3	自力根絕赤禍免貽無窮之戚
page 3	定期召開國民大會制定憲法
page 3	意駐亞總督傷勢漸次復原意警大捕嫌疑犯亞人被捕二千人
page 3	日陸相否認對華侵略
page 3	意對英擴張軍備反響徵集壯丁百萬人徵兵目的在測驗動員計劃效能及速率法西斯最高會議將集議討論軍事狀況
page 3	日對基隆事件力革妥善解決
page 3	進行經濟建設泯滅階級鬥爭
page 3	美財政報贊成中央銀行改組中國經濟得獲統一尤勝於用武力剿共
page 3	德外長牛賴斯正式聘問奧京國社黨人開會歡迎
page 3	努力奉行五全大會所定大計
page 3	各國禁志願兵赴西此舉於叛軍有利歷時七月之西戰可望早日終止迦拉瑪方面昨日繼續發生大戰
page 4	昨夕乙組籃球勵行擊敗華僑實力充足有冠軍希望港大對印警一場改期
page 4	全港小足球選手明日分兩隊比賽
page 4	華東隊今日返上海
page 4	國術表演截止報名
page 4	港外匯市情呆滯
page 4	省法幣價昨暴漲
page 4	舊中紙市價略升
page 4	八九金價昨微降
page 4	滬外匯市情穩靜
page 4	省西紙市價狂跌
page 4	各行股票之市情
page 4	廣州慈善足球第二戰省港中西聯又以一對一搆和窩特開紀錄於先李惠堂還以顏色當晚蔡昌歡宴唔言一室夜深始散
page 5	請求統一商運案各機關之態度
page 5	財廳對營業稅潮解決辦法之昨訊召市會代表徵詢
page 5	李祿超談清理廣九債務法
page 5	航商請在甘灘設交通卡專員
page 5	救濟目前米荒當先治標而後治本市商會對洋米稅昨提出折衷辦法
page 5	洋粵稅折衷辦法
page 5	民食會又開會議
page 5	湘省檢驗運米案
page 5	代購之桂米兩批
page 5	戲曲審委會審查唱片之決案
page 5	軍委會將討論全國軍制統一之實施已電柱促白崇禧北上出席軍委會常務會議四集團軍待軍委會公佈統一軍制後即改編
page 6	憲兵檢查煙証中煙老板之會議對付煙民無証之被拘煙禁進行之近訊
page 6	惠陽民船工會反對省河船工會設辦事處
page 6	冬防撤銷後警務處之改組訊
page 6	實施兵工政策訊全省抽卅團築路
page 6	唐萱赴衡商改善粵鹽銷湘
page 6	保安會議舉行後各保安司令出巡
page 6	省府紀念週王應榆報告施政近況籌劃爆炸甘竹礁石整理名勝設避暑區
page 6	爆甘竹灘石
page 6	名勝委員會
page 6	救濟粵米荒
page 6	搾油工潮未息警局禁止滋擾
