page 1	書三中全會閉會宣言後
page 2	報告事項
page 2	討論事項
page 2	任免事項
page 2	日各報對全會宣言認為中日關係好轉謂日本國民應勿失此良好時機尋求打破中日僵局之友好途徑
page 2	日報載稱中國今後外交路線擁護集體安全建立太平洋集體安全制度與英美法俄諸國保持聯繫
page 2	張群滬寓被竊古物多件
page 2	救濟粵省糧食中央將撥款一千萬組織一糧食運銷公司委宋子文為負責辦理
page 2	日首相談日蘇尚可親善
page 2	冀察政會將實行局部改組政務處長楊兆庚調任秘書長陳覺生將任交外兩委會主席
page 2	京市各界舉行西安殉難烈士追悼大會由蔣委員長主祭並親自獻花目睹遺孤均在髫齡含淚盈眶
page 2	胡佛總統輪明晨田美抵滬美海員罷工解決後第一艘抵滬之美輪
page 2	察北日偽軍積極準備侵綏
page 2	漢奸在平津密置不軌機關
page 2	大會決議案分交兩會整理
page 2	行政院議決李白分任五路軍總副司令李品仙張任民分任五路軍及桂綏靖公署參謀長粵省委劉紀文另有任用應予免職由岑學呂繼任陝省府改組四廳長人選已定
page 3	謀刺李頓案開審判決被告無罪
page 3	津關對被搶私佛案已向日領抗議要求賠償搶劫損失並懲罰肇事之人犯
page 3	滬意領將答覆我抗議
page 3	褚民誼談全會印象甚佳
page 3	滬市入超激減
page 3	閩東北殘匪被剿各股均受重創匪首李伯忠受創斃命
page 3	駐滬英意水兵因爭風大衝突某舞廳秩序大亂英意兵均有受傷
page 3	河邊抵津謁田代商日軍瓜代事
page 3	任可澄講救國途徑
page 3	法官訓練班昨舉行開學禮參加受訓者九十人
page 3	化學家袁翰青獲荷化學獎金
page 3	僑胞陸續匯回援綏捐款多起港養中女校四百元
page 3	滬粵航線增加新巨型機
page 3	賀國光宴渝各界領袖
page 3	安格連拿號輪在台附近觸礁
page 3	中日進行合築滄石鐵路
page 3	日經濟使節團定期下月出發
page 3	加籐發表談話
page 3	首都反省院新院舉行落成典禮
page 3	長谷川離平赴旅順轉長春
page 3	德外長訪奧中奧國社黨舉行示威運動愛國陣線亦舉行反示威運動警察拘捕國社黨員二百餘人因此影響奧德同盟難望實現
page 3	葡境監察辦法英葡已成立協定葡邊境由英派員一百三十人駐守擔任禁阻志願兵及軍用品入西國
page 3	德向奧提議恢復三國聯盟計劃倘奧匈受攻擊德意積極援助德　與他國作戰奧匈守中立
page 3	英邀各國派員參加國五喬治六世加冕禮阿比西尼亞與西班牙共和政府亦均被邀
page 3	對意軍清除運動亞人強烈反抗
page 3	台灣日農林專家五人由台過省
page 3	日使館秘書田尻廿二日晨乘上海丸返日
page 3	西京日報已恢復出版中宣部科長李良侗
page 3	日聯合艦隊約五六十艘
page 3	川樾茂定廿四日晨早車偕　田主計赴滬公幹
page 3	歐亞航空滬新線陝蘭段與平粵線鄭漢段
page 3	汪輓朱聯
page 3	余漢謀定明日返粵張部師長數人日間晉京謁蔣劉峙赴杭轉贛吉安原籍省親
page 4	滬華人埠際隊昨日乘輪北返望港隊明年赴滬比賽
page 4	尋常杯足球今日有三場比賽
page 4	長途賽跑報效獎品之踴躍
page 4	太古會友籃球賽昨已截止報名
page 4	省法幣　昨暴漲
page 4	舊中紙價仍報升
page 4	八九金價昨徵降
page 4	英京銀價無變動
page 4	英對美匯兌轉縮
page 4	港外匯市情穩定
page 4	滬外匯市情穩靜
page 4	收市一一五五四省西紙市價趨跌
page 4	各行股票之市情
page 4	普通界男子籃球賽今晚南華南七遇鐘　中共餘三場保羅鐘聲華仁可得勝
page 5	夜長夢多之營稅潮稅局限期填繳調查表再逾期不報即就稅局調查所得擬具辦法商會對填報又有所顧慮定期今日召開會議并請政府永遠不以所報資額為派債捐款比例
page 5	商會之會議及通告
page 5	炸甘竹灘仍征求地方意見省府俟征集意見後即交所局審查決定有主張局部封灘者
page 5	粵幣制之改革中央決於短期內實施余漢謀請孔祥熙先減低粵幣大洋比率四路軍軍費中央將改用大洋撥發
page 6	米貴與米荒有分別粵米荒與幣值無關經濟學者黃元彬之談話
page 6	省府開行政會議
page 6	省主席黃慕松本週內銷假視事黃旭初南返過粵與黃主席商要公
page 6	市土地局新定強迫登記法
page 6	省營產物經理陳群樸解職續訊
page 6	揭陽蔗農聯合請願　呈災故產蔗減少蔗商迫令如額繳交特請糖廠長官維持
page 6	汕頭營稅令市商繳賬簿之反響汕市商會集議對付一致暫緩赴局登記
page 6	省府核准統一警隊經費
page 6	華僑學校擬築在烈士墳旁
page 6	全省保安會議昨晨舉行
page 6	船務局有裁撤訊
page 6	張仲新再辭省營產物處經理各種產物統制現已分別改善
page 6	省行昨繼續開會程談會議內容
page 6	黃埔闢埠工程進行情況直達廣州公路三月內可築竣
page 6	不准巧設下組飯店圖免捐
page 6	西南赴桂機因霧大迫降三水
page 6	合組開發瓊崖專署訊名稱俟劉維熾返後確定黃強赴後化謁主席報告
page 7	入塢修理
page 7	油倉爆炸
page 7	灌救情形
page 7	傷者調查
page 7	損失甚鉅
page 7	中二千餘元搖彩
page 7	如此初春昨寒暑表升至七十四度溫度亦漲至百分之九十八看街上婦女服裝疑是夏日
page 7	賑綏會國術表演今晚始截止報名
page 7	本港洋米市價又復高漲粵米商因價高購貨者甚 少
page 7	日本駐法大使佐藤尚武昨晨過港返日據稱未接到陞任外相之命令
page 7	英軍大操下月舉行海陸空軍紛紛開港參加作戰者約二萬五千人演習規模偉大為向所未有
page 7	海軍方面
page 7	陸軍方面
page 7	空軍方面
page 7	本港防軍
page 7	星期六日觀賽馬小朋友亦可入場
page 7	九龍船塢威利輪船油倉失火焚燒幾達二小時損失頗重三工人重傷一那威人微傷
page 8	機器會香檳賽馬票昨攪珠打比賽馬會頭彩傳為西人所獲
page 8	法界追悼洪興錦
page 8	副警監亦被摸竊馬場竊匪之猖獗
page 8	四強盜械劫農人
page 8	金舖鉅劫案續審
page 8	潮州商會學校開課
page 8	春季賽馬第三日名駒壯士相得益彰李大星創新紀錄二分四十三秒跑畢里半全程二元特別搖彩竟達在千餘元
page 10	中大考察團返粵
page 10	晏芝連那輪觸礁
page 10	運到大批禦彈衣將分發警探服用
page 10	輪船出入口統計
page 10	荷華僑回國考察
page 10	兩英警官請假回國
page 10	東華義學昨開課
page 10	運私煙五犯重罰
page 10	婦人服毒幸獲救
page 10	東華院新舊總理交代儀式已決定
page 10	衛生醫官時症佈告
page 10	文化社籌辦演講會
page 10	商人吸煙獲中馬彩
page 10	兩會義學攷試教員
page 10	慶蔣儀式三月二日舉行各界僑胞屆時均須懸旗佩章
page 11	陸豐縣焚燬蛋民賣身契籌設水上學校教育蛋民子弟
page 11	鄧龍光積極剿河紫殘匪
page 11	省行設陽江支行江門支行主任易人
page 11	下月一日開倉平糶
page 11	警隊殺搶匪案續訊
page 11	隊兵執賭誤斃一人
page 11	警隊截獲被拐婦女
page 11	瑤頭市商業之近況
page 11	燒炮賀神爆炸傷人
page 11	聚賭麻雀判處徒刑
page 11	演劇籌款釀成火災
page 11	嚴禁團警違章緝私
page 11	談談今日之鶴山
page 11	黃公桂奎節文聯袂晉省出席保安會議擬具提案四項呈請大會施行
page 14	各旗沿革
page 14	位置面積
page 14	財政工商
page 14	教育一斑
page 14	交通情形
page 14	盟旗組織
page 14	墾殖水利
page 14	宗教勢力
page 14	蒙民生活
page 14	現任職官
page 14	晉綏屏藩燕冀管鑰之烏蘭察布盟六旗地居綏遠北部面積遼廣東接蔡北北連外蒙形勢重要
page 15	蔣院長之政躬康復
page 15	日現內閣對華認識
page 15	拔除病牙即行入京
page 15	希特勒征服蘇聯計
page 15	五兩個法西軍的編成
page 15	王寵惠談在事全會印象甚佳蔣院長政躬業憶康復病牙拔除後再行入京
