page 2	我欲無言
page 3	蔡成勳告假十日請吳佩孚蒞贛主持
page 3	審計院清查徐世昌時總統府所用秘密費
page 3	聞各省督軍擬改為將軍督理某省軍務
page 3	昨全國財政討論會開幕委員長願維鈞演戲以清理著手分四　擔任
page 3	外部昨會議　東路決商吉黑兩督核辦
page 3	黎元洪擬全國軍額照民國　年參眾兩院所定以五十萬為準已飭　調查原案與各方接洽
page 3	　福祥電盧卡魁勾結陝匪盤據　邊圍攻洛川已派兵與井鎮守使夾擊
page 3	　　　日兵變聞係第　師壹部憤曹銳逼壓砲擊巡署經　　師武力阻止逐肇巨釁幸城　得訊戒嚴　　師戰敗遂致兵變
page 3	聞案軍旅長鮑德山吞餉及在熱河縱兵騷擾被張作霖查抄家產　十日槍決訊
page 3	王占元昨由奉天回京攜條件謁黎元洪覆命
page 3	聞孫文使汪精衛胡漢民聯結閩浙接濟許崇智李烈鈞
page 3	盧永祥提出統一條件
page 3	曹銳邊守靖趙玉珂熊炳琦等暗中結合反對吳佩孚攻擊董康高恩洪並主聯奉倒吳擬派王占元與張作霖接洽
page 3	吳佩孚因京畿軍隊多　心腹擬組織模範軍一師駐京畿公使團頗注意
page 3	國務院擬調張作霖管理將軍府仍對東省遙領節制已電徵曹錕吳佩孚意見
page 3	黎元洪擬再宴赴爾巽王占元孟恩遠囑再與張作霖接洽統一
page 3	謠傳吳佩孚照陳炯明計畫電請督師由湘東援贛並令蔡成勳與陳炯明夾攻李烈鈞長驅入粵以殺孫勢
page 3	高恩洪向檢察廳控黃報毀壞名譽檢廳傳該報員負責人到案
page 3	七月十一號北京電湖南督軍趙恒惕近有電致國會提議將湖南省憲應採作　制國會因此開工正式會議表決由議長個人答覆趙恒惕謂國會如預備討論此事時當將該省憲交起草委會員
page 3	又電魯案中日聯合會委員會　日之會無足　意合　之會則討論
page 3	省垣之平安報
page 3	香山縣長　更動消息
page 3	某華僑所述夏　民事照錄
page 3	西報所紀之廣州要聞
page 3	西報訪員與孫逸仙之談話
page 3	鶴山縣長解散民軍
page 3	增築冰塘之大
page 6	湘省之　正態度　有通電表示
page 6	徐元誥在京發表意見
page 6	徐　寓曹錕
page 6	溥儀　想秘密
page 6	中國銀行之荒賑
page 6	唐繼堯擁黎元洪電
page 6	被控賣不潔牛奶
page 6	德輔道西命案
page 6	執獲大單私煙
page 6	永安公會來函照錄
page 6	德國馬克
page 6	英眾　院通過華府條約案
page 6	朱使鼓吹協助留英學生
page 7	補述某君所述北伐軍情形
page 7	是之謂戰禍
page 7	新會匪患
page 7	台屬之聯團消息
page 7	江門軍事消息
page 7	被控私開救火水喉
page 7	苦力發狂跳海
page 7	被控攔途截搶
page 7	師傅毆打學徒被罰
page 7	兩罪俱罰
page 7	被控私懷槍劍
page 7	王可材被　扣留
page 7	澳門殷戶擬減收舖租
page 7	鶴山古勞旅港同人之會議
page 7	映畫誌
page 7	被控畜犬無牌
page 7	違犯印花稅則
page 7	欄杆倒塌
page 7	被控虧空案
page 7	連司政躬違和
