page 1	近衛內閣之前途
page 2	鄂北小河鎮日軍千餘被殲我攻入鍾祥東北西虎山
page 2	龍州日軍陷我重圍
page 2	亳縣日軍突圍受創
page 2	日再犯三都澳已被擊退
page 2	政院會議
page 2	板垣不知何意拒絕見汪汪派異常惶恐
page 2	小漢奸尤漢文被狙斃命
page 2	夏威夷美艦隊秘密演習駛往南太平洋
page 2	羅克自殺
page 2	美國六月份運華軍火值美金三十餘萬
page 2	近衛內閣之解剖
page 2	日謂維持滬租界治安必須實踐三個條件驅逐一切被　名黑名單中人物租界內外人所辦報紙一律封閉
page 2	正氣長存死何足懼滬新聞界追悼張似旭名列黑名單記者廿七人亦蒞場
page 2	利用電影實施軍訓軍部中電合作決定大量攝製
page 2	神岡日軍受挫
page 2	澳洲軍隊源源開抵英倫
page 2	英承認貝諾斯為捷臨時總統馬沙力為外交　長
page 2	我在沿海也能作戰
page 2	且看下回分解
page 2	太平洋美艦秘密演習
page 2	浙東我軍克復鎮海勇江兩岸殘日肅清宏遠砲台及招寶山亦經克復日艦載屍及傷兵向滬方逸去
page 3	對英外相演說各方所起反應
page 3	日本新閣人物歷略一
page 3	首相近衛文　
page 3	外相　拓相松岡洋石
page 3	藏相河田烈
page 3	海相吉田善吾
page 3	陸相東條英機
page 3	內相兼厚相安井英二
page 3	遞相兼鐵相村田省藏
page 3	赫爾在汛美會議發表美洲各國合作之方針極力贊成美洲二十一個國家共同保護西半球法荷之屬土
page 3	日新內閣舉行首次會議近衛演說謂須與軍部合作方可應付現時之國際時局
page 3	英空軍大規模炸德軍事目標投強烈炸彈三十五噸汕倉船塢等均多被炸
page 3	美報評論歐洲將有大饑此問題將影響美洲糧食將變為軍用品
page 3	比屬剛果總督決心擁護英國願將一切資源軍隊等交英支配　盡其力量
page 3	蘇在波　的海行動引起許多國家之反響美正研究一切事實以謀應付德蘇間或將引起　約上爭執
page 3	傳邱吉爾將宣布和平之基本條件英外相廣播答覆希特勒堅決拒絕虛偽和平提議
page 5	美國巨舶駛近日艦
page 5	日電船圖威脅不逞
page 5	目下港灣貨運情形
page 5	寶安日軍增至三千餘企圖沿廣九路線北犯偽軍官及間諜多人被擒
page 5	日修公路
page 5	捕獲偽長
page 5	目騎動態
page 5	我軍再攻澄海克北郊要地日竄城內日艦擾饒平觸雷沉沒
page 5	再攻澄海展開激戰
page 5	金門日艦觸雷沉沒
page 5	順德甘竹灘日船觸礁沉沒溺斃日軍十餘人
page 5	搶救西江義童七十三名已抵韶
page 5	我機飛炸增城投彈多枚日損失甚鉅
page 5	粵軍管區訓練兵役人員
page 5	桂省軍民保護外僑得力英總領事　桂府致謝
page 5	粵省黨部調整督導工作
page 5	桂南我軍繼續猛攻血戰一夜我衝進寧明縣城龍州日軍犯見村那連遂下不得逞合浦情勢轉弛僅有日艦數艘未去
page 5	我軍圍攻寧明
page 5	進犯上金西北
page 5	日人封鎖計劃粉碎美國巨舶駛到廣州灣運貨日艦頻派電船威脅但卒無效果法當局加強警衛力量市面安定
page 6	婆羅島日偽火併經過
page 6	荔枝山偽軍被我剿滅
page 6	中山縣設軍事政治科
page 6	黃將軍會見記對我民眾精誠合作無限欣慰日前未將日軍盡殲至　可惜
page 6	粵省三十年度各縣市局地方預算編製辦法省務會議通過施行共分十二要點限本年九月十日以前送省府辦理
page 6	各要點辦理
page 6	國幣為本位
page 6	旅美台僑救濟桑梓米荒匯到四萬餘元
page 6	袁帶部剿滅荔枝山夥匪匪與　軍合作向船隻勒收行水以後中山八區船渡可暢行無阻中山縣府改組祇設軍事政治兩科
page 7	醫務總監設法救濟
page 7	崇正會決繼續派米
page 7	歐　航空公司籌闢港桂滇線票價已訂定將可實現
page 7	國茶仍可由港輸出惟須向統制處領取執照
page 7	商人渴望早日成立
page 7	各區居民渴望保衛團早日成立西環盜匪猖獗南北行商設法自衛
page 7	七七花款收得九千餘元
page 7	渣華輪船公司華人代理擴充營業
page 7	國內院校招生統考圓滿結束試卷日間寄渝核閱
page 7	省振會港辦事處募得廿餘萬元僅雪蘭莪華僑已捐二十萬經匯返韶關總會辦理急賑
page 7	坦克車四輛昨日開赴九龍
page 7	葡童突告失蹤疑是被匪拐去
page 7	昨日天暑溫度反低降
page 7	西環一帶匪徒猖獗
page 7	李漢魂關懷新界難民派寶安縣長來港散賑司徒永覺與省賑會商救濟辦法崇正救難總會主席談施米情形
page 8	征用物品
page 8	電線電話
page 8	鐵道材料
page 8	賊持　鎗入屋圖劫失敗警探補獲疑犯一名
page 8	深水灣軍用汽車墮坑兩人受重傷送醫院救治
page 8	陸海通旅館血案初審李玉蓮指梁惠景誘姦同居之願不償遂加害梁謂李實一負心妓女
page 8	連砍四刀
page 8	諸多誘惑
page 8	繼續揮刀
page 8	私寨中人
page 8	神經錯亂
page 8	汛美機昨抵港
page 8	我專科以上學生舉辦學業競試三大學已推選學生參加
page 8	摩剌名下良駒沙甸禮已死曾獲是年打比冠軍
page 8	病人投海自殺
page 8	粵港基督教慰勞將士團日間出發已募得慰勞金萬九千餘元
page 8	英兵鬥拳慘死
page 8	垃圾池有礙居民衛生住聯會請當局注意
page 8	少婦墮樓獲救
page 8	誤殺案昨提堂
page 8	英僑在播音台與留菲親屬通話獲准參加者僅四十人
page 8	　　　或發展　任何　　不能影響其進行港當局昨再頒佈　民　法例
