page 1	中樞行政機構之調整
page 2	王正廷勉勵同人努力生產利用歐戰良機以使獲得外匯
page 2	我收復平山犯蘆苞之日軍潰退我渡蘆江掃蕩日軍
page 2	包圍黑龍關我某部已衝入城內現與日軍發生激戰
page 2	歐亞航空公司將恢復昆渝線
page 2	黔擬定辦法禁止釀酒熬糖定十二月起實行
page 2	中央各部院照例全體辭職新部長名單將由中常會決預料各部院人物將無大更動
page 2	英再否認允交出津存銀
page 2	孔政院長辭職經過
page 2	桂臨參會電各縣積極發動民眾力量厲行國民公約澈底破壞公路作擴大游擊戰予日迎頭痛擊
page 2	毒化下南京吸煙人數有四十八萬許多兒童被紅丸摧殘偽政府係靠煙稅維持
page 2	甘教廳長視察完畢返蘭
page 2	泉州發掘古炮
page 2	蔣孔電唁蟻光炎家屬
page 2	調查統計局追悼殉難同志
page 2	湘北方面我猛攻羊樓司斃日軍三百二十餘鄂南我軍攻黃沙鋪
page 2	南寧附近展開血戰某司令親赴前線指揮日軍後方交通路完全被我控制強渡鬱江之日軍為我迎頭痛擊
page 3	六中立國向英抗議
page 3	希特勒下令推行水雷政策各軍械廠加緊製造新式水雷英已找得制禦水雷新式方法
page 3	芬蘭總理發表廣播謂芬經過苦鬥時期始完成其獨立地位
page 3	日郵船會社輪船決不再往倫敦倫敦港口行將封閉各國輪將不能進口
page 3	蘇航空醫學會發明新藥專治航空員各病
page 3	德亦承認飛機損折七架
page 3	畢德門再主封鎖日本在日本未遵守九國公約以前美國實不能與之另訂新商約
page 3	美軍用品出口統計十月份為九百餘萬美元前十個月總值四千餘萬
page 3	菲報極重視美在遠東政策馬尼剌會議極關重要美艦隊應留駐太平洋
page 3	傳英海軍以妙策擒獲德國潛艇
page 3	英空軍飛往德西北部
page 3	國際勞工會議在夏灣拿舉行
page 3	丹麥築一木柵阻截海面水雷
page 3	德政府厲行糧食衣飾限制德國零沽商業因此大受影響
page 3	德輪佛烈山號在沙爾門尼戈克島擱淺
page 3	英郵沙薩克號被水雷所擊傷
page 3	英輪胡克活號又被水雷擊沉船員兩名獲救
page 3	芬輪在北海被德海軍截留
page 3	英定下週宣佈沒收德貨命令意日等六中立國向英提出抗議英方謂德被封鎖係屬咎由自取
page 5	新開新鶴兩路均已發生激戰
page 5	河清日軍百餘圖犯古勞不逞
page 5	當局昨晨對此傳言經已否認
page 5	粵桂邊境戰事加劇日軍傷亡甚慘重運潿洲瓊島醫治
page 5	我策劃再反攻欽防
page 5	日軍死傷異常慘重
page 5	日用漢奸擾我後方
page 5	東西江北最近戰訊
page 5	瓊崖我軍克大路墟包圍儋縣瓊山文昌在劇戰中
page 5	河南尾船艇懼禍紛紛走避
page 5	推進戰時施政粵省招取大批幹員額定千五百名分港澳等區招選訓練三月後派赴各行政區工作
page 5	匪黨截劫日糧日輪被擊沉沒匪徒亦溺斃多名
page 5	廣東省府增設委員兩人
page 5	各縣國民兵團紛紛成立編組之內容
page 5	我軍反攻深圳之戰訊前哨戰展開日軍增援沙魚涌昨第五次被炸
page 5	日機狂炸增博死傷慘重毀物無算
page 5	四會疏散人口物質
page 5	東江糧運會昨成立
page 5	桐油購運處惠陽分處成立嚴禁商人購藏桐油
page 5	新開新鶴兩路我軍進襲日陣河清日軍犯古勞不逞外傳三灶日增兵不確
page 7	各界公祭馬相伯先生王曉籟報告先生事略
page 7	會場布置
page 7	致祭人員
page 7	報告事項
page 7	大會祭文
page 7	振會祭文
page 7	鄭亞輝果被匪擄去賊匪已提出取贖條件港幣二萬元鴉片百罐
page 7	德僑產業繼續清理連士德核數師昨通告限有關係者年底辦竣
page 7	漁船誤觸水雷一宗四殉難
page 7	英限制貨物出口範圍祇限英國本土其他各屬地仍得照常對外貿易港府召入口商人討論辦貨手續
page 8	勒令登記索費五元
page 8	迫作苦工頻施毒打
page 8	大學擴張運動
page 8	名詞的陌生
page 8	歷史的發展
page 8	理論的提示
page 8	實際的行動
page 8	金錫儀將返英
page 8	慰勞英國將士警察決自由捐輸
page 8	港督夫婦參觀蕙農畫展
page 8	南洋華僑互助社捐募寒衣運動
page 8	協恩女中賣物會之成績
page 8	馬頭涌孤軍營舉行週年紀念
page 8	港府一元新幣已到二百萬元
page 8	徵募蚊帳運動又收到捐款數萬元
page 8	婦慰會募捐訊
page 8	中山青年會慰勞團將出發昨日舉行授旗典禮
page 8	石塘嘴一雜貨店被焚兩婦跳樓慘死數人受傷送院醫治財物損失尚未詳悉
page 8	廣東省銀行招考農林專才
page 8	東方十人苦戰2比1勇挫蘇皇軍場內充滿藥味於洽興傷踝離場
page 8	白蘿仙盃賽參加者甚踴躍明日止截報名
page 8	華人會旅行團下月三日往沙田
page 8	日海軍誘漁人登記並擄赴虎門迫充苦工每日操作十餘小時尚頻加毆打一漁人幸獲脫險昨日返港報告
