page 2	走馬燈式的戰局觀
page 3	伍朝樞以外長名義向外交團要索西南關餘解粵外團置不理
page 3	高淩霨取銷辭職
page 3	陳炯明電齊燮元請開統一會議取決聯治問題齊轉電吳佩孚吳覆電不贊成
page 3	使團警告粵政府截留關稅案因有兩國主緩提故擱置但令駐粵領事團向孫文提出抗議
page 3	趙恒惕部劉重威蔣鋤毆在寶慶新慶合圍蔡鉅猷殘部
page 3	吳佩孚電令孫傳芳聯王獻臣維持閩南防務
page 3	孫傳芳王永泉允維持薩鎮冰長閩
page 3	廈訊泉屬民軍均敗林懷瑜團降王永彝
page 3	齊燮元電催何東赴寧
page 3	湘米捐預算月收鉅萬鄂見有利可圖求將藕池口金河腦歸鄂設局抽捐否則亦須合辦
page 3	援川軍克長壽現分左台川右忠州中長壽三路攻重慶
page 3	此次公民團擾亂眾議院事外交團極重視
page 3	鄂豫各派一旅組臨時邊防軍互助剿匪
page 3	京傳奉張購德飛機六架係卡佐魯式
page 3	憲政黨定六日午開談話會聯民治社討論倒吳
page 3	郭同銜小孫命返京主持民治民憲兩黨攜手助成王湘參議院長但因牟琳反對恐難
page 3	實現因牟欲倒吳景濂自代
page 3	農部派吳佩孚弟又孚吳毓麟弟毓祺王承斌弟希斌為參事上任事
page 3	曹錕擬派李榮殿為路警處會辦但荷使謁交通總長吳毓麟言會辦重要非洋員不放心
page 3	孫寶琦發表對金佛郎見意謂宜交海牙國際法庭公判
page 3	李厚基謀長蘇聞將成熟
page 3	熊炳琦長直說又盛
page 3	鄂議會因京未發表蕭耀 南兼省長將以拒湯薌銘任商埠督辦為要挾
page 3	參議院定五日選舉議長趙世鈺籍忠寅王湘張魯泉等四人最有希望
page 3	東江粵軍尚取守勢
page 3	東江戰事停頓中之粵局形勢顧得東時西又來
page 3	鉅款匯滬之所聞多至千萬以外
page 3	石龍被劫後之近狀
page 3	粵路停軍之原因
page 3	楊廷培之近狀你這皮膚怎耐得棍兒抽
page 3	江門告急之省聞
page 3	財政部要人之去志
page 3	羊城時局之西訊
page 3	廣九路洋會計仍舊
