page 1	撤廢領事裁判權問題
page 2	日報故作讕言挑撥日人對華惡感謂我促請英美共謀太平洋安全並謂我國已積極準備對日作戰
page 2	時人行蹤蔣委長抵杭休養綏邊緊急傳作義飛並謁閻林雲陔昨再到廈候輪赴粵
page 2	日掠奪華北利源在津籌建紗廠資金一百二十萬元
page 2	重慶火警頻傳昨又焚去三百餘家
page 2	刺汪宋案定期明日宣判
page 2	甘省情形複雜朱紹良就職確期尚無把握經于學忠及馬麟盡力敦勸亦無圓滿解決蔣昨電朱促早日赴甘並囑行前赴甬一行
page 2	華南米業公司定明日舉行董監聯席會議初步業務決定在蕪粵設碾米局以謀早日出貨極力挽救粵米荒
page 2	中央將組夷苗考察團赴西南夷苗區考察夷苗實況中央並已接受高玉柱提請六項辦法
page 2	仰光華僑鑄塔獻蔣
page 2	中央軍校新舊教育長陳張定期交接
page 2	中國美術會舉行三屆年會
page 2	川樾準備向政府建議對華策須解決華北政治問題調整日本在華經濟活動陣線同情中國撤廢領判權之要求
page 3	膠路贖路已作具體決定
page 3	馬家城子義軍與日軍遭遇戰雙方各有死傷
page 3	中央國府派員祭黃慕松
page 3	國府建都南京十週年紀念會中林主席講十年來之民生建設衣食住行各方面建設都有長足進展今後應更努力完成建設新中國使命
page 3	食的方面
page 3	頭緒很好
page 3	衣的方面
page 3	住的方面
page 3	行的方面
page 3	此外種種
page 3	尚須努力
page 3	法外長說四外交政策英法美務當合作保障和平維持與蘇波暨小協商各國之友好關係振興國際關係並由各國民族和平合作
page 3	吳佩孚六四壽辰中痛斥不肖舊部吳近因感環境惡劣精神刺激咯血時發
page 3	敘利亞總理演述法敘關係
page 3	上海商業銀行舉行股東常會
page 3	軍縮主席團會議或將展期舉行
page 3	日本早大足球隊戰勝滬法商隊
page 3	所得稅稽征局暫行組織章程
page 3	趙丕廉中煤毒
page 3	雲王病勢緩和
page 3	外傳德蘇接近德報著論駁斥
page 3	徐城近郊發現劉邦銅像
page 3	京市建路路線與德使館衝突現正竭力規劃避免
page 3	程潛由漢返京
page 3	德對國際貿易保持出超優勢
page 3	意紡織化學礦業等增加工作時間
page 3	荷印華僑考察團昨日乘輪抵滬
page 3	羅斯福將助齊蘭完成赴美使命
page 3	維也納市長演說對國社黨攻擊
page 3	郝特傑乘輪過滬
page 3	英蘇均勸令本國船隻遵守不干涉協定西叛軍開到大批生力軍增援政府軍仍佔優勢居主動地位
page 4	足球之利弊與運動道德三李惠堂在播音台作足球請座第六講
page 4	一子錯滿盤落索中華一對三敗與西警前半時吳德榮效力前方影響全線後半時改當後衛而位置又不適當西警勒頓先勝端拿再下兩城羅偉民亂軍中頂入一球破紀錄
page 4	比賽情形
page 4	戰前情勢
page 4	普通界籃球賽今晚祇一場甲組乙組有三場但沒有可觀
page 4	女中籃球員確不凡對滬冠軍東亞吳主席杯賽十八對十七先勝第一仗第一節後女中始終領先東亞已努力應戰但似失地利廿三廿四始作第二三次比賽
page 5	廣州市營稅潮解決後各屬營稅將不解而決各實行照新章征收
page 5	汕米商昨電財部迅發免稅洋米照
page 5	楊華日分謁吳程請速舉辦水利計劃根本增加粵米產量請吳速發水利公債
page 5	吳主席補行宣誓後將召開全省行政會議各區行政專員次第返省明日省務會議擴大舉行
page 5	五路軍之裁縮訊
page 5	黃埔開埠之急進
page 5	廣州米商電揭鄰省米商之詭謀推銷國米無非假公濟私
page 5	黃惠龍昨發表告海員工友書
page 5	粵路借用廣九路新機車
page 5	免稅洋米運粵案行政院定明晨會議討論要點內分四項程天固亦開談話會請派糧運局人員監督運米
page 6	全省稅收機關將由省行代收代解為實行會計制度之先聲
page 6	泊新堤蓼涌渡發生炸彈傷人
page 6	廣州市土煤油商趕辦歸併營業該行商擬請展限
page 6	煙絲業勞資糾紛已有解決訊
page 6	區兆榮談各地所得稅進行先設汕頭事務所江佛山由省方兼辦
page 6	船務局將派員查懲輪渡濫載之詭謀劃
page 6	粵閩鐵路兩省當局已商定興築建築經費由兩省籌措
page 6	省港　瓊崖實業攷察團港團團長董幹文
page 6	黃故主席慕松今日舉行公葬
page 6	汕市府防止操縱星檳船票組委員會公開出售重申取締罰則
page 6	粵市商界領袖組設商業交易所之進行組織大致已擬定股本共一百萬元
page 7	保護兒童會將與警察合作取締童丐倘屬無人管理者由會處置如有父母者則嚴辦其父母街市附近賣菜小童亦取締
