page 1	國際勞工會議之表示
page 2	在晉西殲Ｘ後我軍退出柳林張店Ｘ南犯展開激戰大同Ｘ反戰發生內訌
page 2	路透社記者鄂中前線視察報告我克棗陽之役斃Ｘ逾萬前線軍心旺盛民氣堅強
page 2	冀南我克營頭犯太行山Ｘ竄回營台
page 2	外匯停止賣出後股票價格飛漲可望在最短期內恢復固定外匯率
page 2	西江我軍連日出擊予Ｘ重大威脅我空軍飛炸新會Ｘ陣海南島我軍隊極活躍
page 2	攻滬大軍四十萬現開赴指定地滬杭路我軍衝入宜興城
page 2	國府明令嚴緝汪精衛務獲依法懲辦以肅紀綱
page 2	岳陽陷我包圍中鍾祥附近我Ｘ血戰劉公灣困處潛江殘Ｘ歸路已被斷
page 3	日決與德意談判締結同盟條約美先鋒論壇報所載消息
page 3	比外交方針堅持中立
page 3	日再向津英租界提第二次哀的美敦書聲言若不將程案疑犯引渡日當局即實行封鎖英租界
page 3	英法美態度強硬鼓浪嶼談判已成僵局廈Ｘ領事對記者之談話
page 3	沙面英僑慶祝英皇壽辰
page 3	英法聯合海陸空總司令人選傳已決定三總司令權限但在商討中
page 3	胡大使發表演說現有一瓣學派崛起國聯基礎為之蕩然
page 3	高安北殘Ｘ被我殲滅
page 3	平綏線我游擊隊活躍
page 3	駐德大使陳介參觀德各工廠
page 3	國際勞工會議五十國代表參加對我抗戰表同情
page 3	綸昌英職員被毆斃事件英將向日提嚴重抗議要求道歉並嚴懲肇事日人日方尚在詭辯圖諉罪英方
page 3	德愛拉三國簽訂不侵協定三外長在柏林正式簽字
page 3	英眾議院開會英外次報告遠東問題英輪行駛中國內地不須領Ｘ許可証已令駐日大使向日交涉取銷此新例
page 3	表示英美親密英皇今日可抵華盛頓美國務卿赫爾向英皇致歡迎詞英皇與赫爾將作某項重要密談
page 3	美大使詹森接見昆明記者並拜會龍主席二三日內赴渝
page 3	英擬增加信用放款貸予各小國擴充軍備放款限額最高六千萬鎊將設特種機關處理此事
page 3	蔣孔致電唁徐世昌家屬
page 3	黔學生投筆從戎
page 3	傳某國軍艦曾發砲擊日機
page 3	Ｘ機轟炸鎮海被我擊落一架Ｘ艦四艘向我炮擊圖救墮機卒未得逞
page 3	蘇如被牽入戰爭漩渦英法決予援助英蘇法互助協定基礎業已成立英派史特朗赴蘇促成互助公約
page 4	據劉氏談
page 4	不限地段
page 4	警報發出
page 4	炸彈破片
page 4	衛己衛人
page 4	中戰救護隊派隊赴汕服務
page 4	婦人跳樓自殺
page 4	汛美機昨抵港
page 4	中華業餘學校決舉辦游藝會為難童學校籌募經費
page 4	六邑籌賑會定期演劇籌賑
page 4	昆甸離港返國
page 4	搭客跳車受重傷
page 4	美醫官調任菲島
page 4	中環甲區防空班畢業主任劉景清決繼續辦第二班專收本區學員準備就近服務
page 5	反攻江會在部署中
page 5	Ｘ犯天祿被我擊退
page 5	江新兩路時有接觸
page 5	各鄉民眾奮勇保土
page 5	中山縣境最近情況
page 5	容桂Ｘ軍禁制蠶絲出口續訊容桂絲廠現已完全復業照常繅絲容桂絲業之調查與男女職工額數絲商已得有援助Ｘ之禁制將無效
page 5	我團隊入馬岡清奸偽維持會長佘某伏誅
page 5	太平Ｘ軍分退廣州虎門
page 5	管理捲菸存貨納費辦法定本月十日截止提高舉發人獎金
page 5	南海游擊隊衝入佛山
page 5	省府通令各處舟車免費運送報紙
page 5	西路我軍檢閱民眾動員情形訂定辦法構通軍民聯絡
page 5	檢閱民眾動員
page 5	構通軍民聯絡
page 5	新會三江聯鄉殲Ｘ始末記
page 5	反攻江會之人事從新支配分委開新新鶴江佛三路指揮江會戰事連日來祇有小接觸
page 6	龜嘴附近發生激戰
page 6	攻克小塘錦洞經過
page 6	鐵路電線被我破壞
page 6	連日廣州又聞炮聲
page 6	桂洲Ｘ軍又向容奇撤退團隊截留賑米之激戰
page 6	香翰屏昨晨由惠抵深圳視察即日離深圳續往某地Ｘ機三架前日炸惠城
page 6	昨抵深圳視察
page 6	Ｘ機轟炸惠州
page 6	弛張不定之潮汕形勢我當局成立督戰大隊人物疏散辦理之成績
page 6	Ｘ機偵察Ｘ艦來去
page 6	抽紗女工仍多留市
page 6	難童往連縣過汕頭
page 6	吳飛保衛中山之實施策略招撫綠林豪客
page 6	新造Ｘ軍昨撤退市橋畏我游擊隊襲擊
page 6	訓練壯丁
page 6	招撫綠林日來積極進行
page 6	三水走馬營游擊隊猛襲Ｘ車奪獲大批糧械
page 6	張惠長連日出巡各地Ｘ艦減少各區安謐
page 6	鄧青陽陸幼剛昨抵高要視察黨務參加慰勞將士
page 6	劉超常訓勉縣游擊隊
page 6	北江Ｘ軍交通被我破壞龜嘴神岡間仍激戰小塘錦洞我已克復
page 7	學界旅行遇盜三賊截劫十餘人
page 7	港政府慶祝英皇壽辰昨晨在跑馬地舉行閱兵禮下午招待各國駐港領事團
page 7	閱兵典禮
page 7	招待領團
page 7	獲獎名單
page 7	港汕交通保持常態新海門輪昨仍照常開出貨客運輸匯兌均無影響
page 7	佛山輪未返港是否又被Ｘ方扣留
page 7	閩省抗Ｘ會籲請救濟難民
page 7	諾貝爾昨返港
page 7	市虎噬傷兩童
page 7	保育會之年報歡迎各界索閱
page 7	林馬島海賊又劫貨艇掠去木油百餘罐約值銀三千元另一艘被榜人串劫一伴墮海死
page 8	市政衛生局通告預防霍亂方法勸居民從速注射防疫藥劑各區公立醫局均免費注射
page 8	蔣醫師云
page 8	此病來源
page 8	發生病狀
page 8	預防方法
page 8	小朋友與連環圖
page 8	我國停賣外匯真相純係對付Ｘ華興銀行對我國金融絕無影響
page 8	駱傳華將到港舉辦抗戰攝影展覽會
page 8	中英鐵路公司在英召開年會主席報告廣九路情形
page 8	三水籌賑會昨募得數千元
page 8	印兵實彈演習
