page 1	抗戰必勝之把握
page 2	湘北我游擊隊極活躍修河北岸我軍破獲德安偽組織鄂中Ｘ圍攻應城與我發生激戰
page 2	紛電懲汪
page 2	晉南我軍襲擊臨汾車站東禹廟爭奪戰甚烈Ｘ機十五架襲潼關
page 2	皖東青貴邊境戰事沉寂溫德國光榮殉職
page 2	Ｘ機襲渝被我擊落一架殘骸已在江北大興場尋獲
page 2	吳鐵城抵渝發表談話粵省人民抗戰情緒始終熱烈出錢出力之外更能力謀自衛
page 2	漢法日發局舉行談判沿江木柵已開放
page 2	蘇彝士運河公司改組問題意國要求轉和緩
page 2	Ｘ兵車在朔縣全部顛覆Ｘ死傷數十人
page 2	宋美齡聲言決不言和
page 2	江浙遊擊特務隊焚燬Ｘ儲藏庫
page 2	我軍克復鹿邑柳林集之役Ｘ指揮官小林被殲
page 2	在渝舉行年會
page 2	沙王赴渝
page 2	熊式輝等昨由桂林抵築
page 2	豫北犯大于集之Ｘ被我殲六百餘我努力掃蕩沁陽殘Ｘ
page 2	固陽遊擊縣長盧健飛親率民軍抵Ｘ血戰兩晝夜彈盡糧絕仍未稍退我生力軍及時趕到卒將Ｘ擊潰
page 2	Ｘ機空襲貴縣投彈十八枚
page 2	吳鼎昌明日離滇返黔
page 2	我軍包圍靈壽
page 2	滬某煙棧被焚捐失約四萬金鎊
page 2	滬足球國際杯賽華聯隊昨慘敗奪標已無希望
page 2	Ｘ攘奪稅款破壞債信我財部發表重要宣言Ｘ勒存關款利用為侵略我之工具嗣後我對債賠各款不再透支墊付倘日人仍執迷不　毀約失信一切責任應由日人負之
page 3	英最近致日照會內容措詞強硬重申英國維持門戶開放政策絕不容日片面行動變更條約
page 3	西國民軍進展頗速政府軍死傷慘重
page 3	倫敦方面觀察德荷不致有軍事行動英對德反荷運動並不表示焦慮
page 3	英　艦隊舉行會操於本月內舉行
page 3	擁護總統國防建設案美　　他人尊重其權利必須加強其自身之國防
page 3	澳空　總參謀動程赴英見習
page 3	德人十萬逃法法政府竭力收容
page 3	蘇聯政府舉行人口普查
page 3	意外長應邀赴南狩獵
page 3	日蘇漁約問題日以絕交恫嚇謂斷絕邦交蘇聯必不敢應戰四月仍未解決日將武裝捕魚
page 3	西政府實施總動員法
page 3	希特勒會見波外長所談內容重要短期內時局顯有新普化法波同盟關係恐難持久
page 3	澳維多利亞省大火火勢歷一星期始漸熄滅數十個市鎮已盡成焦土
page 3	德國重建國會並將大加擴充
page 3	胡世澤談希望各國對日有所動作日對各國利益完全漠視可於日在佔領區內見之
page 3	加財長提議發行國防公債
page 3	英外相由意赴日內瓦
page 3	德將調查奧天王教產業奧國大主教徒因此頗為憂慮
page 3	艦隊已全通過運河商輪即可復航
page 3	英法西斯黨人搗亂振華募捐
page 3	英商務部發表海外貿易減少
page 3	法航空部長談一年來政績法國飛機製造量每月製機二百架
page 3	益世報出晚報
page 3	英代表團對英意談話表示滿意意報否認請英調處法意爭　之說意希望以談判方式解決意法爭端
page 4	諾貝爾昨赴菲
page 4	一九三八年各區雨水紀錄
page 4	青年會隨軍團昨舉行授旗禮
page 4	婦女慰勞會又募得萬餘元
page 4	牛乳消毒則例展期四月一日施行
page 4	旅滬兩廣人士組救濟同鄉會
page 4	安利輪來往港澳
page 4	孔教學院講學記
page 4	許滇陽博士返港報告惠陽博羅災情頹垣敗瓦滿目荒涼
page 5	石莞之Ｘ
page 5	寶安縣屬謠言復熾
page 5	深圳歹徒行使偽幣
page 5	復恢查緝出入口貨
page 5	東增線Ｘ我對峙中Ｘ圖竄擾龍門迂迴北犯我大軍開到增龍從陣線鞏固
page 5	東增方面Ｘ我對峙
page 5	我大軍已開抵龍門
page 5	戰區動員會徵求抗戰時期春聯俟選定後發表供民眾採用
page 5	各區游擊團隊不得收編正規軍各部散失被編官員一律歸隊
page 5	台山召開保土抗Ｘ會議
page 5	西江戰事近況南北兩岸仍時有接觸稅警團四會游擊隊之戰功十二午Ｘ襲馬房受挫潰退在馬房前之我軍準備出擊
page 5	數度逆襲
page 5	Ｘ兵來擾
page 5	準備反攻
