page 1	華北我軍發動反攻
page 2	桂南方面日軍圖犯同登被我阻擊受創潰退增城日軍竄擾受創
page 2	魯北我軍出擊奏捷
page 2	正太路戰事仍激烈
page 2	沔陽附近　　百餘
page 2	晉南日軍被殲甚眾
page 2	日聯隊長笠原重傷
page 2	崇念前線將士勳勞各地響應寒衣運動越遠東日報同人捐獻一日所得
page 2	滄石公路被我破壞
page 2	馬占山論戰局日弱點暴露即將崩潰希望國人奪發忠勇集中力量完成領袖國策奠定東亞和平
page 2	意軍分三路開始進攻埃及主攻部隊沿海岸推進另一路截斷英埃蘇丹
page 2	日記者著論主張與英合作
page 2	粵榮譽軍重上戰線
page 2	槍岡又復高唱大東亞政策注意獲得資源供給小林赴荷印係有關
page 2	蘇羅邊界又有糾紛蘇向羅提出抗議
page 2	多瑙河問題
page 2	日英合作之論
page 2	倫敦被扣兩日人已　釋放
page 2	余漢謀捐款慰勞空軍
page 2	越南當局轉趨積極有與貝當決裂可能倘英美肯予越南以切實援助越南政府準備拒絕日本要求
page 3	倫敦月朗氣清德機乘機肆虐
page 3	倫敦上空發現巨型容克德機
page 3	財部決定取締銷售奢侈品二減少非必需品之輸入節約國民不必要消費
page 3	傳挪威國會議決革去國王
page 3	羅首相追述遜王退位經過
page 3	軍事家觀察德軍渡海極難大軍渡海侵略既不容易保持海上接濟更屬困難
page 3	美國防委會主張完全禁鐵運日已將禁運建議書呈遞白宮
page 3	荷蘭女皇向英皇獻機
page 3	美炸藥廠爆炸損失重大影響國防建設疑係德國間諜活動所致
page 3	對邱吉爾演說美報一致好評一致頌揚其出言坦直故其信念之堅莫可當
page 3	德方謠傳英機放下甲蟲破壞德國農田
page 3	蘇聯注意多瑙河局面蘇聯曾因此照會德政府多瑙河會議蘇聯須參加
page 3	駐日英武官竟勸戈林剖腹
page 3	波羅的海諸國歸併蘇聯後各項懸案英向蘇聯提議互商解決
page 3	陳世英
page 3	貝當政府拒絕德意要求貝當政府態度若堅決貝當勢不免被迫辭職
page 3	英皇家屬捐款救濟倫敦居民
page 3	羅京謠傳蘇聯發生革命蘇聯謂為可笑
page 3	德機繼續襲倫敦白京漢宮落兩彈英皇夫婦在宮內幸未受傷
page 5	殘日數百調至中山
page 5	潮安發生劇烈炮戰澄海日軍強渡韓江侵入程洋崗日一度竄下浦蓮陽但旋即退潰
page 5	日軍五百侵入程洋
page 5	南山遭附日軍蹂躪
page 5	我軍猛烈炮擊潮城
page 5	附日軍亦準備南調
page 5	桂林大火燒房屋六十三間
page 5	新鶴公路仍有砲戰
page 5	台山各界秋節獻金擴大募衣運動
page 5	粵府向四行貸款國法其中四百萬由省銀行貸予省行前擬向四行貸款打銷
page 5	廣州日軍機關所在地四週民居均須遷拆日西憲兵部遷設叢桂路環部各屋宇拆去百餘家日海軍特務機關闢船澳收用大同路以西之地段市內地痞冒充業主收租
page 5	一律拆毀完竣
page 5	獎勵私人設立托兒所行政院訂定獎勵辦法粵省奉令後飭屬辦理
page 5	曠地達千餘畝
page 5	日商佔據區域
page 5	僑胞捐款賑災
page 5	湘黔桂遭空襲
page 5	日加緊封鎖中山水陸交通粵南日殘兵陸續調抵中山整理附日軍團長醞釀反正被日擊傷
page 6	攻克橫潭
page 6	龍口肉搏
page 6	日擾岐嶺
page 6	團隊活躍
page 6	水災而後癘疫叢生
page 6	深圳四週砲聲迭起
page 6	深圳新到附日軍千餘我團隊沿廣九路推進前哨距離日陣不及三十華里日軍在大亞灣登陸旋即退去
page 6	第一五九次省務會議改善省部警隊待遇修改保護蛙類規則
page 6	日軍拉伕
page 6	日軍在大亞灣登陸
page 6	港民航機被擊不確
page 6	鄭彥棻抵韶關
page 6	翁源壯士殲日受獎
page 6	修正保護蛙類規則
page 6	修築韶興公路中央撥款九十一萬元
page 6	台山焚舖七間
page 6	粵北我軍克復橫潭攻入龍口肉搏殲日軍甚眾禺北日軍增援犯岐嶺不得逞廣州市郊便衣隊作嚴密聯繫
page 7	　聯會新會所今開放
page 7	保衛團組織大綱商會修正公佈
page 7	婦慰會音樂演奏籌款
page 7	越南購機代表昨抵港交涉在港被扣飛機釋放問題
page 7	防空監理處組防空通訊隊徵募隊員千名
page 7	防空當局在中區建築防空壕地點在匯豐銀行對開曠地
page 7	我國政府招致失學青年詳細簡章已訂定
