page 1	我國空軍之建設與國防區域
page 2	滬金融界捐助鉅款
page 2	龍雲派員敬獻一機
page 2	各地民眾熱烈慶祝
page 2	祝壽會場禮儀隆重
page 2	美人駕機淩空慶祝
page 2	東北民眾亦獻兩機
page 2	各國使節致詞慶祝
page 2	杭各學生效忠領袖
page 2	盛況空前之各界獻機祝壽典禮大典在明故宮機場舉行蔣委長派何應欽代受機
page 3	華北日軍違法演戰外部向日使提抗議此次演習參加兵額達七千餘人所經之處民房殘毀禾稻被刈除
page 3	國難當中不遑寧處蔣委長在洛席壽辰商震魯蕩平等赴洛請訓祝壽蔣夫人昨由滬乘福特機抵洛
page 3	蔣委長五十生日之感言報國與思親
page 3	胡文虎捐數十萬興辦小學百間
page 3	廈門禾山發現植物化石
page 3	楊永泰被刺殞命後日報惡意推測我外部已向日提出嚴重警告
page 3	田港案疑犯張榮和判無罪
page 3	中航滬粵機降港期未確定汛美董事長今日由滬飛粵
page 3	英外相艾登報告英國外交政策繼續保持不干涉西內亂政策以免陷全世界於混亂狀態中
page 3	西政府軍連戰皆捷馬德勒轉危為安葡政府已照會西國叛軍政府承認佛蘭戈爾為西國之元首
page 3	香港主教在倫敦頒揚中國婦女有領袖才及判斷力
page 3	美國棉織業為日貨所攙奪美將派代表赴日商免除競爭協約
page 3	比國中立政策獲下議院信任
page 3	中央關心民食商討平準糧價並商調劑食盈虛辦法
page 3	美人之假選舉羅斯福有連任希望
page 3	倫敦銀價高漲因香港及中國停止大量賣出
page 3	蔣委長談中日問題我決抱定一貫政策不再退讓日外務省已為軍閥所屈服談判無轉戰事一觸即發
page 4	今日友誼籃球賽華雄戰印警
page 4	今日公開排球賽保羅不派隊出場因廿四日所發生之糾紛未解決
page 4	陽光對拉沙
page 4	高級學界籃球賽港聖保羅九龍華南勝利九龍初級今日開賽港方亦有四場舉行
page 4	足球場上十年來大對頭今日在加路連山相遇南華南戰西洋會一長於藝球一長於氣力結果如何不敢妄置一辭中華會戰海軍可望獲勝
page 5	一五七師運閩某人偷撮照片交涉
page 5	粵行政費不敷行政院電八折支付
page 5	奉令入閩部隊經已完全開拔
page 5	何致虔陳仲璧昨日離省赴京
page 5	高等法院更調三個檢察官
page 5	廣州中央分行定期成立近訊該行組織內容
page 5	圍捕東滘鄉匪巢獲匪三名
page 5	汕旅業控市府科長案已派代表赴省請願蘇科長亦通電自白
page 5	孫科昨接見革命前輩外傳孫向各要人商開三中全會問題據孫秘書言此事不確
page 5	限期完成十省航電交通
page 5	米價高漲中省府令三廳籌備糧市米商又重提舊案再請實施官民儲糧
page 6	繼續募捐
page 6	賀電彙誌
page 6	北江著名拐匪被捕蛋婦口述被誘迫嫁強掠之經過
page 6	筵捐回籌問題酒樓資方之討論
page 6	商業團體定期討論毫券與法幣比率下月二日在市商會開會
page 6	廣東各界今日慶祝蔣壽預聞中山紀念堂開會各團體之祝壽電文
page 7	陳氏表示
page 7	兩大隱憂
page 7	五年以後
page 7	懸旗慶祝
page 7	歡迎黃曾籌備會昨開第一次常委會議
page 7	各方賀電
page 7	港僑　大初選明日開票舞弊事情同時當眾解決
page 7	島上特品得人好評
page 7	林雲陔昨已北返焦易堂李鴻文同行
page 7	本港電話公司經理談滬港粵長途電話通話期港滬間通話費已訂定現並設石龍惠州支線
page 7	香港法律關係華人之觀察一羅文錦昨在港大學生會演講
page 7	張任民等之行蹤
page 7	死者身世
page 7	砵崙街失業少年墮樓慘死曾充各電影公司美術廣告員攀過鄰屋天台取水失足墮下
page 7	發生地點
page 7	死狀甚慘
