page 1	我軍發動攻勢之戰果
page 2	我軍克復從化Ｘ棄屍四五百潰竄太平場
page 2	武寧附近有劇戰贛中撫河東岸殘Ｘ被包圍
page 2	傳Ｘ兵力薄弱準備放棄京杭扼守蘇嘉作困獸鬥蘇北大戰Ｘ受重創
page 2	通出之Ｘ西犯受挫
page 2	Ｘ攻南昌之前武寧爭奪戰我在波田西岸與Ｘ血戰將士用命Ｘ兩聯隊被殲
page 2	今歲三月Ｘ謀攻略南昌
page 2	湘鄂贛邊境兵力之軸心
page 2	不惜以相當兵力固守之
page 2	陣地前方築有堅固塹壕
page 2	放列十種大小炮數抬尊
page 2	廣州日人叫苦連天廣州常態未恢復營業上大受損失
page 2	華北我游擊隊活躍保定Ｘ軍車一列被炸毀垞里煤礦被我全部破壞
page 2	犯中牟Ｘ被擊潰殘餘向東逃竄步騎兵六百被擊斃百餘
page 2	為國受傷之光榮無上遇受傷將士應行敬禮根據二月兵役會議之決議案軍內教三部通令各機關遵辦
page 2	綏西民眾捐輸抗Ｘ傅作義特加獎勵
page 2	盛傳Ｘ將犯汕居民加緊疏散
page 2	英大使訪孔院長
page 2	偽警押護下大批鴉片被劫偽警亦被繳械
page 2	晉南我軍掃蕩翼城殘Ｘ冀南邯鄲Ｘ受重創
page 2	Ｘ國食料漲價
page 2	我總反攻尚非其時本月各線開始出擊已克復生重要城鎮七十餘地足見我士氣旺盛Ｘ軍薄弱
page 3	英泰晤士報著論贊揚我國士氣反攻開封意義極重大兩年來抗戰愈戰愈勇
page 3	ＸＸ佔據下的離石三
page 3	德國企圖拉攏羅馬尼亞德政府已向羅政府提議願保障該國安全三十年
page 3	日政府經濟困乏加緊節約
page 3	德國設法對美狡辯
page 3	對羅斯福呼籲和平電德將提出答覆聞內容係譴責民治國家謂凡爾賽和約實不公道
page 3	法郵船被焚古物無恙
page 3	和平不可分割反侵略陣線擴至遠東蘇聯參加反侵略線後英國再邀請中國加入
page 3	波蘭當局聲明堅決反對德越境築路德倘以武力加諸但澤則有引起大戰之可能
page 3	美認墨索里尼尚有合作餘地美擬召集三個國際會議解決減軍政治經濟問題
page 3	弗朗哥入瑪德里又再展期
page 3	斯匈發生衝突
page 3	駐英美大使受英封贈勳位
page 3	埃格里斯主張減少向外購銀
page 3	意報大言不慚恫嚇各國艦隊謂意空軍一夜間之工作即可將地中海波浪平復
page 3	加拿大東部海面發現不明國籍潛艇德艦一部在英北部海面
page 3	墨意簽訂貨物交換協定以墨國煤油易意人造絲
page 3	英土談判圓滿結束倫敦方面則謂現仍在進行中
page 3	美財部獲有必要權力局勢如遇必要時將統制外匯市場
page 3	Ｘ在淪陷區不許美商通行赫爾表示向日抗議華德門則主張報復
page 3	Ｘ興亞院長華中聯絡部長津田抵滬虹口情形緊張Ｘ軍施行戒備
page 3	穆藕初發明七七棉紡機改良成功將自紡綿紗織布成績甚佳
page 3	美艦隊大部駛太平洋大西洋所留無幾
page 3	Ｘ機一架在海口失事
page 3	中緬線二次試航
page 3	蘇擬以全力加入英法集團蘇政府業已提出答案英內閣研究蘇聯復文
page 4	兩保險公司昨開股東年會
page 4	工務局督促修葺陳舊屋宇
page 4	婦女新運會徵募雨衣膠鞋
page 4	偽幣案昨提堂
page 4	九龍關新稅費
page 4	基督教少年團開遊藝會籌賑
page 4	歌詠戲劇比賽
page 4	英海軍尋覓水雷
page 4	婦女聯席會醞釀成熟組織章程昨已脫稿定期召開大會審核
page 5	激戰一宵會城克復
page 5	乘勝追擊劇戰都會
page 5	汕頭趕速疏散人口限三天之內加緊搬遷如仍延緩由警局執行
page 5	佛子　門爭奪極烈
page 5	江門連日搜查極嚴
page 5	江Ｘ在煙斗山佈防
page 5	犯潭洲Ｘ昨已退出
page 5	Ｘ再入新會中我包圍計
page 5	昨晨各地發生空戰
page 5	西江戰事仍膠著Ｘ犯楊梅寶月塘不逞蘆西線現平靖Ｘ續增兵築防
page 5	廣州Ｘ軍限各當押復業
page 5	Ｘ軍犯東寶惠各地續詳蛇口關員實係無恙之訊Ｘ窺澳淡我方無甚損失莞城石龍刻仍在我軍包圍中
page 5	馬迴嶺戰役有功長官中央補發獎章交李主席轉發
page 5	民廳整飭縣政警隊辦法
page 5	Ｘ犯蛇口南頭續報
page 5	培育下級幹部補訓處招考學兵
page 5	Ｘ擾牛眠被我擊退
page 5	Ｘ機Ｘ艦同窺澳頭
page 5	粵黨政軍幹訓所下月十六開學
page 5	勸農恢復春耕
page 5	婦女工作會設團訓練戰時兒童
