page 2	論僑港華人宜互相聯絡
page 3	王寵惠電陳炯明請以大局為重息爭排難
page 3	盧信求任華僑宣慰使
page 3	曹錕電索餉四百萬
page 3	曹錕覆黎元洪請令李廷玉暫護贛長謝遠涵仍留原缺
page 3	突發署閣令因王毓芝由保定電王寵惠謂曹錕願棄劉夢庚長財任王自主王入府見黎元洪故閣令下
page 3	新閣首會議除徐謙高淩霨外閣員均列席討論財政聞主發特券二百萬以俄國緩交賠款為擔保另借小款以渡秋節又議決任張英華為財政委員會長嚴璩為鹽署長石志泉暫代法部及開闢徐州商埠案
page 3	王寵惠二十一日訪吳王兩議長言內閣改組係敷衍過節到開會時由黎元洪另提內閣意案
page 3	羅文幹長財部庫券仍照張英華計劃以緩交俄國賠款為擔保聞顧維鈞已向公使團接洽英日贊成惟美法兩使則反對
page 3	沈鴻英向吳佩孚條陳統一策吳電沈赴洛面商有不日北上訊
page 3	聞贛人反對李廷玉罷市漢口贛商亦將有拒蔡李舉動
page 3	八月鹽餘顧維鈞商外交團不還外債以充政費外交團允扣六十萬又扣九六鹽債基金四十萬聞可得百萬
page 3	財長羅文幹宴銀行界進行特券聞額數變更八十萬或六十萬未定
page 3	中東路會議定二十八日在京舉行
page 3	吳佩孚懸賞通緝趙倜五萬趙傑三萬旅長一萬團長五
page 3	千營長一千
page 3	昨學制會議開幕蔡元培主席王家駒副
page 3	張作霖派袁金鎧來京參中東路會議並帶取消東省自治之交換條件及退還車輛不准直軍作軍事用
page 3	粵漢路潮聞已解決瞬可上工
page 3	抽簽給付紙幣布款之實行消息
page 3	唐少川擬在粵組設外債研究會
page 3	兵工廠長之逐鹿
page 3	陳席儒未准陳覺民辭職
page 3	澳門暴風之情形
page 3	新廣州拉雜譚四
page 3	南海縣議會對李寶祥之再接再厲
page 3	澳門現狀彙誌
page 3	西報發露孫文聯絡德俄之密函
page 3	孫文致廖仲愷函此函封面寫
page 3	朱和中致孫文函
page 6	縣制問題索隱
page 6	王讞　進逼許崇智
page 6	沈鴻英在贛南之跋扈
page 6	美國禁止中國肉類輸入
page 6	閩督向曹吳借子彈之滬聞
page 6	眾院退還唐閣案之咨文
page 6	李烈鈞入醫院
page 6	褚輔成回滬
page 6	曹錕援助　立八校
page 6	臺灣連日地震之滬聞
page 6	九月十五日大總統令
page 6	中藥工人加薪問題已解決
page 6	訓蒙師當堂出醜
page 6	李宇之替身
page 6	被控聚賭
page 6	颶風覆舟兩誌
page 6	一日之雨水
page 6	戴臬司受傷
page 6	青年會賣物會盛況續誌
page 6	被控吞沒款項
page 6	煙案
page 7	鍾秀南辭財政長未准
page 7	令編十一年度預算案之例言續
page 7	葉舉允就參謀職續聞
page 7	鍾景棠返惠
page 7	第三磧佈防西江
page 7	報告高州城兵事始末
page 7	新陞兩個旅長
page 7	廿二日市立各校聯合會議誌
page 7	煤炭工潮已漸趨和緩
page 7	實行補選離職縣長
page 7	封川大劫案續誌
page 7	香山沙溪巨劫詳誌
page 7	拿獲輪渡飄匪
page 7	造幣廠歸省署管轄
page 7	通緝鄧　伯
page 7	政務廳長陳覺民辭職呈文
page 7	廣西軍事消息
page 7	省會請省長宣佈維持紙幣辦法
page 7	瑣聞一束
