page 2	陳樹藩果解甲歸田耶
page 3	曹錕昨出京張作霖因張勳事未決仍留　王占元　陸榮廷電稱孫文催促攻桂甚急請邀岑春　晉京商　
page 3	馬鄰　升任教育部次長兼代理　
page 3	各省會因行政議會愚民撤回代表齊耀珊挽留
page 3	京政府擬將新舊外債實收　契約條件宣布國　
page 3	參陸處議決平粵征蒙費發足至各軍欠餉發　成　
page 3	張勳條陳征蒙計劃分察綏甘新四路進兵徐世昌已首肯
page 3	陳樹藩電辭將軍職擬退居漢中耕田以　解甲歸　
page 3	直軍因陳樹藩宣布自治駐信陽馮玉祥所部定咸廾七日開拔赴　
page 3	李士偉出京徐世昌遣使邀請回京惟李童仍決絕現仍擬任張弧長財
page 3	吳佩孚電京索餉歷陳戰績並謂奉軍已得鉅款情理難平
page 3	盧永祥對齊燮元　廿一電催辦選舉決置不覆並語人云彼欲犧牲我所主 張為進身禮等於癡人說夢
page 3	京政府將頒發兩令一任陸榮廷巡閱兩廣一畀張作霖征蒙全權在蒙事未定以前三特別區軍隊統歸節制
page 3	張作霖聲言現既任征蒙粵事難於兼顧
page 3	魏邦平尚未赴肇
page 3	關於外蒙問題京政府擬懲辦禍首脅從岡治將用明令宣布
page 3	張作霖對征蒙先鋒隊決定就入關奉軍改編並擬回奉開東三省邊防會議已電吳俊陞孫烈臣先行籌備
page 3	陸榮廷電　務院謂粵桂軍尚未接觸乃中央寵我虛銜不如接濟我軍實至於對付粵軍應由贛閩桂合力進取僅責成桂省恐力不足
page 3	王占元昨命路局備車返鄂但張作霖又再強留王暫緩行
page 3	川訊劉湘已自居為全川總司令
page 3	閣議每月給龍軍費五千元
page 3	聞曹張王主張請岑春　入京任統一委員會會長靳雲鵬亦甚贊成將發電往滬邀請
page 3	陳樹藩接到免職電時適在署演劇為乃翁祝壽其部下意頗激昂惟本人則甚冷靜
page 3	李士偉因無款登台退志已決各方均屬意
page 3	曹張王昨覲徐世昌辭行並與徐為最後　
page 3	陳樹藩集合所　退駐陝南聲言率眾歸田隱圖割踞將
page 3	方日中電王占元謂閻師北拔湘軍鬥出岳州恐有意外乞早　
page 3	靳雲鵬未列閣議因位置張勳　事與張作霖齟齬張憤極拂袖欲　嗣由王占元勸　始允　
page 3	張作霖藉口征蒙擬加經略或其他名義在南苑組設使署移節　
page 3	東京電傳日政府宣言中國如允魯案直援交涉當以退還庚　賠款　
page 3	曹張王飭路局備專車曹錕　　行　張　行　　
page 3	李士偉不允任財長曹張王推潘復靳雲鵬與徐世昌商議徐已允
page 3	張作霖將任征蒙大使惟張駐南苑無　
page 3	粵桂軍　兵力比較表
page 3	團勇伏擊桂軍
page 3	翁式亮所部赴防陽江
page 3	國議員離粵續誌
page 3	財廳請人商酌財政事宜
page 3	上海銀行聚會
page 3	雨水之比較
page 3	莫幹生君為大學局員
page 3	德　偷渡未放
page 3	取銷限制外國顏料入境　前令
page 3	新委知事多　原因
page 6	靳雲鵬最近之談話
page 6	舊交系　銀行　
page 6	粵代表蒞贛　　
page 6	中德協約簽字詳情
page 6	　　忠告劉顯
page 6	德國　
page 6	陳　津　
page 6	岑春　遷居哈同　
page 6	段芝貴禍延乃　
page 6	精神閣擴張有大贈品
page 6	洋務文員會開幕紀盛
page 6	警察總局
page 6	二月份財政
page 6	傳染症述聞
page 6	委任工務司
page 6	新界遊樂場須領牌照
page 6	政府允嚴銷增加之差餉
page 6	船政署案
page 6	本港入口商務
page 6	海灘出批
page 6	旅客失金復得
page 6	銀價
page 7	商會因市選舉事再開特別會　
page 7	鹽商借款之續交
page 7	委周天祿為廣南船澳局長
page 7	奈何不尊重大總統命令
page 7	鹽商推選市參事
page 7	最近之各江水度
page 7	徵收牌費與罷市風潮之醞釀
page 7	維持中行紙幣消息近聞
page 7	贛邊增兵續報
page 7	機器工人罷工之調處消息
page 7	軍人籍搜查騷擾之慣聞
page 7	免封省港餉渡之原令
page 7	搜查桂軍間諜機關
page 7	西江警備條例
page 7	分設西江官煤所
page 7	江門西口釐廠前之劫案
page 7	三水西南要聞
page 7	瑣聞一束
page 7	香港網球家到滬
page 7	星架波樹膠市近聞
page 8	賊黨橫行官紳側目
page 9	顧維鈞對於報載魯案之憤言
page 9	日本決撤山東兵備說
page 9	哈定內閣之中國舊友
page 9	藍天蔚自戕之真相
page 9	　底藏煙案
page 9	楊天福已就誅矣
page 9	拐案判監
page 9	被控窩留女子案再押候
page 9	打架案判監
page 9	煙未納稅被控
page 9	航業得人
page 9	煙案
page 9	大蛇驚人
page 9	私寨案
page 9	軍火案
page 9	學童藏利劍何為
page 9	開影新長畫
page 12	機器工人罷工之經過情形
page 12	機器　　亦運動
page 12	教員同盟罷工
page 12	伍廷芳兼任財政　
page 12	行商　議　　　　事情　
page 12	　補抽釐廠　
page 12	新會縣警殺人罪已確實
page 12	台屬疫症蔓　
