page 1	九一八五周中吾人之檢討
page 2	北海事件可望不致擴大翁照垣部昨已撤退日方官員將可登岸調查
page 2	日方輿論較前和緩
page 2	程總長致訓
page 2	李宗仁白崇禧黃旭初在邕舉行就職詳情到各機關團體代表千餘人程潛黃紹雄蒞場監誓授印
page 2	許訪有田請予等待
page 2	兩大之間周旋不易王克敏辭職真因日保守派主張先發展華北農業關東軍欲先著手開發鐵路礦產
page 2	李氏發出就職通電
page 2	李白發出和平通電
page 2	李宗仁答詞
page 2	黃紹雄演說
page 2	英大使許閣森昨日乘車抵京定今日赴外部謁張請示覲遞國書日期
page 2	陳中孚談豐台事件解決我方出六百元為傷者醫藥費
page 2	津保安司令部宣布戒嚴三日加派軍警日夜出動以防意外而維治安
page 2	日政府決定對蘇外交方針將向蘇聯要求撤退遠東駐軍
page 2	精誠團結禦梅可期李宗仁黃旭初昨日乘機抵粵居正余漢謀黃慕松等均到機場迎迓李氏下機後即乘車入市應余黃歡宴
page 3	中常會決議案
page 3	立院明日院會審議保甲條例及造船獎勵法等案
page 3	日各省要求預算總額達三十三億元
page 3	戰區保安隊密度反殷汝耕殷召各總隊長會議防範無結果
page 3	王蔣兩大使赴任國書已發
page 3	各軍校畢業生踴躍履行登記
page 3	偽冀東外交處長江宗墨被免職因與殷逆權利衝突
page 3	農本局已覓定新局址內部組織共分三處主任人選現已物色
page 3	陳清文奉派查勘粵路慘案周鳳九自請處分
page 3	日水兵在滬行兇王樹漢被剌傷強取金魚不給錢出事後從容而去
page 3	通遼開魯長　汽車突遭義軍截擊日偽官員受傷三人育五人被義軍擄去
page 3	蘆鹽輸日辦法違反財部原則財部令海　不准出口
page 3	外部發表任命
page 3	徐繼任視察四省農行
page 3	中國航建軍協會舉行首次常會
page 3	小麥出口不禁止不征稅財實兩部核議決定
page 3	譚紹華將任駐墨公使
page 3	國府撥給徐紹楨治喪費
page 3	國民經運會蘇省分會成立
page 3	九一八五週年李杜停食紀念除此之外並默念誌哀
page 3	首都舉行五原誓師紀念馮夫人致沉痛演詞
page 3	日在額濟納建築機場已竣將作侵內蒙根據地
page 3	洞庭湖淤塞不通影響湘鄂水利李儀祉謁何商疏濬
page 3	席德炯將赴沙港督工使遙堤早日完成
page 3	冀工程師協會將在津開年會
page 3	因受選舉票影響平津紙價暴漲
page 3	國選總所解釋廢票疑義
page 3	意奧匈等外交部長將開聯席會議謀成立一多腦河集團
page 3	美前總理史汀生著述遠東危機之回憶與觀察中國有世界上最久遠之文化及其歷史必須自行發展不能受外來勢力之統制
page 3	正義淪亡國聯代表大會將拒亞代表出席謂亞國已不復有獨立政府存在但亦將否認意有代表亞國之權
page 3	英自由黨主張強禁軍械輸西謂假如叛軍一旦勝利獨裁政制將支配全歐
page 3	美海軍部決組駐歐艦隊以德菲爾特為司令
page 3	法北極探險船遭遇暴風沉沒船長沙葛氏已斃命
page 3	奧郵政儲金局長蒲萊樞昨逝世生前為奧政台最活躍人物
page 3	波蘭總理病危
page 3	輕量拳術賽連治氏得勝利柏爾麻動作遲慢至失敗
page 3	白堅　等企圖異動平市宣佈戒嚴
page 4	我國摔角家黃博昌與菲名將對賽二十日四時在利舞台
page 4	英京銀價昨報漲
page 4	八九金價昨略跌
page 4	友誼籃球賽紅星隊反敗為勝四十二對三十華雄失利
page 4	團結今日對天然
page 4	滬外匯市仍穩定
page 4	各行股票之市情
page 4	本屆港滬埠際網球賽暫停原因滬方代表來港作友誼賽下月八日起程林寶華或同來
page 5	李揚敬允就閩浙贛三省清鄉司令已派員赴浙組設司令部荐委黃質文等任師長
