page 1	改進政治與推行兵役之兩要點
page 2	豫北我軍夜襲木欒店Ｘ傷亡千餘人晉南中條山南Ｘ蕭清我圍攻猗氏即可收復
page 2	中條山南無Ｘ蹤跡
page 2	晉南猗氏即可收復
page 2	霍縣以東斃Ｘ數百
page 2	近衛已與平沼成立諒解仍兼不管部大臣
page 2	我以最大努力竭力維持債信駐倫敦我國大使館宣佈繳付去年三月海關債息
page 2	蔣委長命募衣委會繼續徵募寒衣壯丁入伍中央趕製容有不及勸導捐助戎衣優待抗Ｘ軍人
page 2	全印國民大會主席波士連任波士同情我抗戰力倡導援華運動
page 2	百林廟西南我Ｘ激戰綏垣Ｘ戒德甚嚴
page 2	Ｘ犯流澌橋被我痛擊
page 2	蘇省民氣激昂發動廣大民眾抗戰蕭沛Ｘ偽已經肅清
page 2	滬偽公安局偵緝董棋高昨晨被擊三槍斃命誼父子為虎作倀均被誅鋤上海四日來殺漢奸共五名
page 2	Ｘ傷兵由滬返國繼有二千餘名
page 2	駐津Ｘ軍停止封鎖英法租界
page 2	浦東我游擊隊襲擊上川鐵路線Ｘ軍俘虜Ｘ軍十餘戰利品甚夥
page 2	駐滬外領向日交涉牯嶺外僑之撤退問題日限外僑十日前撤離牯嶺但至今仍未聞有若何消息
page 2	湘陰發現Ｘ機
page 2	沙王抵渝報告綏蒙情況
page 2	重慶疏散市民
page 2	Ｘ海軍預算將增加實數如何海軍部未肯公佈
page 2	國民政府命令發表粵各行政督察員並兼各區保安司令
page 2	國家興亡匹夫有責閩壯丁自動踴躍入伍兄弟互爭服役團管區請上級嘉獎
page 2	遊民自願入伍
page 2	兄弟互爭入伍
page 2	白螺磯Ｘ增加
page 2	岳陽一帶Ｘ軍戒備極嚴防我深夜襲擊
page 2	謝維麟向挪王遞國書
page 2	平津路鐵橋被毀甚重交通斷絕
page 2	我軍兩路反攻三水三水東炮聲不絕戰事激烈灶岡下勒岡為我完全克復
page 3	對英相演說滿意巴黎華府兩方面
page 3	保加利亞國王行蹤未明
page 3	蘇意簽訂解決爭議協定
page 3	蘇俄外交當局籌締黑海公約樹立黑海集體安全制度藉以阻止德國再事東進
page 3	意蘇商約簽字
page 3	美籍新聞記者亞爾葛氏接得怪函謂將行刺多名反日歐美作家欲以無恥恫嚇手段威脅正義
page 3	日對漁業問題將成立蘇衝突導火線蘇聯在海參威成立軍會為對付蘇領海內日漁船
page 3	張彭春演講中日問題
page 3	牛津大學捐款助我各大學恢復圖書館
page 3	德報駐日訪員評論日亟謀鞏固佔領區域但日方財力物力不堪負擔
page 3	英下院質問對華放款問題政府不擬續有所聲明
page 3	西政府準備重新奠都于瓦倫西亞國民軍政府希望各國予以承認英與弗朗哥談判米那加島問題
page 3	蓋達撰文論西戰事
page 3	荷蘭宣佈國策決與德國維持友好各大國不決心維持國際秩序荷國不得不變更其外交政策
page 3	莫斯科副警監濫　職權謀利昨日宣判死刑
page 3	昆明各界義賣收入四萬餘元
page 3	東流Ｘ擬蠢動
page 3	日本龐大軍費財部艱於應付陸海相爭執甚烈
page 3	Ｘ扣留英輪已獲釋放
page 3	法政府外交政策獲得參院信任達拉第總理發表演說謂法國並不陷于孤立
page 4	東區學界開換物游藝會
page 4	兩竊匪處徒刑
page 4	醫界長期捐輸一月份之成績
page 4	商會籌賑會議
page 4	青洲英坭公司獲利四十餘萬
page 4	車輛失事週報死三人傷卅九人
page 4	丹麥新輪來港
page 4	海龍帆船折回因電報員患病
page 5	徐景唐談西江行署結束原因及經過建議中央請准劃一建制就個人言是進取非退卻
page 5	結束原因
page 5	交代手續
page 5	南路情勢略趨和緩惟Ｘ機仍滋擾各　圍洲島Ｘ機場已局部完成南路我大軍握守防務鞏固
page 5	Ｘ犯大岡嶺受創廣花公路Ｘ無異動
page 5	交部擬定調整過境捐稅維護水陸運輸
page 5	廣州游擊隊襲擊Ｘ船
page 5	漁民儲款救濟失業
page 5	農村經濟日趨穩定
page 5	戰時潮汕之新氣象穩定經濟與救濟失業
page 5	大鵬城外之逼姦傷人案生雞仔被押越獄鄉紳耆請官追兇
page 5	催繳所得稅令
page 5	東路前Ｘ指揮
page 5	各界組織兵役協會
page 5	杜梅和談戰時財政
page 5	粵省稅收銳減每月不敷百萬元
page 5	巫市長勉所屬六事
page 5	犯寶安Ｘ已完全被我擊潰Ｘ圖犯新橋不逞寶安全境無Ｘ蹤
page 6	全市民眾殷盼反攻
page 6	Ｘ在市內建築機場
page 6	Ｘ用軍票吸我現金
page 6	市內商況計分數種
page 6	團隊全部退出後市橋最近匪禍之浩大沙頭獨崗鄉被匪洗劫失贓甚鉅屏山土匪達八百餘人四出打單
page 6	汕市嚴防偽鈔混入
page 6	由北江入桂迂迴肇慶
page 6	土匪活躍物價飛漲柴薪斷絕市民聯請縣府救濟
page 6	Ｘ機飛肇慶炸七星岩詳情
page 6	瓊崖熱血青年投考軍校踴躍
page 6	最近之廣州情況
page 7	粵僑救濟桑梓會請嚴緝截動難民匪徒分函東莞寶安等縣長寶安縣府已允予緝辦
