page 2	中俄會議的我見四
page 3	溫樹德昨夜抵京
page 3	曹錕令杜錫珪授海軍上將
page 3	吳佩孚覆曹錕電仍主先承認蘇俄齊燮元覆院造成所持三端中俄交涉波折實為閣潮原素
page 3	顧維鈞對使團表示關稅預備會議擬邀德國加入
page 3	吳佩孚召龍濟光赴洛商援粵軍事
page 3	俄赤黨勒征華僑人伍戰死甚多
page 3	陝匪敗退至興隆寺尚有千人聲言撲天水團防助孔繁錦軍匪大敗
page 3	傳蔡鉅猷在龍溪口運動銅仁玉屏一帶土匪響應辰沅又震動
page 3	趙恒惕派胡學紳赴粵查粵鹽運銷情形
page 3	袁祖銘部前鋒為滇軍所敗川戰已專重瀘永一方劉成勳退至大邑又與熊克武但懋辛部合謀反攻
page 3	傳熊克武但懋辛已到遵義賴心輝石青陽尚在合江
page 3	張毅聞漳州失陷自馬巷退官橋謀突過青陽繞道赴泉州與高義合作中途被陳國輝莊文泉截擊楊化昭由後追擊與張部挑戰雙方以白刃相搏卒被繳械千八百人高義已由青陽回泉州又訊高義被臧致平壓逼擬棄泉州
page 3	王永泉部舉楊化昭為首領聯臧致平將開往惠安拒省軍臧致平佔漳州後會楊漢烈部進逼南靖王獻臣退守長汀張毅逃莆田賴世璜部多降臧致平
page 3	吳佩孚電陳炯明洪兆麟即撥隊來閩相械監視
page 3	西江李劉衝突之經過詳情孫文對李取和緩手段
page 3	北江湘軍潰變近聞
page 3	廣州共產黨最近之活動
page 3	石龍歸客之前方戰事談
page 3	國民黨人反對映相選舉
page 3	東江戰訊與楊希閔出發自謂非錢不打
page 3	張秋白來函略錄
page 6	中俄交涉彙誌王正廷報告交涉經過唐紹儀謂字頭簽字不能正式有效交涉已由外部接辦加拉罕態度仍強硬美報謂武力行為無利於俄
page 6	王正廷報告交涉電
page 6	唐紹儀之意見
page 6	交涉改顧維鈞辦理
page 6	美報論蘇俄態度失當
page 6	加拉罕之最後聲明
page 7	英國學者之新奇預言
page 7	倫敦之橡皮路
page 7	世界最準之時計
page 8	梧州已下戒嚴令
page 8	省報之東江軍事消息
page 8	新會客軍與商團衝突
page 8	生擒霹靂黨首領
page 8	滇軍長官紛紛出發
page 8	西村江村將釀械鬥
page 8	關稅金融之兩公函
page 8	杉商被勒經費之呼籲
page 8	火警頻聞
page 8	廣州政府命令
page 8	帥府近事兩誌
page 8	冒軍騙擄附城巡輪之駭聞
