page 1	國府明令實施徵兵制度
page 2	日轟炸機在綏東互撞燬壞竟誣綏軍開炮擊落又向傳王席提抗議
page 2	宋哲元赴津晤王克敏商談開發華北經濟陳覺生先行赴津與王接洽王昨晤田代交換初步意見
page 2	總理首次革命紀念蔣委長講復興中華一發揮先烈革命精神精誠團結共赴國難
page 2	桂局和平解決後急籌蔣白會面地點梧詐州撤銷戒嚴港梧航務恢復
page 2	蓉案交涉須磨昨訪張群試探我方意旨
page 2	農村破產聲中農村商品輸入數量增激農業實驗所根據農情報告員調查之結果將商品輸入農村之種類分量作詳明比率
page 2	洞庭湖農田收成增十餘倍
page 2	女學生吳鳳琢慘遭日兵追刺左腕受創負痛奔避
page 2	北海日僑中野被殺事件真相未明兩廣外交署派淩士芬乘艦前往調查日代總領事亦派館員及醫士乘艦往查日驅逐艦兩艘奉派南下分駛北海廣州
page 3	前任廣東農林局長馮銳今日下千已被處決
page 3	兩廣鹽運使　海安今日提出辭職
page 3	財政部已否決冀察政委會所徵抽之所謂銷費稅
page 3	新任駐星洲總領事高淩柏
page 3	陳中孚赴津晤王克敏促其早日就任及赴經濟委員會主席就職
page 3	冀察稽查總處成立後
page 3	中華工業總聯會
page 3	林雲陔忽然消極稱病赴滬休養蔣昨去電慰問
page 3	旅滬粵人械鬥因賭起釁
page 3	戴季陶乘機由奧飛意
page 3	王正廷返國下月初可抵滬
page 3	廣州汕頭海港檢疫處收歸中央辦理
page 3	鄭洪年等初審公債案結果已送財委會
page 3	國選總所規定廢票條例
page 3	臨時高考今日舉行初試
page 3	傳汝霖再辭冀察政委聞政會或將照准
page 3	華茶運往紐絲蘭准免入口檢驗
page 3	湘米銷粵現謀擴大組織資本定五百萬元
page 3	武漢新聞界組團來粵考察
page 3	護班儀仗隊由拉卜楞返蘭
page 3	比使紀佑穆今日乘輪返國
page 3	比亦延長軍役
page 3	葡國叛潮已平政府宣布戒嚴
page 3	中法空郵全程用機運送
page 3	德國社黨大會希特勒受歡迎
page 3	美國農林大火
page 3	胡佛總統輪船員忽告罷工遠東航期展緩
page 3	德國名將佛郎克氏逝世
page 3	西班牙政府與叛軍雙方聖城和平會議宣告破裂叛軍已準備進攻聖城守城軍決定背城一戰
page 4	南華隊南遊返港首戰勝工程隊成績五比三
page 4	雷豫社改選職員
page 4	南華游泳場準今晚開水藝會並有樓東音樂團奏典助慶
page 4	英就銀價轉趨漲
page 4	八九金起後略跌
page 4	英美匯兌昨報升
page 4	昨日廣州西紙市
page 4	我出席世運足球隊啟程歸國計期十月三日可抵港
page 5	集中車船候運各軍北撤
page 5	江防各艦分批開返省河
page 5	各江商運漸已回復原狀
page 5	市面金融債券庫券漲價
page 5	清剿閩粵邊殘匪李陳兩師之聯絡李玉堂派兩團駐粵邊曾友仁部已開始赴浙
page 5	曾友仁部開始入浙
