page 1	日美爭霸之太平洋
page 2	日軍南進尚須觀望美國聲明保護菲島
page 2	欽縣我軍搜索殘日我再痛闢侵越謠言
page 2	豫魯鄂湘迭傳捷訊宜昌殘日突圍不逞
page 2	美某權威者宣稱美德邦交日劣戴士將發表第五縱隊在美內幕希特勒謂如發表德將予以報復
page 2	滬兩法院被佔國府令停止行使職務此後該院已成非法組織所為裁判一律認為無效
page 2	旅韓美僑一批返國
page 2	日軍的又明四華人被斬首
page 2	簡泰梁赴鄂主持振濟
page 2	西北暴風雪陝甘公路被破壞路局正設法清除
page 2	在華英僑第三次匯款返國助戰
page 2	湘省一致普行平抑物價
page 2	德輪四艘在墨運貨出港被英海軍在港外截擊一艘自炸沉三艘駛回
page 2	英機轟炸意艦係用秘密武器
page 2	川省府秘書長賀國光已辭職張請李伯申繼任
page 2	閩各界歡迎陳嘉庚
page 2	桂臨參會電請匯款振炎
page 2	滇省工合召開工作會議
page 2	泗水根據地行將擴充
page 2	滬日軍官富永傷重斃命
page 2	羅國鐵衛團
page 2	晉南我軍不斷出擊聞喜北　展開激戰
page 2	英美蘇三國態度漸明朗決心抵抗日本侵略最近國際局勢足為我國勝利保證桂南戰事結束晉豫鄂我軍取攻勢
page 3	深入阿爾班尼亞境希軍奪得哥列薩城哥加區意軍放棄重砲倉皇退卻各線希軍乘戰勝機會向前進逼
page 3	希軍奪得軍實甚多
page 3	英皇到哥溫德里視察災區
page 3	德機襲英倫被擊落九架哥溫德里城被炸結果死者二百餘傷者八百
page 3	中線章軍反攻不逞
page 3	英艦襲意索馬利蘭
page 3	希臘主教斥意暴行
page 3	由美運英軍械損失甚少
page 3	蘇聯另訓緊練航空兵員設特　航空學校
page 3	羅馬商店之應時廣告勸人民改穿底表
page 3	英國會將討論印緬參戰力量艾登亦將發表視察中東經過
page 3	加拿大空軍訓練時間減少俾所受訓人員早受戰時訓練
page 3	英機轟炸大陸沿岸各港
page 3	閩編後備警察
page 3	粵留日同學歡宴反戰會員
page 3	張家　返抵渝
page 3	川省樂山縣發現古墓
page 3	湘省捐獻寒衣二十萬件運送前方
page 3	拉哈佛里港再被英機炸擊損失非常重大
page 3	德領事柏拉桑曾在荷印被拘現已獲釋抵河內
page 3	童軍後方已被截斷
page 3	英意空軍發生劇戰
page 3	德蘇會談結束後德西又進行談判意外長又將赴柏林蘇聯態度尚未表露
page 4	李綺年的國語片運港梁紅玉與女皇帝
page 4	蘇天雄君所擬饒雙馬解拆著法五二第二章第五局河頭炮進兵局
page 4	薛覺先將重攝浪蝶　唐十五年　之　合作
page 5	石灘鐵橋停止修築
page 5	東莞鄉民被迫繳械
page 5	航行容陳線之日輪煤炸沉沒斃十命中有四日人
page 5	日佔沙頭糖廠但仍無法開工
page 5	私梟之新詭計當局注意查緝
page 5	粵省訂定辦法救濟對日封鎖區人民失業漁民已訂辦法救濟撥祠廟嘗產辦公益事業
page 5	粵府派員撫輯欽縣義民
page 5	收容殘廢鰥寡婦孺
page 5	訂定漁民救濟辦法
page 5	加緊籌辦社會事業
page 5	封鎖區人民救濟法
page 5	青年團中央團部救濟清貧升學團員每人每學期貸金百元不計利息畢業後歸還
page 5	台赤軍警大舉剿匪禁買賊臟以戢匪風
page 5	日軍揚言放棄寶安
page 5	華中日艦南調桂南日敗兵萬餘抵瓊
page 5	侵粵縮短防線三水江會日軍有撤退模樣深圳日軍揚言將退出寶安境廣九鐵路石灘橋忽停止修築
page 6	華僑匯款
page 6	調節米價
page 6	各地水利
page 6	業務設建
page 6	撥十萬元
page 6	嶺大農學院舉行開基典禮其他各院亦擬內遷
page 6	以實際行動紀念國父韶關勸儲台隆重揭幕酒樓茶室業全體認儲各界認儲成績亦甚佳
