page 1	日英對華合作
page 2	蔣委長拔除兩病齒因蔣邇來兩肩覺酸痛與病齒有關尚有病齒數枚日內 亦將繼續拔除
page 2	冀察旅行團東渡張自忠談此次出國純為觀光性質中日友誼關係東亞和平冀其增進
page 2	日人偷運銅幣擊傷關員案外部向日提出抗議要求懲兇道歉賠償
page 2	中美通航日間實現中國飛剪號已由美起飛廿八日抵滬下月起始售票載客以香港為啣接站
page 2	中常會修正國大組織法代表選舉法修改國民大會各種代表之名額取銷候選人由國府指定之規定
page 2	複議粵洋米進口免稅案行政院令催財實兩部呈核
page 2	滬英商電車工潮迄今仍未解決
page 2	國府明令改組皖省政府劉尚清任皖主席四廳長亦已委出
page 2	松潘卓藏活佛等謁劉湘獻王產
page 2	日高信六郎定期來華赴任
page 2	日閣議決定更調駐外使節
page 2	偽匪謀再犯綏邊察北匪偽軍調集多倫德王等連日在嘉卜寺秘密會商商都附近連夜已發現匪騎蹤蹟
page 3	文化會計劃改進美術音樂確立音樂取材標準整理美術上之發明
page 3	獻機會頒給委員獎章
page 3	糖業談判會延見出席代表
page 3	埃及草成司法組織計劃書埃頒權會議除三數條外已完全採用
page 3	京滇週覽團昨日全部抵鑪
page 3	勘查川災完畢貝克乘機返滬
page 3	安欽離津赴平
page 3	機關交替須清繳捐機款
page 3	津私貨登記商定變通辦理綢布紗業已接受登記
page 3	巴斯克政府軍嚴守陣地叛軍進攻大受損失政府軍俟敵近前槍炮齊施掃射致陣地遺棄死傷敵兵約有千人
page 3	西政府軍猛攻托勒杜城
page 3	薩拉蒙加發生嚴重事故
page 3	在各口岸叛軍埋置水雷
page 3	德助叛軍不似以前踴躍
page 3	孔祥熙電詢各省災情
page 3	全國美展閉幕自開幕以來參觀者計共達十二三萬人
page 3	行政講習所將舉行畢業禮
page 3	冀察外委會主席由魏宗瀚代理
page 3	西安喜雨人心漸趨安定
page 3	日謀奪取華北棉業投資一萬萬元
page 3	白崇禧出國考察下月初可成行
page 3	柳江煤礦公司讓渡將可簽定合同
page 3	馮玉祥昨抵京日內即銷候辦公
page 3	俞鴻鈞召黨政軍聯議討論應付工潮方針
page 3	鄂豫皖三省長途電話完成分別定期開放
page 3	賀　光返抵渝
page 3	日警會議閉幕
page 3	豫西災民將移瑞金墾殖熊式輝表示歡迎
page 3	早稻田足球隊在滬比賽成績觀眾僅三四十人
page 3	建委會在鄂籌設電廠限三年內完成
page 3	手工藝展品陸續運京參加十四省市出品運到
page 3	朱慶瀾在川發表振災意見
page 3	意奧談話目的增進三國團結
page 3	沃克賀資克海昨夜發生颶風覆漁船多艘墜海者甚眾
page 3	日四工商團體歡送赴歐美考察團攷察團與陸軍當局交換意見陸軍希望攷察團與英美提攜
page 4	普通界籃球賽補賽秩序編妥統計共有廿七場
page 4	南華會救傷隊昨日慶祝得冠軍
page 4	我國海軍籃球隊昨戰太古華人會以一分之差敗北
page 4	乒乓友誼賽工商報勝循環報成績十五比十
page 4	華南運動會閉幕鄭慶庭全場冠軍
page 4	世運四百公尺游泳冠軍麥迪加將作表演定期今晚赴日
page 4	英美銀價無變動
page 4	小林珍得單打網球決賽權今日大林珍對芬渣華決賽
page 5	臨時會議
page 5	入口分配
page 5	吳鐵城談
page 5	李大超談
page 5	放行日期
page 5	下午開會
page 5	米商請願
page 5	劉維熾赴京請示整理粵省工業並向孫宋商洽開發瓊崖外傳劉氏辭職說非事實湯澄波對記者談
page 5	第二期售吸所縮為二百二十家
page 5	黃埔督辦署規定領地手續
page 5	張鐵軍談
page 5	劉石心談
page 5	鄒魯赴莫干山療病中央教職員反對以小洋發薪
page 5	肓人代表謁吳主席請願
page 5	旅滬粵團體請撤農產品專稅
page 5	全國稻麥改進所與中大合作改進粵米救濟粵省民食之治本辦法
page 5	煙商謁英請願日期未定
page 5	省府昨開臨時省務會議四百萬擔洋穀米決分四個月進口吳鐵城決以簡單快捷方法解決民食李大超與本報記者談最遲廿六免稅洋米可進口登記簽證由省府綏署派代表會同民食會辦理米業公會防止資本操縱昨午舉行請願民食會將另訂米市價表以期實惠及民
page 6	理髮匠反對帶口套當局決切實執行職工服裝問題同時劃一
page 6	粵鹽銷湘法變更
page 6	歐陽慧職處置捕獲瘋人談
page 6	林雲陔昨派員攷核審計處工作
page 6	僑務處開始錄用失業歸僑
page 6	娛樂捐章將公佈
page 6	四省所得稅研究會開會記議決設立四省商會研究所得稅會將本會議研究所得呈請財部改善如不獲准由各省派代表赴京請願
page 6	出席代表
page 6	開會經過
page 6	議決事項
page 6	各方協助
page 6	遊覽名勝
page 6	市美十五週年紀念舉行畫展之籌備廣州市立美術學校十五週年紀念大會
page 6	西南民航公司為改善中法航線推派常委劉沛泉
page 6	新任中央航空學校校長陳慶雲
page 6	廣州市園林管理處長過沈熙
page 6	廣東郵政管理局昨日通告
page 6	各縣合作示範區徘徊人員昨已出發合作社並輔導推行民眾教育新會柑橘合作社主任已委出
page 7	載有郵件甚多
page 7	港府通告歡迎
page 7	廣播歡迎情形
page 7	晶報石山閒話三小報被控侮辱法庭案判罰款律政司主控臬司認為案情嚴重被告人承認無知誤犯請求寬恕
page 7	麥正臬司
page 7	開審本案
page 7	冰廠工潮已解決
page 7	違例文字
page 7	年少無知
page 7	該文作者
page 7	該文內容
page 7	侮辱法庭
page 7	如此嚴重
page 7	港府考慮發行公債債額一千一百萬元
page 7	輸港私貨
page 7	私梟合作
page 7	走私計劃
page 7	海陸豐有組織之走私每月私運鎢砂銅仙值四萬餘金
page 7	罰款代刑
