page 1	教市婦女應有之覺悟
page 2	晉南連日激戰我軍頗佔優勢綏東大樹灣Ｘ偽蠢動受創
page 2	蘇南之Ｘ兩路猛犯宋瀆血戰五晝夜我仍堅守陣地Ｘ傷亡七八百依然無進展
page 2	北平偽組織擴大排英宣傳又向項領提條件多項竟要求移交我國白銀
page 2	蒲德利靈櫬起運返國
page 2	Ｘ軍千餘佔定海縣
page 2	新牆河北我國挫Ｘ
page 2	Ｘ機分八批侵犯湘贛
page 2	英法蘇談判英政府希望繼續進行德擬利誘蘇聯進行商務談判之說蘇聯人士認為在此時機不甚適宜
page 2	冀省我軍痛擊殘Ｘ
page 2	滇省土產出口免稅
page 2	公庫法定期施行新滇青寧四督暫予展緩執行
page 2	Ｘ在蘇北偷登不逞
page 2	我Ｘ仍在汕附郊相持梅溪殘Ｘ已完全殲滅英美要求Ｘ保證汕兩國僑民安全Ｘ據南鵬島後有窺陽江沿岸企圖
page 3	英尚未擬對日報復
page 3	保守黨員主張強硬
page 3	英僑但氏被辱經過
page 3	史密斯氏尚未釋放
page 3	英美簽訂貨物交換協定美以棉花六十萬包供給英國英以價值相等橡皮供給美國
page 3	青島舉行反英運動
page 3	Ｘ緩封鎖漢法租界
page 3	英報主張抵制日貨
page 3	新畿內亞發現石器時代生活民族此類民族約六萬人集放而居所用器物均絲石製不穿衣服
page 3	美為津鼓事件向日政府抗議美在華權益倘受侵犯美自必以全力維護之
page 3	蘇向捷廠訂造武器
page 3	法大使離喻飛滇
page 3	日在野要人上書日皇主張對華宣戰
page 3	廣州日當局禁止排英運動
page 3	賀美開國紀念出票七月四日發售
page 3	重光葵發生虛驚
page 3	美伊恢復邦交
page 3	我與蘇聯簽訂通商條約由孫科與米科楊簽字
page 3	法土協定簽字為謀兩國安全之相互義務表示雙方之意見完全一致
page 3	中法信用借款傳已成立協定總數一百五十萬鎊
page 3	日蘇空戰說蘇方斥為無稽擊落蘇機之說尤為不值一哂
page 3	馬超俊等抵築
page 3	星洲會議決定若干重要議決戰事發生時決以星為作戰根據地由英方海軍司令為英法聯軍司令
page 3	國府明令褒揚蕭佛成給喪費五千元
page 3	Ｘ機四十九架狂犯浙寧各縣
page 3	滬市米價回跌
page 3	再度抗議津英僑受虐英外長與日大使會晤日政府對津事件真意尚未明瞭張伯倫謂英已到礙難容忍程度
page 4	暹羅海關檢查行李辦法
page 4	劫案獲一疑犯
page 4	招商建新督府
page 4	東莞義學賣花募得四千餘元
page 4	僑菲學生代表劉子望昨抵港
page 4	捐金購債彙誌
page 4	中美文協會二次聚餐大會港督羅富　將出席演說
page 4	永祥金舖劫案將公審加控　二被告兩罪名
page 5	新鶴河道頻被騷擾
page 5	Ｘ陣迭有示威舉動
page 5	Ｘ機竟繪偽旗符號
page 5	十沙發現冒旗Ｘ艇
page 5	鄧龍光令向Ｘ襲擊
page 5	新開路我軍之活躍
page 5	我軍發動大舉反攻
page 5	粵省兵役協進會加緊鼓勵民眾從戎舉行國民應征兵役比賽擬定改善兵役注意事項
page 5	舉行應征兵役比賽
page 5	改善兵役注意事項
page 5	順德我團隊夜襲沙頭Ｘ營之激戰在順屬之一區五支隊報告
page 5	桂洲海尾Ｘ艇昨又進擾小黃埔不逞我團隊迎頭痛擊Ｘ即退去
page 5	Ｘ艦滋擾崖門並在二虎登陸
page 5	省府改善保甲長之待遇
page 5	汕市血戰繼續展開我軍克復菴埠東湖詳誌汕東陳厝我Ｘ之激戰
page 5	Ｘ擾東湖又犯庵埠
