page 1	美日關係決難調整
page 2	我使用美國借款定購大批轟炸機
page 2	野村將來華視察美人評松岡談話
page 2	英報斥松岡矛盾徒引起美華反感
page 2	荷蘭公主赴華盛頓白宮準備接待
page 2	丹麥人集合作反納粹示威納粹黨人與警察衝突
page 2	加驅逐艦一艘被德潛艇擊傷
page 2	希特勒演說謂決繼續戰爭全篇演詞只係攻擊英國並未提及日蘇希等關係
page 2	羅斯福視察行蹤
page 2	提及意國
page 2	西沙漠英軍開始閃電攻突襲馬比亞空軍出動炸擊比尼納獲得意俘虜五百餘名
page 2	匈南成立不侵協定
page 2	英內務部宣布處決兩德間諜
page 2	保國表示決心與土成立諒解羅國圖增加通貨發行額羅一煤油庫突發生爆炸
page 2	汪機關報亦作排猶論調
page 2	英加強海疆航空隊保護商業航線
page 2	汪組織將發行新幣暫仍承認中央法幣
page 2	美對財政援英問題摩根韜談尚未考慮救濟西班牙問題在研究中上院議員質問安定金用途
page 2	充分準備
page 2	最後決勝
page 2	貧富懸殊
page 2	貨幣問題
page 2	英政府正式宣佈續貸我英金一千萬鎊一半供我國外匯平準基金一半使我向金鎊國購軍械
page 3	貝當抗德壓迫魏剛準備退路
page 3	意欲守華倫納黑衣相親出馬
page 3	我海疆部隊渡海夜襲廈門蘇我軍攻逼昆山縣城皖南我軍向青陽進擊
page 3	美決援助貝當抵抗引誘親德
page 3	日明年預算案龐大異常超過一百萬萬圓有奇侵華戰費亦幾佔半數
page 3	中國書畫雕刻展覽會在蘇京舉行深受各界歡迎
page 3	李司令長官發表談話暢談　中奏捷經過
page 3	泰空軍連日飛越轟炸越法軍開始武力對抗越督代言人宣言仍望和平解決昨晨老撾邊界雙方有激烈炮戰
page 3	泰機連日飛越空襲沙文納克
page 3	法機襲泰報復砲兵隔河互轟
page 3	英委亞力山大為英倫南部國防軍司令馬太爾為裝甲軍隊總指揮官
page 3	粵定兩年內增糧八百萬擔
page 3	日決召回在華政客因彼等在中國活動反令中日關係複雜
