page 2	中國果不能進於軌道乎二
page 3	王揆在假期中閣議由閣員輪流主席
page 3	曹錕保蔡成勳督辦江西軍務黎元洪有難意張紹曾擬易以總司令尚未決
page 3	直系疆吏賀盧信電已發現偽造
page 3	昨日孫文先向國會議員發表宣言謂前六年間分裂中國之南北戰爭業已告終員晉京盡其職務云
page 3	公府會議無人允代閣揆決留王寵惠先准王假閣議時各閣員輪流主席現閣員概不動王尚未允黎元洪以王決辭約各派商後繼問題黎不欲與實力派破臉先以無黨派色彩之顧維鈞繼王但益友政學兩系力主張紹曾顧尚推卻
page 3	昨眾議院選舉副議長褚輔成得八十三票張伯烈七十五票未過法數須決選
page 3	盛傳益友政學兩系領袖協商議員投唐紹儀同意案每票五百元
page 3	空氣名單內務孫自兼外交顧維鈞陸軍張紹曾海軍湯廷財政高淩霨或邊守靖司法徐謙農商邊守靖交通高恩洪教育汪精衛或馬君武
page 3	洛陽方面傳布孫洪伊組閣
page 3	漢口傳許崇智部由粵敗退現在大庚與李黃各殘部會合蔡成勳又派隊往攻許李仍堅持未退
page 3	吳佩孚反對唐閣二十日電末謂天子有諍臣父有諍子敢進言黎元洪覆電許為忠言嘉謨惟聯奉則否認
page 3	聞黎元洪主開各省代表會解決國是請孫文北上主席吳佩孚不滿於國會亦表贊同
page 3	國務院秘書廳昨已開工法制銓聚統計三局繼起索欠各機關亦群議仿行
page 3	王寵惠定廿四日在迎賓館宴請議員及各機關簡任以上職員請顧維鈞代作主席
page 3	黎元洪派金永炎往醫院訪王寵惠被醫生拒絕
page 3	近傳張作霖撥錦州新練砲手二百到榆關助守要塞志圖報復吳佩孚亦戒備甚嚴聞京奉京漢有軍事運輸
page 3	漢口訊劉湘派代表赴洛陽求援並商請陝鄂各軍入川劉成勳亦派代表赴京請令鄂守中立均已過漢北上
page 3	董康周自齊已到滬定艷日廿九號放洋赴法國參預中法實業銀行改組事
page 3	益友政學各派
page 3	廖仲愷已到上海自稱在粵備受苛待
page 3	尚待催生之廣東省長
page 3	廿二號北京電
page 3	謀殺庶母案開審有期
page 3	歐戰紀念碑招人承築
page 3	帆船罷工之餘聞
page 3	大新公司劫匪判監
page 6	總統補行辭職之真諦徘徊歧路之政象
page 6	國會議員俱樂部與選舉總統
page 6	黎澍離滬前之談話
page 6	洛吳關於內閣之兩電
page 6	陳獨秀判處四百元罰金
page 6	招商局海員罷工之近訊
page 6	中國海關所用洋員之統計
page 6	被控假冒潔淨局人員行騙
page 6	軍火案
page 6	被控拐帶婢女
page 6	在潛艦斃命案開審
page 6	被控夾帶家財判結
page 6	銀價
page 6	影畫誌
page 6	無從投遞之電文
page 6	摩托車輾傷兩
page 6	騙案判罰
page 6	煙酒未納稅判罰
page 6	中日野球比賽
page 6	演戲籌款賑災
page 6	巨雷毀壞電話線
page 6	九龍城劫案
page 6	煙案
page 6	風報
page 7	唐紹儀對善後督辦之意見
page 7	陳炯明組織政黨之消息
page 7	軍官筵宴中之槍聲
page 7	魏邦平返省理行裝
page 7	李錦綸辭交涉局長職
page 7	軍人捉雞之惡作劇
page 7	電揭黃沙查緝廠擾商
page 7	留魏電兩則
page 7	二競存對議員演說之別報
page 7	謝文炳日間來省
page 7	高廉軍事消息
page 7	反對張其長桂之反響
page 7	僑澳工團對葡駐省辦事處宣言
page 7	第貳路前方部隊將班師
page 7	新任樂昌縣
page 7	教育界會議紙幣問題
page 7	仁化縣之戰後情形
page 7	香山小　之戒嚴
page 7	愛爾蘭總司令被剌
page 7	上海海員罷工近聞
page 7	馬克又大跌
page 7	瑣聞一束
page 7	軍十回防潮汕記
page 7	配鹽行銷西省之保護
page 7	承領官產須繳銀毫
page 7	公安局提議拆閘
page 7	令各機關發還商輪
