page 2	辛西之　世　　中國
page 3	張作霖盧永祥何豐林均有電擁護梁閣張電詞極激烈盧電請宣布政潮內幕詞稍和平梁密赴奉天未回京續任與否無表示
page 3	梁士詒決意不再辭職即辭亦擬使朱啟鈐繼任但張弧高淩霨意果爾則聯同辭職以示拆台
page 3	張作霖陷三十日通電為梁士詒辯護並責曹錕在京承認梁閣全失信用大礙威信故梁士詒態度轉硬有銷假意
page 3	保定支四號日會議聞吳佩孚有與會訊奉天亦於歌五號日會議直系擬保張志譚長交通　奉天交換條件
page 3	張作霖謂有何人組閣但交行借款必須維持否則力爭
page 3	交通系近在天津聯絡張紹曾疏通吳佩孚
page 3	舊歷年關奉軍領餉百五十萬元
page 3	淮蘆鹽商反對鹽餘庫券
page 3	顏惠慶張弧赴天津詢問梁士詒果否銷假梁無表示
page 3	請設中人見証局
page 3	海員罷工風潮九誌
page 3	某紳口中之政府態度
page 3	舖底登記之觀望
page 3	廣西江口軍事餘聞
page 3	陳炯明由惠州回省
page 3	美京　傳中東路共管因華代表反對中止改組列國董事會
page 3	奉直兩系近日多扣留車輛預備出發便張景惠極不主張決裂
page 3	顏惠慶赴天津晤靳雲鵬以致京中謠傳靳再出組閣一說則謂靳將督魯
page 3	梁士詒定歌五號日返京魚六號日宴客聞有銷假說
page 3	徐世昌利用奉直齟齬暫不提出繼任組閣務達代揆政策
