page 1	德蘇關係在轉變中
page 2	開封日軍糧彈被焚損失達千萬元隴海路楊集站遭我奇襲碭山日軍馳援復遭痛擊
page 2	贛北激戰未已奉新城下日軍伏屍纍纍
page 2	皖南日軍全無鬥意經我痛擊潰竄皖西我軍迫攻壽縣
page 2	勇士周青雲手刃日兵十餘名
page 2	日人民陣線案即將開審歷二年半調查竣事
page 2	蘇報揭露日本內部分裂軍閥等不願放棄侵略中國自由主義者堅決反對侵華
page 2	漢偽軍被日繳械
page 2	皖日艦一艘觸雷沒沉日機一架被我擊落
page 2	浙西日軍兇燄已戢
page 2	豫南日軍車遭我伏擊
page 2	鄂南我軍再傳捷報
page 2	聯軍與美商務談判結果
page 2	德托拉仙尼昨日逝世
page 2	鹿角湖面擊沉日艇兩艘
page 2	匈政府聲言多瑙河應共管不應由一國負責
page 2	英國勞工登記參加軍役有三十餘萬
page 2	蘇軍佔領區波人被迫遷徒波蘭人徙西比利亞遠東居民移入波蘭
page 2	滬工部局英董衛士被刺
page 2	中經學社在渝開會
page 2	嚴逆寡媳母女服毒自殺
page 2	美陸軍部次官約翰臣氏演講美並不欲遣派軍隊赴歐洲美陸軍足供保護本國安全
page 2	中振會振濟石屏災情
page 2	華北傀儡與汪勢成水火
page 2	津市煙窟大增當局無限制　意
page 2	捷名飛行家那華克氏逝世
page 2	晉城近郊發生血戰安陽殘日全部就殲張茅路東側戰事我軍極佔優勢
page 3	德機炸傷英兩巡艦
page 3	德誣英機轟平民區
page 3	　羅士鎮現尚沉寂
page 3	長達八千里英法對德封鎖線西起冰島東達錫蘭阻止德國海外貿易
page 3	德外長發表白皮書英痛斥其說謊比美人士不願有所批評正待聯軍方面如何答覆
page 3	德機濫炸挪威各地
page 3	挪威戰局已有轉機
page 3	英國金融界反對西門爵士預算案恐為將來通貨膨脹闢一門徑
page 3	希特勒以親筆書致於墨索里尼其內容係有關國際時局意似有參戰動向之準備
page 3	南斯拉夫遭受意國威脅國人受歐戰影響無心慶祝復活節
page 3	巴荷商輪互撞巴輪登時沉沒
page 3	以窩士為目的德軍分兩路推進史丹克扎爾方面將擴大成陣地戰南薩斯鎮被德機襲擊已淪為焦土
page 5	　洲湖日艇又活躍
page 5	都斛情勢刻已鬆弛
page 5	馬騮洲日偽突撤退
page 5	灣仔封鎖後之民食
page 5	中山團隊請捐藥品
page 5	嶺東日軍又增援進犯蓮陽圖窺粵閩邊漢奸混入饒澄活動我已嚴防
page 5	播放謠言企圖恫嚇
page 5	侵入蓮陽附近各鄉
page 5	連日潮汕激戰迭起
page 5	軍政部令解釋獨子免役問題分先天後天人為三種
page 5	三埠各界慰勞中央軍隊
page 5	新委花縣縣長王樹昨已就任花縣之糧食價格
page 5	日機炸四會城犯南邊日軍被擊潰
page 5	增城區長不為日誘省府先傳令嘉獎
page 5	社教設施須與黨部聯繫省府之通令
page 5	省府調查國民服兵事蹟
page 5	日又揚言竄犯東江
page 5	日機散放荒謬傳單
page 5	漢奸潛入內地被獲
page 5	第四戰區游擊指揮所主任易人訊石龍日軍又揚言東犯漢奸入內地被獲甚多
page 5	粵衛生處普遍衛生設備
page 5	西江下游形勢又趨嚴重江會各線日來頻有接觸日艇又向銀洲湖窺伺都斛情勢已略見鬆弛中山團隊請捐助藥物馬騮洲日偽昨突撤退仍泊有日艦
page 6	西江日軍屢圖蠢動我軍攻赤馬崗之激戰日汽艇窺擾金利被擊退
page 6	向赤馬崗夾攻
page 6	被我個別圍攻
page 6	爭取戰區民眾粵奉令限制難民回籍回籍難民須先經相當訓練並令參加日後方抗戰工作
page 6	回籍難民處理辦法
page 6	進行訓練堅強意志
page 6	發動參加襲日後方
page 6	游擊隊襲朱村廣增路日軍車被炸
page 6	粵北各縣禁止耕牛出境
page 6	西江之日汽艇
page 6	東江鹽場瀆職人員被留
page 6	廣東防空司令部嚴密各防空工作詳細編擬應行注意事項印發參酌辦理鞏固空防
page 7	副偵探幫辦梯剌談貨船聯防辦法配備武裝結隊航行設置警箭召艦援救
page 7	發展農業計劃史傑頓史已呈獻港府
page 7	義學請改善新例教育司不接納因教育局僅為執行法令機關全港教育界擬再向港督呼籲
page 7	港澳輪擬劃一客貨載腳
page 7	粵救護會港分會增聘委員多人
page 7	港督夫人昨招待女童軍
page 7	港婦女界籌辦婦女會所
page 7	住聯會呈獻政府之減租辦法全文昨公佈對業主與包租人濫索租值均有制裁新建樓宇祇准按值徵收百分一租金
page 8	米貴原因
page 8	柴價微跌
page 8	赤灣天后與大廟
page 8	粵省加緊緝私訂定舉報走私獎勵辦法
page 8	攜舊衣赴越須領簽證貨單我駐河內總領事通告
page 8	汽車中失竊案
page 8	澳門定期賽馬
page 8	海關調整鯊魚涌屯積貨短期內不發新運輸證
page 8	被留丹輪貨物准由貨主領回
page 8	全港歌伶義唱昨晚在蓮香陶園舉行
page 8	長沙會戰獻映各界參觀者千餘人
page 8	記者學會決設立圖書館
page 8	旅客服毒殞命
page 8	蘇對遠東態度不變仍繼續以物質助我國耿濟之返國抵港談話
page 8	李鴻飛畫展會昨在聖約翰開拜堂開幕
page 8	港青年獻劍團定下月再出發
page 8	奮興會徵求隊聚餐
page 8	一迷路女童候領
page 8	警探撈　兩浮屍
page 8	開本港新紀錄保險銷貨場出現
page 8	本港糧食不虞缺乏現存白米二百餘萬擔米價高漲純係載腳昂貴所致柴薪來源亦多連日市價微跌
page 10	友誼籃球賽菲娘子軍昨日告捷南洋商學院以十二比廿七敗績
page 10	香港乒乓聯合會選出本屆委員
page 10	友誼球賽戰績
page 10	九龍學籃賽程
page 10	征越埠際足球隊大軍今日動員一行十九眾軍容甚盛歸期約在五月十二日
