page 2	我欲為程天因黃桓進一言三續
page 3	交行准六號不限兌現
page 3	國務院重訂秘書辦事規則仿元年辦法
page 3	駐夔巫川軍已向重慶撤退
page 3	孫傳芳派員在施南收撫潘正道藍文蔚等殘部聞投誠者甚眾
page 3	魯人排擠田中玉甚力張作霖曹錕均主張靳雲鵬督魯已徵求靳同意
page 3	廢除中俄舊約及陸路通商章程將提交閣議
page 3	吳佩孚二號電京索餉詞極強硬梁士詒張弧商由新銀團發行鹽稅公債九千萬准華銀團加入九三六扣年息八厘七還期八年半每年抽還二次新銀團恐中國零星抵借已表示承受但從前中國未承認新銀團條件此次暫行劃開不訂祇認舊銀團權利移交新銀團
page 3	赦案福罪魁命令司法部長不肯副署徐世昌親筆改交陸軍部調取察看無赦字由陸軍部長副署發表
page 3	姜桂題呈請赦王揖唐
page 3	張敬堯將任為援庫先鋒隊司令
page 3	交行鈔票定六號全兌現五號請由財政交通兩部派員驗款
page 3	梁士詒挈二妾一子進駐國
page 3	務院以後決定星期一入院星期六日出院
page 3	赤塔代表揭發日本圖西伯利亞之野心謂其聯法圖在華會活動聯謝米諾夫圖破壞遠東共和國又垂涎該境畋獵捕魚森林礦產等優先權美國輿論大譁
page 3	又電中國切實徵稅五厘辦法實增稅厘半
page 3	交行總協理改任朱啟鈐孟錫鈺
page 3	張勳督辦皖贛礦務
page 3	北京各團推舉代表十人赴公府及國務院各部請照元旦自治令市政歸地方自辦
page 3	聞陸宗輿有任京市政督辦訊息
page 3	外交界訊息華會增稅七五不裁厘如裁厘則須加至一二五各國均贊成先加七五日本亦不反對但提議改訂物價後再實行意在藉此延宕
page 3	吳佩孚對赦安福罪魁雖屬反對惟不欲與張作霖衝突
page 3	鹽稅公債稽核所巳允簽字上月鹽餘五兆三廿八日已交付即經曹錕張作霖分去新年無款收入各處請款均無以應
page 3	公使團消息三十號顧維鈞訪休士以日政府與日代表對膠路意見兩歧請休士及貝爾福作證休士允許幹旋
page 3	北京各校教員議定十號前不清發欠費決不開課
page 3	陝西電三十號潼關開戰激戰三日夜尚未放砲又張藩在安康陳樹藩在沔縣張寶麟在褒城
page 3	梁士詒定期由五日起住國務院
page 3	滬浦東寶源紙廠昨夜失火全廠焚燬損失約四十萬兩
page 3	東方通信社電交通銀行與東三省銀行成立四百萬元之借款去年末雙方經已簽押
page 3	交行遂全歸張作霖勢力之下聞該行新年　外可應無制限兌現云
page 3	桂軍餘眾之勦撫兩難桂省內患之正未有艾
page 3	徐樹錚赴桂消息又一說
page 3	粵庫支絀之情形
page 3	查復業戶公會情形之呈文
page 3	妓婦墜樓之可憐
page 6	西伯利亞問題
page 6	中國　　增稅
page 6	海軍協約之內容
page 6	梁十詒密電周自齊進行煙酒借款
page 6	張弧上台後之羅掘
page 6	魯督之　鹿觀
page 6	段祺瑞　兒張作霖情形追述
page 6	旅京皖人請調去張文生
page 6	張福來欲藉剿沈軍入長沙
page 6	張作霖對直軍偪餉之表示
page 6	梁士詒謀阻　軍北伐
page 6	梁士詒之統一夢
page 6	梁士詒調劑新交系之一法
page 6	新發明之鐵路枕木
page 6	船政署案
page 6	本港種痘談
page 6	傳染症
page 6	梁士詒電謝　商
page 6	銀價
page 6	開濼礦局報告
page 6	港紳　獲獎嘉禾
page 6	無從投遞待領之電報
page 6	德大將在上海設電器廠
page 6	意國銀行失敗續聞
page 6	愛爾蘭和約之波折
page 6	勞農政府欲與中國同盟
page 6	上海紙廠失火
page 7	禁止雛妓營業之辦法
page 7	預算書中之教育費續
page 7	柳州粵商　禁軍隊騷擾
page 7	桂省散兵為患雜聞
page 7	許崇智在桂之弭盜振新法
page 7	馮銘楷屢請調兵回欽防
page 7	請派隊彈壓番屬械鬥
page 7	二千金贖回死屍
page 7	拐賣胞侄
page 7	糞工要求兩事
page 7	新會人反對抽收割葵捐
page 7	營長干涉選政被拿
page 7	台山縣議員控告縣長
page 7	軍人賭錢獨不禁
page 7	李烈鈞設聯軍糧秣局
page 7	開投花捐之布告
page 7	緩刑宣告範圍之解釋
page 7	廣西大安商會領槍
page 7	續辦第二次農品展覽會
page 7	飭查鋸木工人之爭執
page 7	河南鄉民控軍隊庇煙賭之批詞
page 7	瑣聞一束
page 9	撤廢在華客郵案之施代表演說詞
page 9	被控幫助犯人逃走案
page 9	范基光首程返國
page 9	北海部吞餉清查報告
page 9	稟請翻審
page 9	用鏹水淋妓婦被拘前晚四號
page 9	新嫁娘入門產子
page 9	南華賽球及旅行
page 9	新年同樂大會
page 9	警署文案被控虧空案
page 9	夫毆妻之救命聲
page 9	偷衣判監
page 9	貨車與摩托車相撞
page 12	總商會致市政廳函
page 12	　僑教育附　師
page 12	廣州廢娼運動之呼聲
page 12	胎盤硬化之怪胎
page 12	陳省長親勘大佛寺再誌
page 12	藉學宣邪
page 12	教員加薪運動之進
page 12	無期　　　市參　會
