page 1	英美法三國上海會商後
page 2	南林橋之Ｘ仍在包圍中
page 2	晉冀察邊區我Ｘ血戰經旬我獲大勝共斃Ｘ千餘人Ｘ仍調增五台企圖再犯
page 2	瓜州英勇青年刺中岩松中將傷勢甚重送滬醫治宿遷縣長抗Ｘ告捷
page 2	翼城之Ｘ向南退竄
page 2	Ｘ巨型運艦被我擊中Ｘ損失極重
page 2	京鎮區各縣黨部電蔣總裁致敬
page 2	我神鷹隊猛炸南昌Ｘ軍聲聞數十里
page 2	魯中Ｘ敗走泰安
page 2	新會之Ｘ蠢動受創三水Ｘ犯黃寺為我迎頭痛擊
page 2	日方宣傳蒙偽衝突擴大關東軍決派兵進攻外蒙
page 2	國聯對華合作加緊推行
page 2	Ｘ對滬工務部新要求現尚未提出堅持改組工務局難成功
page 2	德郵船開始在西國港停泊
page 2	日圓續跌每圓值法幣九毫四仙半
page 2	汪飛東京與日外省會談
page 2	猶人九百名仍飄泊海上
page 2	Ｘ俘虜為我縫製軍衣投誠Ｘ軍官佐合　抗戰歌曲
page 2	鼓浪嶼形勢陷於僵持之局及川將歡宴各國海軍司令企圖談商　決鼓浪嶼問題
page 2	日首相將晉謁西園寺討論日本政局
page 2	我軍夜襲滬西奪獲軍械甚多
page 2	鄂中我軍進佔沙港殘Ｘ向岳口竄退Ｘ強渡襄河企圖進犯潛口漢宜路激戰Ｘ軍傷亡奇重
page 3	日元偽鈔狂跌我國法幣戰勝日元財部發言人發表意見
page 3	英準備加強遠東政策將對日實行經濟制裁並以照會致日仙容積極考慮中三國在滬會議對此將有所影響
page 3	南國決定戰守中立態度在貿易上與德意合伴在政治上與維持獨立
page 3	德丹兩國締非侵略協定昨在柏林正式簽字
page 3	英報發表擴充海軍程序目前有主力艦九艘在築建中陸軍方面特加設兩軍事總監
page 3	法限制日貨向摩洛哥傾銷
page 3	謠傳蘇聯繼續清黨運動
page 3	英政府關懷波蘭國防曾派軍事專家調查波蘭軍備將與蘇法討論援助波蘭辦法
page 3	英法蘇互助協定不久可以成立英駐蘇大使奉令謁蘇外委長解釋英方提案內容免蘇懷疑
page 4	殷戶紛紛僱用留保良局婦女
page 4	富翁環遊世界亨利麥連抵港
page 4	中大服務團東江隊抵龍川
page 4	孔聖會義學定期賣花籌款
page 4	中旅劇團下月公演新劇
page 4	汎美機昨未到港
page 4	英海軍尋覓水雷
page 4	中青救護隊近訊
page 4	七七二週年紀念日中央將頒發抗戰獎章凡出錢出力救國者均有獎粵僑務處昨通告頒獎辦法
page 5	張弛巡視各地前線
page 5	江佛路Ｘ自動撤退
page 5	江會疫症Ｘ多傷亡
page 5	江會市內Ｘ兵突減
page 5	江門糧食發生恐慌
page 5	中山沿海已無Ｘ艦
page 5	北線我軍風雨中襲Ｘ太平場Ｘ昨援神岡我出擊中潭新街Ｘ
page 5	我襲神岡大同激戰
page 5	我便衣隊擊退Ｘ軍
page 5	新街Ｘ軍蟄伏不出
page 5	Ｘ方交通被我破壞
page 5	香翰屏兼任游擊指揮在第四游擊區設所
page 5	粵機工總會救濟工友
page 5	Ｘ機旬日來騷擾新開台各地彙誌
page 5	Ｘ在佔領區組特務所當局各地嚴防
page 5	三洪奇河面Ｘ輪觸雷沉沒
page 5	第五游擊縱隊司令部召開軍事會議
