page 1	吳佩孚變篩之疑傳
page 2	Ｘ當局限期牯嶺外僑撤退我游擊隊在廬山極活動Ｘ軍在廬決定採行轟炸
page 2	包爾溫訪日說並無根據
page 2	Ｘ軍車離滬二里被游擊隊截擊車上之人悉被擊斃
page 2	德最近完成一防空線沿線置有高射砲威力極大
page 2	同濟大學三月在滇復課
page 2	我空軍飛潿洲島偵察圍洲島附近泊有Ｘ艦三十餘艘Ｘ山台灣調化學部隊來粵增援
page 2	修河北岸Ｘ炮擊我陣地
page 2	李主席訂定準則六項頒示各級機關以便鞋推行新政
page 2	傳逆筱庵媚Ｘ組所謂自衛團所招致多屬匪類滬市盜劫案迭案迭生
page 2	新任中宣部長葉楚傖昨視事
page 2	德在加洛林群島建築防禦工事此舉德已得日允許予美國以莫大威脅
page 2	有田宣稱歡迎英政治家訪問日蘇漁業問題仍繼續交涉
page 2	法向美訂購大批飛機價值三千五百萬美金
page 2	殖民地問題英將拒絕討論東菲坦卡尼加一地英決不以之還德國
page 2	法外長接見駐華大使
page 2	華北民眾團體通電揭發Ｘ冒名籲和奸謀窺其用意在分化我抗戰力量使我分崩意餒之後任其宰割
page 2	對羅斯福報告柏林各報均表示不滿官方拒加批評
page 2	美允以軍火售英法英認為係恢復歐洲均勢貢獻英法既可利用美國軍火工業足削弱德意軍備上優越地位
page 2	黃河北岸形勢穩定Ｘ犯中條山死傷八千餘人我冀省克復鹿縣晉克氏猗氏
page 3	美陸軍次長演說美應積極擴軍某某國擬已武力控制全世界美國處此自不得不整軍經武
page 3	墨索里尼檢閱黨軍
page 3	捷前總統赴美講學
page 3	美人萬二千人同情西政府軍在意領門前集合反對意德助叛軍
page 3	英王召見首相
page 3	菲政府自力經營油礦拒絕外商要求
page 3	英人士批評希特勒演詞已趨緩和並未要求重行分配殖民地戰爭威脅已不若前此之甚
page 3	東京罪犯增加實因戰事影響失業因窮所致
page 3	孟哈頓電梯工人罷工當局派警三百人前往以維持秩序
page 3	于斌離法赴美為中國三千萬難民請命此行準備在美作半年勾留
page 3	日擬修紙愛知英方並示接到
page 3	Ｘ政府計劃統制食米買賣米商聯合反對
page 3	旅美華僑捐款十萬蔣委員長傳諭嘉獎
page 3	教部體委會舉行全體會議
page 3	蘇滿邊境又發生衝突板垣謂自張鼓峰事件已來日蘇均積極加緊軍事準備
page 4	謙司提審
page 4	至一小路
page 4	被劫經過
page 4	搜查私寨
page 4	慈善跳舞比賽初賽今日舉行
page 4	牛　灣截劫案昨初審被告為兩印人一葡人
page 5	Ｘ艦百餘艘集順德九江
page 5	Ｘ　不遂恣意蹂躪南三各鄉重罹浩劫壯丁隊奮起抵抗斃Ｘ甚眾
page 5	九江Ｘ兵繼續撤退江門人心安定
page 5	Ｘ軍汽艇過往小艇
page 5	Ｘ在廣州設團統制物價廣州全市煙賭亦由該團批投
page 5	梧抗Ｘ會劇歌隊前線慰勞將士
page 5	碧江又被土匪洗劫向達德鄉所打單勒索伙食二萬元
page 5	Ｘ艦十八艘西駛料係增兵廣州　南路謠傳Ｘ窺潮汕實不確
page 5	石龍太平等Ｘ竄擾茶山橫瀝北柵情形Ｘ在茶山設偽維持會現仍未退東寶游擊隊紛往常平襲ＸＸ寶屬漢奸做謠南頭昨夜之虛驚深圳市日漸繁榮限期電廠規復
page 5	Ｘ擾茶山設偽組織
page 5	太平Ｘ一部駐北柵
page 5	南頭城前夜之虛驚
page 5	深圳市面日漸繁榮
page 5	寶安機關政費停支
page 5	西江我軍節節勝利西北江Ｘ軍全線動搖前月廿八日晝夜殺Ｘ之戰績新街Ｘ退石井高塘附近安謐
