page 1	兒玉謙次將任駐華大使
page 2	刺汪宋案公開審理各犯對起訴罪狀均諉為不知情
page 2	宋美齡擬六月間赴美羅總統夫人亦將來華
page 2	王寵惠昨向政院職員訓話注意合理化與經濟化提高行政效率時時求進步打破舊日維持現狀心理
page 2	各地舉行清黨十週年紀念
page 2	察北極為平靜將有戰事說不確
page 2	滬美亞等廠工人又發生罷工潮
page 2	日財閥小倉正恒又將來華視察
page 2	津私貨登記布疋業尚觀望
page 2	冀察赴日攷察團團長內定張自忠並決於本月二十日後成行
page 2	何柱國談陝省恢復原狀將晉謁何部長請示所部防地
page 2	中華籃球隊勝日關西學生該隊定十四日抵東京
page 2	傅作義在平稍留日內赴並轉綏
page 2	津鮮人兇殺華人案日允付撫卹費
page 2	李思浩抵滬談欲根絕華北走私須取消冀偽組織陳中孚現擬以私人名義東渡商談此事已得宋哲元之許可並助川資
page 2	林主席昨抵長沙民眾三十萬人夾道佇立鵠候商店機關懸旗燃炮熱烈歡迎
page 3	宋子文何慶欽等昨赴甬祭蔣錫侯蔣錫侯昨十四日設奠十一日安葬
page 3	西國政府割地求助英法覆牒內容發表願竭力縮短西內戰時期但並未提及摩洛哥問題
page 3	西叛軍採報復手段猛烈轟炸馬德勒砲彈紛落城中各大街頗多損毀
page 3	汪主席昨訪沙王晤談對蒙政近情有所商榷
page 3	行政院例會議決任命周炳琳為教部常務次長任命陳繼承為中央軍校教育長
page 3	第一軍奉令調徐駐防
page 3	黃慕松追贈陸軍上將國府昨已明令發表
page 3	王外長答訪英俄大使
page 3	馮玉祥昨返京
page 3	西叛軍封鎖北部海岸英商輪被迫駛入法國海港英內閣在十一日晚舉行臨時會議決定對保護商輪將採　強硬態度
page 3	湘鄂贛糧業代表舉行聯席會議
page 3	比補選國會議員席首相齊蘭獲六多數票勝利萊克斯黨領袖德格勒爾終于落選比國民主制度將因此而大見增強
page 3	日總選戰尖銳化政友民政兩黨聯合戰線表示反政府態度在舉黨一致下以打倒林內閣為目標期望必勝至政府方面對於政黨亦已開始積極採取攻勢
page 4	市校運動會昨閉幕女跳高一項何雪貞破全國紀錄小足球一再決賽五十二小得冠軍
page 4	普通界籃球賽港大克服英華乙組黑白行陽光得勝
page 4	昨日三場單打網球賽林珍兄弟奏凱芬渣亦以二對零勝黃福南今日有單打一場雙打兩場
page 4	高級射擊比賽第一週結果文員組壓倒警察海陸軍文員得七十四分警察隊得七十分海軍得六十八分陸軍祗得六十分
page 4	　東亞體專學校女籃排球隊抵省
page 4	南華體育會徵求本月十五日結束十二日起　人員在桌球場收
page 4	兩棋王鏖戰六局周德裕勝利得金章二總成績三勝二和一敗第二局和
page 5	市府函請財廳劃定省市稅捐徵收區域界至不清易生爭議
page 5	粵路公債基金會報告
page 5	鄒魯月內南返
page 5	美國輪船粵籍海員多失業昨有卅餘人返省華籍海員將全裁
page 5	桂省各軍事機關改由中央直轄訊龍州對汛督辦著航空校與邕軍校均分別改隸中央
page 5	實部派程天固來粵助理洋米入口事沈國瑾等訂五項辦法昨日財政部尚未批復
page 5	米舴請通融起卸
page 5	瓊穀米業之呼籲
page 5	清黨紀念誌略
page 5	財政廳昨已照常辦公曾代廳長派員解釋及條諭各科照當服務沙田牛皮稅改期開投會計獨立之急於實施昨　首次財務會議
page 6	汽車支會呈請社會局調處糾紛公共車昨輾傷　小童
page 6	停發司機牌照
page 6	昨又輾傷路人
page 6	李卓元李江聯同就職之情形余謀監誓並訓話
page 6	下景泰柯子嶺各墳山多被盜掘
page 6	市商會呈請中央撤銷鹽加稅
page 6	廣州迎吳之準備
page 6	黃故主席公葬期墓地擇定永泰莊
page 6	廣東全省長途電話管理委員會
page 6	交通部廣州航政局通告各航商雲
page 6	航政局奉交通部訓令昨十一日令飭廣州航業
page 6	閩贛湘桂與粵省交通啣接之進行入閩五路入贛五路入湘兩路入桂三路
page 6	建廳接收新鶴公路在該路行車權未解決以前均由南路公路處接管行車
page 6	李基鴻對本報記者談粵省煙毒決依限清除粵因有特殊情形禁煙條例亦增多公署地址已擇定準備十六日就職
page 6	焚車難屬會昨開執委會議記路局對發給辦法再呈請鐵部核示
page 6	捲煙等增稅後捲煙統制將實施訊滬方停工粵市煙價增漲火柴實行聯營經已增價
page 7	僱輪出海迎迓
page 7	港督派員往迎
page 7	主席笑容可掬
page 7	各方歡迎代表
page 7	洋米免稅問題
page 7	發表書面談話
page 7	代表登輪致意
page 7	香　酒店休息
page 7	主席政績昭著
page 7	隨同南來人員
page 7	羅等設宴洗塵
page 7	首飾商會呈警察總監原文述兩店被掠經過繁盛之區匪徒竟得從容而逸警笛齊嗚十五分鍾尚無警至
page 7	袍澤致歡迎詞
page 7	今日在港酬酢
page 7	新任粵主席吳鐵城昨抵港明日晉省發表畫面談話對僑胞熱烈歡迎表示深感返粵後當益自勉使無負故鄉父老之期望各僑團歡迎會今日舉行港督亦設宴招待
page 8	舖在油麻地
page 8	高擎槍在手
page 8	動作檢純熟
page 8	金器多密藏
page 8	米行代表今日謁吳主席懇於最短時間准洋米免稅入粵
page 8	吳邁慘死案中央巡理案昨開堂研究醫生證明破頭割勢致死生　每宣傳　盡漢奸抗敵救國雖與女友往來但未聞有戀愛事
page 8	澳人昨開迎督會　斯多誤 將返葡
page 8	蘇銳淞返國抵港
