page 1	韋爾斯抵德
page 2	晉豫戰況
page 2	華德主教力言我國抗戰必獲得勝利中國取勝之道在地勢廣闊人民生活低下愛國心增進
page 2	考試院將召開中央行政人事會議議會秘書處業於日前成立
page 2	滬巴士罷工潮仍未解決公司暫僱外籍司機俾得維持市面交通
page 2	魯濟陽以西發生劇戰
page 2	平津西南日軍出擾被擊
page 2	浙江大學已遷貴州復課
page 2	滬租界罷工風潮澎湃
page 2	偽維新政府又傳四月成立中華日報所傳出消息
page 2	上海三十餘醫生返回內地服務係應中央衛生署之召
page 2	樊克林與三浦簽訂協定解決警權問題
page 2	法財長播講戰時財政問題謂已獲得完全解決設法阻止通貨膨脹
page 2	胡佛解釋救濟歐洲計劃初步進行最低限度需要一二千萬金元
page 2	我軍多人進入吉黑兩省預料東北將有大戰
page 2	英保守黨議員質問長江及珠江開放問題政府曾取何種步驟向日交涉使英商船得自由航行於長江
page 2	英協助印度改善國防機構
page 2	英空軍飛入德境偵察
page 2	海外討汪文電
page 2	王逆克敏不願與汪合作將赴日本作久居計
page 2	高郵市附近我軍斬獲甚眾
page 2	主計處編製物價指數報告
page 2	我軍連日向小董進擊澄海我軍已推進彩塘豫北我軍活躍晉東南出擊勝利
page 3	傳德準備與聯軍舉行和平談判德國經已提出和平條件芻議但法外長仍疑其非係有誠意
page 3	中國信用良好可獲美國貸款鍾尼士對記者之談話
page 3	高陶繼續揭發南京偽組織賣國密約二承認日方得獨佔華中經濟利益
page 3	統制電氣通訊事業
page 3	統制華中水電事業
page 3	倘英法封鎖線擴到海參威日將向英交涉當係向英法提出警告勿使歐戰影響到遠東
page 3	達拉第對日記者談話解釋各種時局意見
page 3	顏露爾致書上議院議員力主援華制日美對中國友誼不能忽視必須及早決定制裁日本
page 3	德空軍紀念日戈林又發狂吼非獲得最後勝利不　改變其行徑
page 3	英名小說家班臣氏昨逝世
page 3	荷人發明碧格爾光不能透過窗外
page 3	教部派員視察各省社教
page 3	蘇軍越過窩克士湖衝入曼那陣線維伊普拉城已空無人居
page 3	印度立法院討論戰時預算增加戰費六百餘萬鎊國防費共四千餘萬鎊
page 3	齋籐在壓力下即將宣佈辭職此案可算一結束
page 3	德警告各國勿接納英國航行執照倘有接納英國航行執照者德必另行採取辦法以應付
page 3	維里斯抵柏林將先訪德外長希特勒將對其解釋德國態度表示德國要求結束戰事條件
page 5	又復源源開抵睦洲
page 5	再度侵佔獨洲
page 5	將江會控制後
page 5	均有向我投誠
page 5	李少如電告克復澄海我軍三路合圍潮安
page 5	加緊攻勢
page 5	陣線動搖
page 5	澄海縣長
page 5	西江日艦派兵圖向金利登陸被我團隊擊退
page 5	匈牙利人施保爾來華服務昨抵台山攜大批藥品設臨時醫院
page 5	四邑三埠物價騰貴新昌荻海商會購米舉行平糶
page 5	縣訓所畢業學員無故不得更換軍管區飭屬遵照
page 5	台開恩集款二萬購米勞軍
page 5	盤查哨設置辦法
page 5	各縣普設國民兵盤查所凡役齡男子過境均須檢查如無兵役證拘留強迫入營
page 5	強捕民伕數百
page 5	向增城西南郊
page 5	龍口龍翔一帶
page 5	東北兩路最近戰訊李道軒偽軍赴援增城我軍突襲蛇頭嶺奏捷日犯兩龍平山均被創
page 5	恩平兒教團普收戰區難童擬訂收容辦法兼請各縣協助
page 5	禁酒
page 5	粵省府撥助各縣救濟費
page 5	懲獎
page 5	物價
page 5	陸豐嚴禁飲酒釀酒售酒同處罰金核定物價三一執行
page 5	清　隊設置辦法
page 5	江門日軍增抵睦洲準備開入古井增援又恐江會待援未敢深入順德各偽軍已陸續投誠
page 7	西人輿論漸見緩和
page 7	戰稅法草案之內容
page 7	去月本港氣候得雨一寸二分四厘
page 7	慈善公益會五十週年大會主席報告該會狀況
page 7	英駐滬陸軍司令西門斯昨抵港
page 7	總理逝世紀念賑聯會籌開紀念會
page 7	五邑工商會新職員昨就職
page 7	車中發現死嬰
page 7	中紅會外僑協會舉辦音樂籌款大會會場設半島酒店玫瑰廳聘法國古琴家到場演奏
page 7	怪汽艇偷闖海軍塢印警放槍射擊始遁去
page 7	文物展覽會今日　閉幕禮
page 7	海軍船塢試放空襲警報
page 7	赤柱監獄昨發生巨竊案失金飾共值千餘元
page 7	保育會今賣花
page 7	匪徒破窗偷鏢
page 7	下期立法局會議將討論開徵戰稅問題戰時新稅研委會報告書發表後輿論漸趨和緩短期內可望實行
page 8	塘西歌姬七次義員
page 8	米行決定捐足萬元
page 8	商賑會昨募捐成績
page 8	金銀場組織勸募會
page 8	基督教徒節食一天
page 8	港九學界勞軍辦法
page 8	石霞畫展昨日開幕石霞上人即席揮毫各界紛紛到場參觀
page 8	粉嶺大埔新闢墳場本港貧民多感不便道途遙遠葬費不易負擔勞工團體聯請收回成命
page 8	廣聯商會一致響應
page 8	住客聯會致商會函
page 8	貨艇運電油接濟日軍艇主四人被罰電油充公
page 8	英海軍尋覓水雷
page 8	今日甲組足球聯賽南南再逢米軍四時一刻會師加山掃桿埔光會戰士葛
page 8	足球總會杜絕假票入場券概由政府蓋印征越之港埠際隊不日遴選
page 8	海軍足球健將三人為國犧牲
page 8	本港僑胞擴大春禮勞軍運動金銀貿易場昨募得國幣五萬米行公所港九學界等亦響應塘西　姬決舉行第七次義唱
