page 2	天津之戰與時局
page 3	北倉戰事馮李相持極烈十一日李在北倉集中軍力取以攻為守戰略馮加派兵一萬人定十一晚再行總攻擊
page 3	津南方面獨流唐官屯戰事極烈馮玉祥以鐵甲車衝鋒被李軍竇師擊退
page 3	張之江十日夜派員回京購汽車六十輛運赴前線以備作冰地攻擊用又令京兆各知事再徵駱駝二千頭備用
page 3	十二日李鳴鐘率部至豐台為張之江後援
page 3	馮玉祥在張家口調度戰事親自擬令不假手於參謀秘書等
page 3	馮玉祥在南口設大本營為後方總接濟並電段祺瑞表示政見應改革者為實行平民政治廢王公制度除苛政除前清積弊應整理者為舉賢才明是非應提倡者為崇節儉重道德重人道政治公開應促進者為強迫教育廢除不平等條約
page 3	楊村李景林軍得利津局尚安
page 3	十三號路透社天津電此間聞炮聲至半夜方息華城大恐慌後得法日意三國駐軍到步人心始定外軍係由警廳特請派來現分駐守電力局自來水局橋樑等要地天津現尚存華兵甚少因皆已調赴馬廠及北倉前敵然恐敗兵回津肆起搶掠今有外兵駐守不獨可保華城且可免敗兵聯隊闖入租界
page 3	郭軍佔領牛莊黑吉軍西下應援一星期後　大戰
page 3	十三日奉訊郭松齡軍沿京奉線分兩路攻奉盤山方面一支隊已抵桑林另一支隊
page 3	經田莊台攻牛莊已至牛莊對面遼河岸城中大恐慌新民方面因連日天暖冰層略薄軍士難行走進攻稍遲據郭通電謂已佔新民
page 3	張作霖盡力蒐集兵力黑省援軍一旅已抵奉吉軍七千十三日到張作相十二晚抵奉將率師赴遼河督戰現正補充彈藥待郭軍來襲大戰當在一星期後
page 3	營口方面之郭松齡軍十三日晨佔領營口牛莊其別動隊兩派騎兵一旅炮兵二團已渡遼河經牛莊城向奉天城前進
page 3	吳俊陞十三晚到奉天黑省軍即續到援
page 3	十三號路透社東京電據奉天國際電訊言有郭松齡軍一千五百名於昨日突出現於牛莊對面之遼河岸邊牛莊城大恐慌居民紛紛逃避遼河已結冰步行可過河日本當局決由南滿鐵路區內派調遣部隊援助警察以保護日本僑民
page 3	奉天國際電訊張作霖於下次開戰將親自出馬
page 3	郭松齡通電謂七日大本營移駐溝幫子八日佔領新民
page 3	同日路透社東京電朝日報載奉天電郭松齡軍不戰而入牛莊日本已調警察保護日僑
page 3	使團對津戰抗議馮軍藉國際車為屏蔽國際車被擊折回段謂津戰將引起重大交涉
page 3	十日馮玉祥軍裝運兩列車隨國際列車開行藉國際車為屏蔽圖擊李軍後力車行至楊村之南李軍發炮轟擊國際車　被毀即折回乘客無傷使團會議推荷使向鹿鍾麟抗議美使以該列車為美兵護送單與鹿交涉同時天津領事團向李景林抗議
page 3	段祺瑞接荷使警告批令外部照辛丑條約關於天津駐兵及三十里內不得作戰條文鈔電雙方軍隊辦理
page 3	段祺瑞語人京津戰事如二三日內不能解決恐將發生外交重大問題
page 3	十三號透社北京電
page 3	又另訊
page 3	同日路透社北京電云
page 3	日本出兵問題日政府疏通上院但穩健派仍反對用兵
page 3	日上院經政府疏通對所採對華政策多贊成惟穩健派
page 3	仍劇烈反對用兵
page 3	日使芳澤宣稱對華內亂嚴守中立此次奉戰日長官在滿洲舉動純為保護日人利益又謂日在華權利不能因何派興仆致受障礙
page 3	十二號路透社東京電云
page 3	東京政
page 3	豫軍攻魯戰訊滄洲戰事劇烈張宗昌宣言罪已
page 3	豫軍襲攻滄州戰事極烈
page 3	使團消息豫軍佔青縣業已證實惟馬廠仍在李景林手大城方面無戰事
page 3	豫軍以攻魯未得手有調由玉潔師一部赴援說
