page 1	艾登辭職後之英國外交
page 2	津浦南段敵無攻勢能力我夜襲定遠斃敵甚眾我機飛蚌埠向敵陣地轟炸斃敵三百敵將岡本在滁州被人刺斃原因未明
page 2	移墾黃龍山首批難民出發
page 2	中央將明令宋子文任財長
page 2	我軍移守黃河南岸敵企圖渡河被我痛擊平漢線左翼敵有積極西犯模樣我游擊隊襲湯陰車站擒敵四十
page 2	平漢路局長由韋以黻兼代
page 2	我游擊隊數千在崑山附近與敵激戰滬西區居民連夜又聞清晰槍聲江蘇我軍克復六合後向南推進
page 2	我軍反攻莒縣沂水
page 2	橫山橋全鎮　焦土
page 2	敵犯岱山被我擊潰
page 2	魯省我民團活動打擊漢奸組織
page 2	外僑婦女赴晉勞軍我軍民皆極興奮並舉行歡迎大會
page 2	敵渡過河又被擊退
page 2	日照莒縣均有接觸
page 2	敵變戰略避實擊虛
page 2	晉戰再度展開我軍奮勇斃敵二千餘克復交城文水間峪口虜獲甚多汾東府城鎮發現敵蹤被我圍殲
page 2	包立德對我抗戰同情
page 2	哈立法克斯任英外相由英王正式批准
page 2	南昌劇烈空戰我空軍擊落敵機八架我機飛黃河北岸轟炸敵炮兵陣地敵昇空指揮作戰繫留球被我擊落
page 2	祀宮孔德成由漢乘輪抵渝將出國赴英考察
page 2	松井歸國並非正式奉召因大本營與松井意見未能一致謂松井已編入預備役使其卸任
page 3	英外交策轉變後美將增強汛美主義此後當獨力對付德意獨裁主義外交政策仍以赫爾宣言為依歸
page 3	英專家團訪問赫爾
page 3	汪主席廣播演講抗戰期間的新生活運動四
page 3	美海軍太平洋演習將在下月舉行軍艦百五十艘官兵五萬名參與演習情形嚴守秘密禁記者參觀
page 3	對德承認偽滿我提正式抗議我駐德大使程天放已向德外交部抗議
page 3	敵感侵華困難大放和平空氣謂英大使奉到政府命令找尋機會調解中日爭端
page 3	科特氏發明透視霞霧遠鏡
page 3	羅馬尼亞舉行全民投票以取決新憲法
page 3	舒斯尼格鄭重聲明決維奧國獨立舒氏並稱希特勒曾向彼保證嗣後德國不致再行干涉奧國
page 3	美報評論日本侵華行動現已遭遇嚴重之困難蔣委長率軍抗戰成功大增華軍士氣日雖未敗北但已陷入中國之泥淖中
page 3	法眾院討論外交政策
page 3	廣田言讀國際關係文告全文尚未發表
page 3	英愛間政治問題預料仍難解決
page 3	英海軍部擬就保護運輸新法
page 3	意童　拉裴拉函蔣委長致敬
page 3	麥克努特謁羅總統報告遠東時局問題
page 3	澳洲聯邦政府增加國防經費
page 3	美紅會募款救濟我國難民
page 3	國際情勢日趨複雜法蘇日內開始協商
page 3	日眾議院開會因動員法寧惹起紛擾近衛抱病缺席由代表致詞憲法權威齋藤勸政府審慎將事
page 4	世界乒乓冠軍沙巴都士今日可抵港即夕與港滬澳選手作表演賽
page 4	港外匯市仍靜
page 4	加埠銀價報降
page 4	廣州金融市情
page 4	舊中紙價略升
page 4	省毫券市極靜
page 4	八九金價趨升
page 4	英美匯兌轉縮
page 4	參加普籃隊伍函聯會請准予易員
page 4	培正鼎小球賽今明均有兩場
page 4	籃球裁判會舉行　例籃球表演歡迎外界到場參觀
page 4	各國幣價伸算
page 4	哥靈登今日三次上陣與文員會師於加路連山哥靈登隊之勝在意料中明日壓軸表演戰港選手
page 5	俘獲機師解省
page 5	廣西要聞彙記戰時糧食管理
page 5	黃主席賀白氏
page 5	民團後備隊
page 5	捐款購機近訊將派員赴南洋
page 5	花地沙洛村匪徒攔河截劫
page 5	粵國防公債勸募會余吳曾任會長日間即可成立
page 5	策動戰時救護
page 5	抗日自衛團七指導區主任委定余主委召集訓話
page 5	自衛統率會告民眾書二
page 5	戰時金融之主要政策黃元彬談資金調確定對象加以分析再分別取捨放出資金使社會經濟蓬勃活動
page 5	敵機昨又圖襲梧州遠見我空軍出現敵未敢交鋒而逃警備部所得情報昨日兩次飛增城尋失蹤敵機
page 6	局長事前諮詢意見
page 6	對商會請願之答復
page 6	獻議折衷征收辦法
page 6	行商請制止員警入店勒迫加稅
page 6	整理各校
page 6	移款購債
page 6	財部派員來粵組粵鹽官運局
page 6	廣三鐵路頭車提早開行
page 6	設潮柑防蟲區
page 6	會城之強搶案
page 6	慰勞虎門將士
page 6	派銷公債糾紛
page 6	聯席會議整頓青年救亡團體改為青年抗敵同志會
page 6	汕節食運動記
page 6	張發奎返始興
page 6	潮汕沿海敵艦仍擾外輪英法均派艦護航金門敵情之近況汕廈防務已聯成
page 6	焚九屋斃一命
page 6	　叔慘案判決
page 6	廣州行商對營稅案請願無結果市會委員提出折衷辦法
page 7	檢查影片
page 7	加以改良
page 7	失去地盤
page 7	神怪的片
page 7	英民眾望華抗戰勝利日本貨在英美均滯銷一英人函述彼國情況
page 7	旅暹僑胞廿九人回國請纓殺敵昨抵港不日晉省謁當局第二批軍訓生離港入桂
page 7	本港防軍舉行攻守演習以新界地帶為攻守目標演習日期已定下月中旬
page 7	棋賽籌款
page 7	歌劇比賽
page 7	華僑物品籌賑會今年轉付物品數大批尚存千餘箱日間即可寄運棋賽籌款購債大會已成立
page 7	牛羊業會
page 7	電檢會粵主任徐浩對華南影片之觀感勸出品商多製含有國防意識影片並希望電影界募十萬元賑濟兵災
page 8	起火地點
page 8	火勢猛烈
page 8	灌救情形
page 8	珠江口敵艦昨已他駛
page 8	焚燬兩屋
page 8	誤殺陳新案續審被告陳真遲不到庭保金二百五十元充公押候下月份從新提審
page 8	愛雲上校昨　　演講燈火管制試驗之重要政府斷然截火社會秩序將紊亂不若居民熟習局部管制尤利便
page 8	注意五點
page 8	廣播演講
page 8	熄滅燈火
page 8	李漢榮案五審兩司帳員供詞
page 8	今日賽馬預測
page 8	意大使昨北返
page 8	油麻地昨大火焚屋兩商幸無傷人
page 10	行律例警察司經
page 10	痘症續有發生
page 10	港督將宴華紳
page 10	匯豐股東年會今日上午舉行
page 10	英后輪將抵港
page 10	史雲奇勒將抵港
page 10	英艦分赴各地觀光已有多艘開岷尼拉越澳亦作官式訪問
