page 1	桂局解決以後
page 2	外部分電駐外使領闡明我對蓉案態度在互尊主權下謀適當解決
page 2	安徽女學生捐儲款贖回膠濟路
page 2	田代再逼宋哲元限期成立自治政府宋韓等決謁誠擁護中央
page 2	冀察稽查處成立日私貨將暢銷冀察
page 2	國民政府命令改良軍制實行徵兵養兵需餉綦鉅國家財力絀於供應全國幅圓廣闊簡練民兵以固邊防
page 2	王克敏北上突遭日報攻擊
page 2	桂代表劉維章將攜蔣函返桂
page 2	冀察當局電財部否認征收新稅謂設冀察稽查處事專門稽查陸上私貨
page 2	粵整理金融建設續借二百萬元
page 2	偽保安隊反正擄去偽官十一名
page 2	財孔定斯南下指導桂省財政
page 2	林主席乘永綏艦返京首都警憲沿江警備鄧家彥等到埠恭迎
page 2	諾爾醫生談汪已恢復康健
page 2	閩省茶業本年產銷轉好
page 2	冀察外委會例會議案未有發表任命松尾隆男為顧問室秘書
page 2	日領事館消息日人中野在北海被人殺害本港商莊亦有是項消息接到中野攝影會場致被群眾擊斃
page 3	討論事項
page 3	任免事項
page 3	通過荒地實施墾殖督促辦法
page 3	灤河暴漲灤城被水包圍
page 3	吳保豐定期來粵指導　選事宜並視察廣播事業
page 3	臨時高考公布報考人數
page 3	新生主辦人杜重遠已出獄謝絕各界歡迎
page 3	冀察政會取締非法活動
page 3	粵地方預算編製送呈中央
page 3	英大使許介森談英對華政策無變更渠信英日同盟已成過去之事堅決否認英有承認偽滿之意
page 3	西班牙叛軍包圍聖巴斯安城並派飛機轟炸馬德勒
page 3	小童與狗接吻下頷為狗咬去
page 3	葡國海軍叛變數艦被炮擊中艦員悉被逮捕
page 3	德國社黨大會開會儀式隆重
page 3	三次力學會議將在美國舉行
page 3	法國擴充軍備改良海陸空車增加常備軍額
page 3	巴力斯坦實行軍事戒嚴
page 3	日偽侵犯俄境俄方向日抗議
page 3	余漢謀張發奎擬加給上將銜恢復廣九鐵路債券辦法案決議通過
page 4	南華華足球隊今日應戰工程此為南遊返港第一戰
page 4	南華會友籃球賽報名參加者踴躍　開會籌備進行選定球證
page 4	市民體育會網球隊來征香港十五日成行隊員選出
page 4	太古小足球隊赴澳門比賽成績
page 4	港外匯市情趨好銀行巨量沽出申美電
page 4	英對美匯兌報漲
page 4	英京銀價無變動
page 4	八九金價昨暴漲
page 4	華人參加廣東水運代表選出定十六晚乘夜船晉省
page 5	劉維章昨日之談話
page 5	十九路軍情形續詳
page 5	中央軍昨開始北返
page 5	梧州戒嚴略告弛緩
page 5	張黃兩匪黨之火迸
page 5	閩邊匪共之火迸與投誠張黃匪迸擾及人民張河山股投誠已准
page 5	張河山部投誠改組
page 5	一五四師進兩陽李振東返省報告
page 5	黃紹雄晤白後赴浙
page 5	省府否認粵省增設實業廳各省並無此組織
page 5	桂局決定和平解決後中央軍昨午開始北撤駐銀盞　一部最先撤退劉維章昨有談話李日內就職白亦東下十九路軍佔南路七縣但無自委縣長只合浦選長亦請民廳備案某軍要談蔡廷楷對和平態度梧州戒嚴已轉稍弛緩桂軍亦各駐原防候命
page 6	李延年昨赴韶樂檢閱軍隊
page 6	明令取銷前西南政會護照
