page 1	孫科聘歐
page 2	在嶧縣實行殲敵計劃
page 2	我收復嶧縣旦夕可期
page 2	昨晨富陽城外我敵激烈戰爭閘北敵軍連日趕築工事敵十六師團開杭後他去我對富陽取得控制形勢
page 2	意報改變觀點刊載日軍作戰失敗消息
page 2	晉敵形勢不利小部日軍寸步難行交通線外華軍勢力風陵渡敵後路已斷
page 2	豫北冀南敵難立足我軍克復觀城永濟之敵有撤退模樣
page 2	重慶飛機廠將成立機器新式每日可出飛機三架
page 2	日艦在福建沿海出現企圖在閩登陸有三十餘艘出雲艦亦在內
page 2	敵國內鋼鐵大恐慌將申新紗廠機器運走
page 2	保衛河南示威
page 2	敵國內醞釀反戰運動
page 2	湖大當局及員生通電聲討暴日
page 2	墨國沒收煤油權不允發還英商
page 2	鳳陽民軍　起
page 2	滬西有發現我便衣隊說
page 2	綏省我軍收復大小淖
page 2	我收復吉縣
page 2	嶧縣附城高地全被我佔領我軍孫部已迫近南關九日我猛攻棗莊侯團長殉國鍋底山反覆肉搏得失凡三次
page 3	日海相米內聲言擴充海軍速度巡艦在秘密建造 中
page 3	一敵軍企圖及計劃
page 3	二敵軍準備與部署
page 3	我軍當時各部形勢
page 3	英意協定談判成功明日正式簽字內分四要點意國參加倫敦海軍條約法內閣籌備與英談話進行法意修好
page 3	英意協定四項要點
page 3	德望英意簽訂協定
page 3	英法籌備進行談話
page 3	到東戰場去二二長沙的一瞬
page 3	復興中國戰區借款英已表示允肯孫科對路透社記者之談話
page 3	四雙方戰鬥經過概況
page 3	綜合東戰役之成功
page 3	敵尚否認請英斡旋和平
page 3	中日戰爭日軍傷殘極多
page 3	前奧總理舒斯尼格行蹤令人注視現究在何處傳說紛紜莫衷一是一般人觀察舒氏不致提付審判
page 3	英在美國造大批轟炸機美將在加拿大設廠製造
page 3	立法院例會將續舉行
page 3	蘇向日提出要求將懸案總解決負責償付中東路出售餘款
page 3	圍攻孟縣濟源紀實我將士奮勇爬入城內殺敵無算其後因彈盡援絕全部壯烈犧牲
page 3	我敢死隊爬入城內
page 3	彈盡援絕壯烈犧牲
page 3	在城外殺敵四百餘
page 3	二次爭奪亦未如願
page 3	武器較遜以致不利
page 3	陳誠暢談台兒莊殲敵情況三引述坦能堡之役證明我之成功以軍事學家態度作綜合之分析
page 4	南華游泳場今午正式開幕表演藝術多項助慶設高級游泳訓練班
page 4	徐煒培獲單打決賽權
page 4	勝利盃乒乓賽記者初獲勝利
page 4	籃球籌賑賽第一夕64-37中國隊大勝南華共籌得善款八十五元六毫正今夕中國隊對青年會有看頭
page 5	敵艦敵機聯犯汕尾馬鬃
page 5	昨十三日敵機犯汕報告
page 5	最後快訊述石龍落彈處
page 5	砲轟馬鬃之敵艦已離去
page 5	米商請改善辦運免稅米之買外匯
page 5	鞋業勞資糾紛已獲圓滿解決
page 5	十三日我敵空戰我空軍擊落敵機續詳立功空軍之題名健將殉國之公祭檢獲擊斃敵機師之殘骸
page 5	槍斃漢奸兩名
page 5	滬市民救護隊昨赴戰地服務
page 5	美紐司倫抗援會捐款助粵購機
page 5	粵特派宣慰使丁培綸抵星洲
page 5	土火柴業漸有起色仍有私製及偷運之劣貨該業商特呈請當局查緝
page 5	廣州找換業公會請強制各找換店入會統一商會維持金融
page 5	連日敵機騷擾潮閩續詳詔安灣匿有敵航空艦一艘
page 5	敵航空艦匿詔安灣
page 5	敵機分批進襲漳岩
page 5	敵機散放荒謬傳單
page 5	粵港報界視察團抵田溪
page 5	警察局頒佈空襲時之禁令
page 5	昨敵機分數批來犯粵境在石　龍南北橋投彈橋無損害只傷路軌莞龍長途車站被燬敵機分擾汕尾　門敵艦發炮狂擊馬鬃
page 6	今晨舉行教育人員會報
page 6	舶來品加稅今日實行失地貨物稅同時加徵加征只限於奢侈消耗化粧品財廳負責人談增加稅率意義
page 6	星檳客票又增價汕市府分函各外領制止
page 6	潮汕民眾渴望免稅洋米進口余總司令之電錄
page 6	汕商證整理難
page 6	兒童獻刀殺敵
page 6	三灶壯士述殲敵經過殺敵廿二人並獲槍械旗幟
page 6	中大戰地服務團赴戰地慰勞將士之情形敵方軍民厭戰已情見乎詞在鄭州得閱檢獲敵軍書函
page 7	香港及九龍半島擬設空襲戒備講習所聘請富有經驗者以為導師空軍司令施爾堅播音演講
page 7	輔政司史美氏表示港府決保障本港漁民飭查四一不得在西區捕魚警告願漁民協會從速報告港漁民近況
page 7	港府表示保障漁民
page 7	從速報告漁民狀況
page 7	屋租調委報告書發表後中西人士極表不滿南華早報及布力架均痛加抨擊
page 8	西商會主席祁禮演講商業遊戲蛇與梯肆認定此種戲極適合於商人生活借蛇與梯詳論本港製造工業
page 8	東華院議決設難民習藝所祇難民住宿問題未解決今日再與四女團體磋商
page 8	收雨衣捐款四千元
page 8	滬青年服務團抵港
page 8	油麻地小輪公司議決增加股本
page 8	韋永成談話津浦線抗戰大捷我已建立勝利基礎抗戰愈久力量亦愈大日本終有崩潰之一日
page 8	孔聖會歡迎葉恭綽鄭洪年
page 8	調查屋租委會報告書二第二章租值增加之理由及程度
page 10	大學生遇搶匪
page 10	藏毒犯處徒刑
page 10	論文比賽揭曉
page 10	劫案疑犯獲釋
page 10	遠東英艦動向
page 10	華人義勇軍決擴充由兩分隊增至三分隊
page 11	一炸裂了的土地
page 11	二台兒莊內
page 11	慰問台兒莊
