page 2	非常國會大騷動續質問非常贊成成聯省自治之陳炯明
page 3	吳佩孚決定克岳州後和平之政策又擬開和平會議由各省推舉二人列席
page 3	京政府授吳佩孚以勳一位將任杜錫珪為海軍總司令張福來為岳州鎮守使又電獎吳二十萬元勞軍
page 3	陳光遠派蕭安國由株萍醴陵襲取長沙已於豔廾九日佔領趙恒惕退守湘潭湘鄂局勢又變
page 3	徐世昌飭財政部頒發克岳犒獎二十萬元昨又令晉吳佩孚勳一位
page 3	顧維鈞密呈謂外報載中國財政勢將破產頗多贊成共管論調請注意
page 3	傳聞川軍因湘軍失敗退駐巴東並擬回川
page 3	馮玉祥電京感廿七日就陝督職
page 3	陳籙電稱法政府決提庚子賠款一千萬佛郎作為中法銀行官股重行開辦
page 3	張懷芝因部務棘手已赴天津暫避
page 3	張作霖電保鮑貴卿督魯曹錕擬畀王承斌或曹銳又開奉直爭持之新局
page 3	京政府派張炳南赴鄂協商湘直和議
page 3	嘉魚巳肅清監利湘軍全退公安圍亦解
page 3	交通部覆國務院教育費每月二十萬由八月起直接發交教育部
page 3	張作霖再辭經略使國務院仍電慰留
page 3	馮玉祥電請任吳新田幫辦軍務張錫元為陝北鎮守使
page 3	日公使昨訪外交部長顏惠
page 3	慶聲言奉訓令願退還庚子賠款十分之四創辦滬漢津滿四大　
page 3	吳佩孚令暫停攻即在岳州設巡閱使行轅
page 3	豔廿九日吳佩孚與趙恒惕代表在岳州會議停戰三日
page 3	曹錕電前線兵單請准添招新兵四團
page 3	聞沈鴻英率部廾七到長沙
page 3	贛勢緊急陳光遠迭電告急京政府覆電令速派隊嚴防已另電皖督迅出援軍
page 3	擬復設瓊崖民政長職
page 3	魏軍要聞彙誌
page 3	市參事再選之情形彙誌
page 3	第二軍逼走廣寧知事
page 3	林永謨仍欲保全魏子浩
page 3	某議員欲乘機報怨耶
page 3	招商販鹽消息
page 3	開平亦有選舉訴訟案
page 3	黎前總統歡宴何東
page 3	造幣廠長改期交代
page 3	拆衙牆通同作弊
page 3	清淨局會議
page 3	東亞銀行新行落成
page 3	慶祝壽辰兩誌
page 6	　人擬在中國設財政保護會之警告
page 6	滇局未平之　
page 6	方本仁獨立之又說
page 6	勞農政府致我　不承認　
page 6	陳籙電請辭職
page 6	孫洪伊忠告吳佩孚
page 6	控間房違例案
page 6	軍火案
page 6	被控賣無油牛奶
page 6	酒舖火警
page 6	賣煙小販被搶
page 6	登徒子之當頭棒喝
page 6	秤不公平
page 6	煙未納稅被罰
page 6	澳門銀舖失竊
page 6	馬玉山創辦製糖公司消息
page 6	本港之得雨數
page 6	船政署案
page 6	航行注意
page 6	傳染症報告
page 6	銀價
page 6	載臬司將回將
page 6	官地投價
page 6	被控虐婢案再押候
page 6	被控偷外洋客衣槓案
page 7	善後處將改組
page 7	黃明堂軍被拒入境之洩憤
page 7	西江木料來源之窒礙
page 7	各行罷工之最近情形
page 7	吳忠信大招民軍
page 7	福軍之北伐熱
page 7	查覆筍頭行與打磨行爭報情形
page 7	被選知事怕敲否
page 7	市有偽鎳幣出現
page 7	解散慕德里司民軍
page 7	四懷間之河道不靖
page 7	紳士請兵剿匪反被押留
page 7	押解煙犯一大幫
page 7	到底是護沙營勇無用
page 7	國議員又痛罵陳炯明
page 7	饒平選舉無效
page 7	汪精衛請撥款築圖書室
page 7	瑣聞一束
page 7	顧使為國際盟會主席
page 7	星架波商業減色
page 7	三島丸失火續誌
page 7	奧匈爭地續聞
page 7	英商請美免苛稅
page 7	德國賠款近訊
page 9	吳佩孚與外人談話續紀
page 9	西蒙有自治宣言
page 9	列寧懺悔過激主義錯誤
page 9	潘復對外人時局談
page 9	中國產煤在世界居第三地位
page 9	湘人請保存在滬軍火
page 12	廣州方面之太平洋會議　宣言書起
page 12	市廳為鋪底事覆商會書
page 12	調處建築東西家行條件
page 12	馬君武告桂省議會電
page 12	省河煙稅承商請減餉
page 12	油漆行工人已開工
page 12	省會決開特別會議
page 12	被選知事當聞之而驚
page 12	桂事
page 12	全貞甫被刺原因之傳聞
page 12	洋行亦被打單
page 12	救火會定購新式滅火機
page 12	訂定機器學徒待遇條件
