page 2	滑稽的共產談三
page 3	蕭耀南請緩撤道尹
page 3	眾議院昨大血戰兩方均受傷各向檢廳驗傷起訴
page 3	馬育航劉煥抵洛陽
page 3	許崇智已到滬
page 3	聞蔡鉅猷得譚延闓電令離湘赴粵惟沅陵已下之蔡部皆已潰退不能成軍
page 3	廿八日眾議院開議孫閣同意案一點四十五分開會因
page 3	腫吳派議員劉冠三陳世祿孫派議員李燮陽等亦傷均各召醫驗傷起訴
page 3	印兵九百名由秦皇島登岸分紮榆唐京津各處聞係換防
page 3	廿八日午英使訪顧維鈞續議還威海衛協定尚未解決
page 3	吳景濂因歲費無著欲倒現閣
page 3	裁員令曹錕以生辰將屆恐裁員索薪掃興故克祝壽後始發表
page 3	平政院將裁撤職權併入大理院另訂法規
page 3	劉夢庚謀鄂不成改謀豫長
page 3	王承斌部四十五旅奉令組護路隊任津浦警備正在改編津浦南段由皖軍任警備
page 3	財部定下月初開財政會議電各財廳派員與會
page 3	吳佩孚電鹽署稱永裕鹽公司壟斷青島鹽政請撤該公司歸民組合
page 3	吳佩孚議發印花二百萬元作援川軍費
page 3	吳佩孚電召馬濟赴洛馬將中止赴衡
page 3	老洋人殘部謀竄川被迎擊敗竄均縣賈家寨圖擾鄖竹張老六華桿仍在桑柏泚源竄擾
page 3	張鳳台廿二日又赴許昌
page 3	張作霖集孫烈臣吳俊陞兩督會議先清匪患再集中軍隊訓練
page 3	湘省鹽稅附征特捐一案湘鹽務稽核處抗議一面呈總處請示
page 3	寧訊捲煙特稅廿八日有廿二區投標認證金廿五萬餘元
page 3	東西兩江軍事之近況
page 3	廖仲愷赴滬之原因又一說
page 3	聯軍中粵籍軍人之大聯合
page 3	賴鶴鳴進至連灘
page 3	憂時傷亂的一封書香山如是各屬若何
page 3	西北江軍事消息
page 3	法提督抵港
page 3	葉恭綽之來去匆匆
page 3	江門西訊
