page 2	答范石生先生
page 3	有人運動京政府任命林俊廷為八屬聯軍總司令
page 3	警廳奉高淩霨令強制撤換眾議院警衛
page 3	吳佩孚覆電參議院主張金佛郎安公開解決
page 3	二十日高淩霨令薛總監將眾議院警衛撤換薛即委張汝霖為警衛長帶警百名前往接代惟被拒不納高再令如抗令則強制執行至晚新警始接收
page 3	外資本家舉代表向使團請願禁滬寧路運兵
page 3	長江各外艦奉使團電令勿上駛候令
page 3	京某西報電其本國謂孫文謀奪粵海關恐暴徒乘勢排外現外艦均奉令赴廣州保護海關雖開戰不惜
page 3	內閣因金佛郎案備受攻擊已於二十日提總辭職
page 3	吳佩孚仍主尊段祺瑞聯結盧永祥
page 3	湯漪林長民約王用賓潘大道商憲法及時局
page 3	蕭耀南電王克敏稱協餉欠百萬擬由鄂宜兩鹽局息借百萬請轉商稽核總所及外國銀團
page 3	老洋人由河口入陝境漫川關現反攻鄂邊
page 3	蕭耀南港因江浙雲日緊電皖贛商聯防長江
page 3	劉湘十五日入重慶組督辦署
page 3	宋大霈于學忠各一部攻壁山袁祖銘于學忠各一部攻綦江張允明及盧金山部進駐合川
page 3	膠灣路存款二百餘萬軍閥垂涎甚急將以李宗岳任局長以便提款
page 3	趙恒惕向蕭耀南借餉又電洛稱已令唐生智協同沈鴻英入粵
page 3	劉敘彝十九日宣佈脫離蔡鉅猷附從趙恒惕
page 3	臧致平謀攻王獻臣並約黃大偉及民軍合攻泉州
page 3	周蔭人有長閩訊
page 3	齊燮元代表陳伯泉到閩
page 3	傳蘇浙在湖州難免接觸海籌建康兩艦已赴浙洋游戈
page 3	鄭士琦接密報稱孫美瑤勾通安福系將與馬良張樹元圖理密令兗州鎮守使張培榮捕孫十九日張在棗莊將孫槍決遣散新編旅其弟美松在逃
page 3	參議院因金佛郎案不滿意於顧維鈞之答覆十九日再開
page 3	東江戰局與聯軍內部之暗潮兩軍仍相持於龍灘以上楊培廷之被厄消息
page 3	關於聯軍內部之見聞種種
page 3	爭關稅之西訊
