page 1	日方威脅上海租界事件
page 2	Ｘ致滬工部局二次照會內容共分三點要求滬日警侵奪工部局職權英保守黨昨在下院提出質問
page 2	鄭海公路一帶戰事激烈我軍苦戰三晝夜
page 2	渝昆長途電話今日正式通話明日開始營業
page 2	晉南之Ｘ虛張聲勢Ｘ軍車在祕　出軌
page 2	國府將召開金融會議穩定抗戰經濟基礎
page 2	長沙市府撤銷市政由警察局設科辦理各界籌設傷兵之友社
page 2	張定璠滬寓無故被Ｘ查封
page 2	包頭偽軍被我襲擊平綏路被破壞
page 2	我方獲得Ｘ用毒彈證據
page 2	Ｘ軍陳安有全部反正
page 2	浙北Ｘ艦炮擊鎮海彈落海灘我無損失
page 2	行政院議決任命于學忠為魯省委員粵省委王應榆免職命吳飛繼任
page 2	平偽府要員人人自危
page 2	蘇聯飛機師完成副同溫層飛行
page 2	阮慕韓等脫險反冀中收編豐鎮偽軍不慎被扣偽軍不忍加害將之釋放
page 2	海陸空軍留學條例國府明令修正
page 2	黔省府規定復興築市辦法
page 2	贛吉安等縣開懇荒地成績
page 2	德發明新彈藥
page 2	振委會撥款十萬急振瓊崖難民
page 2	英下院討論海南問題英政府考慮派艦赴海南保護英國在島上之利益
page 2	菲政府捕獲偽造護照日人
page 2	鄂中戰事較沉寂Ｘ三渡襄河均被我擊退Ｘ我現在雁門口激戰中
page 3	政治報告三孔院長向參政會提出
page 3	意外長齊亞諾訪波業已完竣雙方僅說明彼此之立場絕未涉及簽立協定之事
page 3	蘇聯政府擬建強大海軍俾能於敵領海中消滅敵軍且此項計劃不久即可實現
page 3	美孤立派攻擊羅斯福外交政策認為美避免西半球以外任何約束
page 3	意將向法提殖民地要求不用公開方式宣示要求內容
page 3	巴力斯坦會議繼續取行英提出建議案
page 3	蘇無線電員因怠工被處分判有期徒刑廿年
page 3	瑞令駐意領館查逐記者理由
page 3	法報主張驅逐意國訪員
page 3	日本准許猶太難民入境
page 3	對但澤工學院事件波蘭將採遷當步驟成禁德生入波蘭大學讀書
page 3	比新閣總辭職
page 3	菲中國之友社舉行藝術展覽以所得購藥糧救濟中國難民
page 3	美軍委會主席演說須速擴充軍備因某獨裁國家敵視美國希望軍用機增至六千架
page 3	對佛朗歌政府英法已承認美仍考慮英工黨反對承認佛朗哥政府在下院提議對政府提彈劾案
page 4	汎美巨機三日始　抵港
page 4	司機站在重要崗位
page 4	救亡工作未賞稍懈
page 4	還債運動積極推行
page 4	婦女勸募救濟物品
