page 2	九江鄉又被朱軍蹂躪
page 3	日本地震時華僑被慘殺案顧維鈞已向日使提出兩要求壹懲罰兇犯二賠償撫卹被害人家屬
page 3	曹錕令優卹徐國樑
page 3	汪榮寶將赴日使任
page 3	沈鴻英電邀馬濟赴永州謂將率兵回粵須與馬面商後方接濟
page 3	吳佩孚以湘戰得手決意澈底整理已密令馬濟葛應龍肅清全湘派兵分扼要地一面將岳州華容各稅局及征收機關收歸手中總攬財政實權趙恒惕頗不滿意已密電程潛回湘應付
page 3	援川軍袁祖銘二十日電各路反攻已下總攻擊令梁山戰甚烈
page 3	長沙已無形解嚴趙恒惕電各知事拿獲盜匪先決後報知事考成將以治匪成績列第一
page 3	褚輔成來粵與陳炯明接洽要事
page 3	閩訊王永泉懸賞五萬限一月攻下安溪永春
page 3	護路案閣議決指定兩混旅交護路督辦處調遣仍隸交通部管轄月費一萬元臨時用款由部核定唐在禮尚未就任但京政府已非正式通告使團
page 3	此間接巴黎電稱法總統約陳籙晤談言金佛郎案法國會甚重視望即履行
page 3	膠濟路駐軍擬持照運煤部覆仍取商價
page 3	呂公望昨介紹吳景濂孫寶琦交換意見
page 3	孫寶琦呈府請將曹陸經手
page 3	參戰借款懸案予撤銷代閣亦持此意
page 3	聞將調陸錦長陸部免府中起爭執
page 3	吳景濂系傅亦僧見顧維鈞請向法使抗議以二五稅為認金佛郎條件
page 3	王承斌晉京調停吳景濂議長風潮
page 3	日佐藤少將謁吳佩孚並參觀軍隊
page 3	日人議決在津滬設司法領事
page 3	袁金鎧報告東鐵路上季營業盈四百餘萬
page 3	盧永祥電張作霖謂決不受浙閩巡閱使與吳佩孚亦無往還
page 3	吳佩孚廿二日就直豫巡閱使職
page 3	最近粵局戰事形勢石龍仍在粵軍手中
page 3	廣九路之戰事續訊廿二日仍在石灘以上激戰陳炯明將赴石龍督戰
page 3	北軍進攻始興之所聞
page 3	粵軍已到花縣
page 3	江門西訊
page 3	許劍魂命案續訊
