page 2	　舊交通系之競爭
page 3	曹張王謁徐世昌陳述在津會議未異改組內閣事九日乍徐　曹張王到春藕賞　　　　授王占元以動　
page 3	內閣改組內務定齊耀　財政定張弧均已確定惟張志潭　允長交通葉恭綽　下台專辦交通大學李鼎新與藍建樞互爭海軍部長尚未
page 3	成慎在衛輝自戕遺書　愛護地方轉致貽譯實無面目見江東父老　　
page 3	吳佩孚連電京政府力保湯薌銘為海軍　
page 3	財廳長易人之原因
page 3	再誌賭禁復弛之消息
page 3	國務院電鄒芬蒙計劃已定大隊即日出發滂江係集中　　應改守為攻希速觀察形勢　以備
page 3	外交部新官制昨已發　
page 3	省法起草委員會成立
page 3	工人鬧事
page 3	陳炯明大宴軍官
page 3	孫文改組政府續聞
page 3	岑春　電稱孫文靦顏就職不顧南北大勢分　為　將孫文罪狀宣布　不可直　姑息尤應致　借　使軍官　孫文反　中央　收　之　
page 3	孫文就總統職聞協約國　不承認顧維鈞已電京報　
page 3	姜桂題將入京任參謀部長
page 3	張勳任察哈爾等特別區巡閱使事可　
page 3	大赦續聞
page 3	開審澳卑利街塌屋案
page 3	開灤煤礦報告
page 3	承辦九龍自由車這投票未揭曉
page 3	馬育航改期接任財廳續聞
page 3	傳良佐將任援庫諮議隨營效力因得釋放聞係張景惠
page 3	王占元昨謁徐世昌請徐主持大局徐答自責任內閣王謂本屆內閣非由國會產生應請總統多負責任國家實為利　
page 3	三日公使團集議對靳閣改組認為安福系復活咸抱悲觀且各電其本國政府
page 3	徐世昌　見曹張王對內閣問題未盡解決
page 6	天津會議中之內閣問題
page 6	韓人組織大韓獨立總軍府
page 6	中俄商約之障礙
page 6	票拘騙款店伴
page 6	中環之新屋宇
page 6	銀價
page 6	榜人被罰
page 6	傳染症報告
page 6	澳門學界之國恥紀念大巡遊
page 6	虛驚
page 6	煙案彙誌
page 6	華差窩留有夫之婦被罰
page 6	天津群英會之鱗爪
page 6	小徐謀刺北京官員
page 6	日謝關係
page 6	靖川軍改編將實行
page 6	漢口空前之賽珍會
page 6	山坭阻路
page 6	倒糞婦被罰
page 6	被控拐帶及窩留小童
page 6	大水衝倒老嫗
page 6	小妾吞煙殞命
page 6	自由車撞傷轎夫
page 6	捕獲賭徒
page 6	油昧來歷
page 7	陽奉匪患有加無已
page 7	瓊屬文昌有不靖之消息
page 7	招考護沙宣講員揭曉
page 7	查拘私自招兵之廣西人
page 7	西式傢私工會請立案之批示
page 7	市選舉近聞
page 7	鴉片委員會會議告終
page 7	憲兵營長　馬
page 7	當堂捉姦
page 7	瑣聞一束
page 7	建造工人擬設聯合會
page 7	梅縣擬收鹽捐築路
page 7	商民運售智利硝之取締規則
page 7	封川江口之艦隊佈置
page 7	爭攬北江保商權之互訐
page 7	招降北江匪首之審慎
page 7	省議員催發薪費
page 7	無軌電車路一再變更
page 7	手車舊商之不服上訴
page 7	招撫李福隆續誌
page 7	杜威離粵
page 7	從化又有學生被擄案
page 7	王寵惠氏抵英京
page 7	要電彙錄
page 7	英相述朱專使之言
page 7	日儲君抵歐
page 9	白逾桓反對非常選舉電
page 9	日本之對滿大會議
page 9	蒙事消息彙誌
page 9	王占元聲威赫赫
page 9	滿溝站三日不絕之大火
page 9	魯省覆選再延期
page 12	第　軍大搜軍居
page 12	曲江反對加　
page 12	巡遊熱鬧中之拐案
page 12	公餘工社開幕紀　
page 12	孫文勸徐世昌退位
page 12	庚申年本港商務報章
page 12	孫文搞賞軍警
page 12	總統府內部之組織
page 12	海幢寺僧風潮詳誌
page 12	教育會維持華僑教育意見
