page 2	金佛郎案
page 3	李耀漢抵洛陽
page 3	贛議會請制止孫傳芳入贛
page 3	齊燮元代杜錫珪索餉四十萬
page 3	齊燮元由保定軍械庫領百六十磅炸彈十五個運至浦口
page 3	川訊袁祖銘任南路戰事由自流井向敘州追擊熊克武但懋辛鄧錫侯陳國棟田頌堯任東路戰事一日克隆昌熊克武但懋辛賴星輝石青陽等集合殘部在江津松溉會議因糧彈皆乏不能再戰決定退竄綦江川南電請趙恒惕出任調停轉求川當局容納徐圖補救否則取道酉秀黔彭經湘境來粵或由黔入桂轉粵依附孫文
page 3	粵軍李雲復在湘募兵二千趙恒惕令沿途軍隊保護放行
page 3	吳佩孚派錢維驥到湘與到省各軍官接洽北附條件
page 3	蔡鉅猷部現又潛抵晃縣縣龍溪口派人招撫土匪且傳蔡運動舊部田應詔劉聚彝兩旅響應因事洩兩旅被監視甚嚴
page 3	蔡成勳電京謂孫傳芳對贛有用武意并述孫軍入贛有三不可解請嚴令制止
page 3	沈鴻英部將領電陸榮廷請將地方收入一部接濟沈軍
page 3	四日晨使團會議討論疏濬遼河及粵省西江兩問題並討論協助我國統一惟濬河款項與關餘案有關結果須與總稅
page 3	務司安格聯交換意見後再商
page 3	駐法公使電顧維鈞稱法因金佛郎案未解決因與義國協議對我國關稅會議及司法會議皆派代表到席以為要挾聞義國已表示贊同
page 3	四日閣議金佛郎案王克敏缺席有人諷孫寶琦暫為退避使程克代閣負解決金佛郎案責任孫不允并遣人轉詢王克敏是否藉金佛郎案為要挾是日又討論承認蘇俄京覆電承認後方可進行故留後再議
page 3	蘇俄允撤退外蒙駐軍王正廷擬商由張作霖派兵接防外蒙由馮玉祥派後防守內蒙
page 3	京政府接倫敦電稱各國密商擬推翻華府會議決案取消我國在會中取得之各權利以我國內亂日熾有仇視外行動為藉口
page 3	陳調元求齊燮元保任皖省軍務幫辦齊方與馬聯甲聯因允保為護路司令
page 3	宋煒臣孫武等籌辦漢口電車
page 3	東江戰局與沈鴻英歸係問題譚延闓甫有招沈之議滇楊桂劉已反對
page 3	湘滇兩軍又在高塘發生衝突
page 3	粵財廳變賣市產之近狀盡賣民產之計劃不敢賣逆產之原因
page 3	某代表之奉直假聯盟談
page 6	王永　在閩南之聚歛
page 6	德發債票之又一質問
page 6	外團承認商標法條件
page 6	曹琨代表來魯宣慰軍隊
page 7	世界最大之牛
page 7	手表帶上之香水瓶
page 7	家庭用計里表
page 7	用之不竭之手電燈
page 7	日本降黃雪
page 8	議設湘滇軍聯合辦事處
page 8	軍需處支應之困難
page 8	梧州宣布戒嚴條例
page 8	李福林部一律集中三由
page 8	舉行慶祝國際婦女日
page 8	吳鐵城呈報告釋溫雄飛文
page 8	筵席捐不准減餉
page 8	財政廳布告規復戲捐
page 8	又爭承鴿票賭餉
page 8	軍人大鬧先施公司詳情
