page 1	論泛美大會之成就
page 2	日將整頓外交陣容
page 2	新聞專修班修業期滿蔣校長親臨訓話
page 2	華北貿易全由日本壟斷偽當局頒行新通商條例外商申請入口多被拒絕
page 2	路透社記者愨斯在日被捕被捕原因未明
page 2	宜昌南岸殘日被我包圍痛擊分乘木筏多隻企圖竄逃我乘其半渡時復予猛轟
page 2	英決加緊進行封鎖歐洲大陸此舉目的在阻止軸心國家利用中立國口岸運輸貨物
page 2	天旱關係東京大鬧水荒火敬警紀錄比前增加
page 2	方液仙被綁案捕房正緝查中
page 2	汎美會議通過夏灣拿宣言美代表主張美洲各國聯同保管歐洲國屬土
page 2	英國沿海岸又有敵機活動意機襲擊直布羅陀
page 2	廣九路日軍車被我炸燬潮安日軍出援受挫
page 2	解縣偽警局長率部反正
page 2	豫魯偽軍紛紛反正
page 2	救世軍領袖瑪利布特被拘
page 2	美國統制油鐵出口八月一日發生效力日外務省已接得美正式通知日大使館奉命探詢美真態度
page 3	羅首外兩相昨由德抵羅馬巴爾幹外交戰已展開蘇聯對羅又有新威脅
page 3	赫斯特轄下各報謂美將必參戰約在一年之內
page 3	英美兩國商議易貨計劃英以農產品易美軍用品價值二百二十五萬萬元
page 3	柏林又放和謠謂已將條件托瑞轉英英絕未接得此項條件
page 3	英義務兵應徵入伍約有三十萬人
page 3	德不容荷人表示擁護女皇
page 3	英國海軍扣留羅倫羅聲言取報復
page 3	一種重要消息現時不能發表係對於英國有利
page 3	美願派輪赴英運輸疏散兒童或將要求各交戰國保證美輪出入安全
page 3	我利用二萬駱駝由蘇運輸糧械我絕無降間且取積極攻勢存儲多量軍火可繼續戰爭
page 3	麻亞士主張護送法艦回美以免馬田尼格島致釀成敵對行為
page 3	東地中海一帶英海軍極活動埃及獲得物質之接濟近東各民族戰意堅強
page 3	國聯經財兩處暫設普林士頓大學
page 3	蓉各界慰勞空軍
page 3	英首相接見郭使檢討遠東時局
page 3	美報要求政府予英較大助力
page 3	澳洲人踴躍參加空軍已達十二萬五千人
page 3	日本缺少醫師
page 3	滬西歹土已成盜匪世界
page 3	國聯會秘書長愛文諾辭職
page 3	駐羅馬美大使告假返國休養
page 3	由港赴岷婦孺下星期五赴澳
page 3	愛爾蘭國防軍已擴充
page 3	中緬文協會歡迎緬甸教士
page 3	恐嚇與挑撥
page 3	巴爾幹的外交戰
page 3	英剌探日本態度格萊琪向松岡洋右質問日本是否傾向軸心國家
page 5	官部截擊沙灣日軍
page 5	日偽千餘揚言北犯
page 5	日艦數艘泊大亞灣
page 5	客述江會慘狀米價奇昂貧民棄子路旁
page 5	抗日宣傳
page 5	無故自焚
page 5	地痞流氓
page 5	苛擾不堪
page 5	搜掠一空
page 5	江會糧食
page 5	曲江設青年招致總站豐順惠陽清遠各地設分站
page 5	西南河口日軍反戰發出傳單甚多
page 5	嚴禁稅警單獨緝私取締擅自招收警丁
page 5	韶關大火
page 5	中山偽軍爭地醜劇又一幕呂逆春榮部準備奪取白蕉郎部偽軍向呂要求交出婆蘿島我軍用重砲攻擊江門近郊日陣
page 5	呂逆聲言統一偽權
page 5	白蕉偽軍勢成水火
page 5	江會連日砲戰甚烈
page 5	日兵大捕河南鄉民石榴拘去男女百餘名押往南路充修路工役
page 5	提前征募寒衣
page 5	民大港校內遷
page 5	區厲行對日經濟反封鎖禁糧食及戰時工業原料出口
page 5	寶安我軍及團隊再剿日偽黑夜襲沙頭角殲日軍百餘沙深公路日騎兵增援被我截擊日偽千餘　集寶深路揚言北犯
page 6	實行新制後之曲江對民財建教動員等措施已獲得幾件合理的收穫
page 6	人事方面
page 6	民政方面
page 6	財政方面
page 6	粵趕辦國大代表登記發證農會代表由李佩鳴接充
page 6	建設方面
page 6	教育方面
page 6	粵戰時行政在邁進中三經濟方面成就較多其他亦有長足進步救濟工作列為要政加緊推進文化事業
page 6	文化方面
page 6	從化馬牙庄再展開血戰日偽續擾西湖我圍攻大岡嶺禺北我團隊勇襲龍歸市奏凱
page 6	神岡日軍再佔西湖
page 6	從化西岸兩軍肉搏
page 6	我便衣隊襲龍歸市
page 6	某司法官談清理積獄
page 7	國際形勢變幻莫測
page 7	逐步疏散進行較易
page 7	西商否認再次呼籲
page 7	各界呈文下週呈遞
page 7	防空當局將再演習燈火管制演習範圍包括港九及新界規模之大將為向來所未見
page 7	有稅貨物條例昨公布運輸路線裝卸地點均有規定
page 7	運輸路線
page 7	裝卸檢驗
page 7	關麗珍將不免一死傳有人營救說絕對不確
page 7	兌銅仙手續費不得超過五厘
page 7	糖商長期義捐又匯出三萬元
page 7	港府華員會十七週年紀念今晚在孔聖堂開慶祝會
page 7	禁軍火韓美頓昨頒布限制軍火運輸令
page 7	衛生局之議案
page 7	省振會撥巨款救濟中山難民
page 7	輔政司那魯麟否認中止疏散市民國際時局變幻莫測不能徒講理論一切疏散進行悉遵英廷指示辦理
page 8	去年全港商務調查四建造首飾生意一落千丈柴米鋼鐵等行多獲厚利
page 8	抽紗行
page 8	疋頭行
page 8	生油行
page 8	製帽行
page 8	罐頭行
page 8	爆竹行
page 8	電器行
page 8	綢緞行
page 8	玻璃行
