page 1	英日同盟與調整中日關係
page 2	統稅增抽今日實施每年可增收一萬萬
page 2	兒童節日各地慶祝之盛況
page 2	宋子文決入川視察啟程期尚未決定
page 2	叛逆在嘉卜寺召開軍政大會
page 2	留日學生張香山等運動抗日被遣回國
page 2	外長王寵惠送孔事畢返京
page 2	滬米業再晉京請願制止免稅洋米入粵
page 2	民族掃墓節中央國府派員致祭
page 2	國民政府祭文
page 2	中執委會祭文
page 2	第三軍長曾萬鐘調養康復晉京
page 2	宋子良週內返粵銷假
page 2	梅樂和因事未能與孔偕行取道加拿大赴英
page 2	許世英決辭日使將以陳介繼任
page 2	粵主席吳鐵城已定六日南下
page 2	所謂親善聲中華北日軍又將增員備有某項陰謀實力發動五月為華北最危險時期
page 3	津市注意外人租賃地畝
page 3	黃河另建新橋
page 3	滬市民教館展覽偽鈔
page 3	日本大東公司招募農工出關
page 3	某國對閩之野心謀奪空軍根據
page 3	叛逆組考察團分赴日滿考察
page 3	鹽務署組織將有變動
page 3	王用賓巡視各地司法
page 3	邱鴻鈞督辦閩省禁政
page 3	德蘇關係有逐漸改變可能
page 3	菲總統奎松演講菲島軍備
page 3	西班牙各路大戰又起
page 3	政院通令提倡柴油汽車
page 3	京滇公路週覽團已定今晨出發
page 3	地理學會舉行四屆年會
page 3	英皇加冕舉行盛大播音
page 3	加泰隆自治邦新閣已告成立
page 3	美煤礦潮解決
page 3	招商局解決債務問題碼頭棧房均將有新設備
page 4	麗華杯足球決賽陸軍聯珍奪得錦標昨以四比一擊敗西人文員聯隊
page 4	尋常杯甲組足球賽南華南以一比零僅勝東方徐亨守門表演出神入化何家強戰來為全隊之冠
page 4	中級乒乓賽中央隊榮居首席陶聲僅得季軍
page 4	周德裕在星十三　胡章二次決雌雄三二　三和胡　遜一籌周　裕卒保無敵　名第三局和
page 5	各師縮編方法
page 5	各團決裁番號
page 5	總部編制變更
page 5	財廳會計獨立訊設立會計處委蔡經濟為主任定期六日成立辦公
page 5	防空大演習期近籌備處組織之決定並限期成立辦公
page 5	省府派員迎吳
page 5	甘灘設防險標誌只利　小艇來往輪　經過仍　危險
page 5	廣州長途電話
page 5	廣州銀業界請整理舊十元中紙現存市面者尚有百二萬最近市價祇值得六成三
page 5	鹽稅潮未平息市商會派員慰問
page 5	詆客人案已判決黃不浪處罰一百元
page 5	菸絲行勞資糾紛尚未解決
page 5	軍費不再減縮
page 5	軍區部之成立
page 5	四路軍縮編辦法已頒佈各團混合裁兵限本月底縮編完竣
page 6	林主席前夕返省定今日赴衡轉桂陳誠暫不赴桂
page 6	到口而未能人洋穀米免稅未實行米商擬電請迅令執行
page 6	航局航商談話會之情形
page 6	各新監獄定期用新指紋法
page 6	河南各鄉再起反對市財局已令收回原價碼頭增收如故河南人士昨會議應付
page 6	廣三火車變更車次時刻
page 6	南華路上工人鬥毆之血案
page 6	虎門各界建林則徐紀念亭
page 6	禁煙特派員行文程序之規定
page 6	征工服役委員會將籌設成立
page 6	革命先道尢列遺體
page 6	四路軍總司令余漢
page 6	審社部長林雲陔出
page 6	籌設車伕福利會組織法已決定核准後可成立
page 6	船務局派員檢查輪渡濫載每日派十人調查
page 6	軍警保護掃墓記
page 6	廣州慶祝兒童節
page 6	建廳興築粵省通閩之公路委派梁日昇負責規劃梁明日出發短期完成
page 7	此行使命
page 7	拜會港督
page 7	歡迎人物
page 7	團員名單
page 7	何氏致詞
page 7	何東歡宴
page 7	孔使答詞
page 7	發言人談
page 7	社團歡送
page 7	窮夫妻閨房演慘劇少年深夜斬妻後自刎殞命傷者被斬四刀生命危在旦夕死者本為魚販結婚未久失業
page 7	致歡送詞
page 7	大會儀節
page 7	孔使訓辭
page 7	我國赴英專使孔祥熙等昨晨過港西行各方代表到埠歡迎者凡數百人數十團體在思豪酒店開歡送會
page 8	粵民食問題可告一段落
page 8	陳翁訓詞
page 8	商會歡送
page 8	主席致詞
page 8	孔使答詞
page 8	宣讀頌詞
page 8	宴陳副使
page 8	副使謝辭
page 8	香港九龍各學校昨熱烈慶祝兒童節假座平安娛樂兩戲院舉行一切秩序完全由兒童主持
page 8	香港區
page 8	書面談話
page 8	使團離港
page 8	維持原議實現幣制統一
page 8	粵公務同待遇酌為提高
page 8	鹽商請願
page 8	應具獨到眼光
page 8	兒童書院
page 8	幼稚園生
page 8	羅旭和宴曾養甫
page 8	鍾天心過　
page 8	又一個少婦服毒
page 8	古　展覽會昨開幕
page 8	少婦吞紅丸自殺
page 8	開會理由
page 8	大會秩序
page 8	孔祥熙談粵幣比率與民食問題粵幣與中央法幣比率加五　為適中　勉強提至加三勢必影響粵幣信用洋穀米免稅進口粵米荒可暫告解決
page 10	德總領離港返國
page 10	蕭振瀛過港赴歐
page 10	香港仔今日增開長途車
page 10	車輛傷人案兩宗
page 10	廣九車昨晚誤點
page 10	女青年會國語運動
page 10	夫蘭干利亞遊船抵港載來一個幸運的著作家一篇文章博得長期鉅獎擁嬌妻環遊世界渡蜜月
page 11	省行借款建築高明陂塘全縣建築陂塘二百餘個借款總額約五十餘萬元
page 11	當局擬籌建五縣雨量測候
page 11	番禺財廳准撤銷蜆塘捐
page 11	停辦小學共十五間
page 11	開始用重刑懲煙犯
page 11	學生籌組織聯合會
page 11	四省特展會中粵鄂特產寥寥可數廣東館丸散充斥湖北館無咎無譽
page 11	廣東館
page 11	四館略談
page 11	北湖館
page 11	富翁拒竊匪卒被殺
page 11	江門籌設汽車站
page 11	合浦合欽路烏廉段通車
page 11	通緝挖壁脫獄煙犯
page 11	東江水漲覆舟斃人
page 11	九江設自治保衛隊
page 11	鄉婦騙婚被毆斃命
page 11	名勝建設籌委員決定展拓全省名勝該會組織已擬定將宣佈成立指定專款為名勝區臨時經費
page 14	滬絲織工人接受命令本月三日照常復工社會局昨批斥工人要求商會呈請嚴辦主動之人
page 14	日海軍專員測量塘沽港野村奉派負責前來辦理東拓投資開發華北經濟
page 14	我大批志士安東偽省區內搜捕三百餘名
page 14	　週　署察綏數　國防交通有重要地位平綏路沿線視察記養路問題因難頗多員工生活有待改善
page 15	雲南民族種類調查二共有漢回蒙藏苗夷六種苗夷兩族現均退居邊荒
page 15	各民族之類別
page 15	中維沿邊區
page 15	喇嘛
page 15	栗粟
page 15	古宗
page 15	阿卡
page 15	苗人
page 15	濮蠻
page 15	怒子
page 15	思普沿邊區
page 15	湘鄂贛邊匪首方步舟向國軍投誠猶國才由鄂南漢告捷
