page 1	星加坡將決定世界歷史
page 2	駛汕英輪將由軍艦護送連日我Ｘ在彩塘激戰
page 2	晉南　落鎮Ｘ肅清我軍合攻夏縣殘Ｘ向橫嶺潰竄
page 2	晉東方面
page 2	晉南方面
page 2	一週戰況
page 2	英日一旦發生戰事中國將為英同盟國英海軍中將歐斯波恩之演說
page 2	晉西方面
page 2	皖南我軍襲擊安慶破壞黃土嶺公路
page 2	英要求西政府賠償損失
page 2	從昨日起暹羅改名賽國
page 2	日本東北部發生風災
page 2	交部設所訓練技術人員
page 2	鄂南我軍收復下韓
page 2	蒙古利巴上空蘇日昨發生劇烈空戰蘇方宣稱日機被擊落共二十五架日方則謂蘇機擊落六架日機安全
page 2	美造新式大砲
page 2	外部情報司長朱世明將履新
page 2	雷鳴遠在滇徵募藥物
page 2	Ｘ國七月一日開始存金登記
page 2	日澳新商約下月發生效力
page 2	國際商會昨在丹麥舉行由丹國皇主持開幕禮
page 2	財部限制提存後滬市金融好轉
page 2	Ｘ佔閩江口川石島封鎖福州出海路Ｘ要求各國商輪駛離福溫英美對Ｘ方要求嚴詞拒絕
page 3	羅斯福在幣制權力美兩院通過延長兩年現行購銀法於本月杪即行廢止但目前政府仍可續購國外白銀
page 3	兩月來浮山戰況三
page 3	諾貝爾離星返港
page 3	贛省戰區當局發起籌振軍民運動望後方各界同胞努力捐募
page 3	萊蕪之Ｘ全部被殲
page 3	對英蘇談判英將發新訓令訓令內容尚在攷慮中
page 3	本年日購美機值百萬金
page 3	潛江之Ｘ潰退天門
page 3	Ｘ在玉環等處強行登陸我軍迎頭痛擊
page 3	艾思賽返國履新
page 3	贛高安方面我Ｘ相持
page 3	英下院詢問津事件經過
page 3	英輿論主張應積極援華
page 3	天津問題較為樂觀日允在東京正式談判平沼態度溫和與軍人完全相反張伯倫談話謂津事件可望解決
page 3	第四二零次政院會議
page 3	德意軍事積極活動歐洲局勢又再趨緊張德意海陸空軍合作均已進行談話意國海陸軍將舉行大規模之演習
page 3	蘇聯當局重要會議討論遠東局勢決定堅決對日並加緊援助中國贊成迅速與英法成立互助協定
page 4	防空考試揭曉
page 4	女新運會捐訊
page 4	英潛艦施太斯死難家屬卹金已募得四千五百餘元
page 4	改良各區路燈工務局積極進行
page 4	嘉獎華探譚松警司將向港督請示辦理
page 4	長洲各界籌賑會捐內衣二千套並派隊慰勞前線將士
page 4	利便赴澳市民港府增設防疫注射處地點在西營盤舊國家醫院去週發生霍亂症五十四宗
page 5	Ｘ將偽軍強調前線
page 5	Ｘ機連日不斷騷擾
page 5	偽挺進隊多被俘獲
page 5	瓊島我軍迭打勝仗夜攻陵水城之收穫混戰整夜最後一擊得勝斬獲之多出我意料之外
page 5	我正規軍增援睦洲
page 5	Ｘ艦砲轟睦洲續聞
page 5	戰區司令部准綠林自新投效抗Ｘ建立殊勳者並優予獎勵
page 5	我夜攻陵水城劇戰
page 5	鼓勵各軍紛紛襲Ｘ
page 5	我空軍輪迴飛炸江村新街Ｘ陣
page 5	我軍乘勢襲擊岡根
page 5	西潦陡漲Ｘ兵忙碌
page 5	西潦暴漲與三水Ｘ陣Ｘ軍修堤調動大為忙碌我遊擊隊乘　襲擊岡根
page 5	勗夫從軍傳諭嘉獎
page 5	義民口述傀儡怪狀
page 5	廣州Ｘ倉庫又被我機炸燬
page 5	伍觀淇將軍統率下禺北健兒之抗Ｘ情緒第二襲擊區之抗Ｘ四信念
page 5	粵　黨委余漢謀已辭職中央派李鶴齡接充
page 5	粵南情勢頓形緊張Ｘ佔南鵬後有犯陽江企圖徐聞竹山一再被Ｘ騷擾欽縣三娘灣Ｘ不斷窺伺
page 5	南鵬鎢礦果被奪取
page 5	北津東平被Ｘ炮轟
page 5	三娘灣聞砲聲甚烈
page 5	八一三獻金已得實數
page 5	江會各線Ｘ損失甚重Ｘ調偽軍到前線作戰偽艇進隊被俘者甚眾我正規軍開睦洲增防
page 6	福和爭奪Ｘ無展進
page 6	豬牯嶺Ｘ被我炮轟
page 6	十八嶺我軍之增防
page 6	Ｘ擾獅洞終不得逞
page 6	龍口附近仍有激戰
page 6	粵省當局贊助仲元中學在韶復課在韶郊建校招港澳學生回校
page 6	中山最前線部隊調防潘幼齡等部調駐前線禦Ｘ何國光等部調返某地休養
page 6	新民埠的拉鋸戰十二集團英勇將士之戰績
page 6	古鼎華整飭官常准民眾密告不法官吏
page 6	西江下游Ｘ艇游弋似有企圖西犯古勞
page 6	嚴禁四邑各地低折國幣
page 6	利樹宗率部昨返番禺
page 6	新會雙水墟匪徒行劫煙室
page 6	地方政府不得濫征捐款省府昨飭屬遵照
page 6	東北江戰情仍烈我炮轟豬牯嶺燬Ｘ兵營Ｘ屢犯福和墟均被我軍擊退我獅洞守軍包圍Ｘ軍之戰績
page 7	新靚就響應贈旗運動盡典戲服購買國旗一面兵災會贈旗隊今晨出發
page 7	愛國伶人
page 7	港督今日出席中美文化協會
page 7	慷慨捐輸
page 7	出發贈旗
page 7	四英兵被控冒差行竊
page 7	猶太人擅入境被驅逐又回來
page 7	越政府頒佈入境新列外僑入境須繳保金百元
page 7	學賑會舉辦抗戰成績展覽由即日起徵集材料
page 7	偽幣案昨提堂
page 7	中大服務團編印戰地叢書
page 7	七七抗戰紀念日歌姬義唱獻金張月兒發起參加者凡數十人歌壇設文園酒家券價分四種
page 7	Ｘ謀進犯福州迫各外輪駛離閩江口英美當局如何應付現尚未悉海口解除封鎖外輪照常開往
page 8	陳述案由
page 8	陳畏被告
page 8	銀行買辦
page 8	晏道路士
page 8	有爛煙燈
page 8	請撤銷蔡寶善報窮案報窮官晏氏自認失言摩利臣供述兌券放款經過羅文錦指摘報窮官報告書
page 8	中賑會賑濟潮汕難民撥二萬元託潮僑賑難會　辦
page 8	中救劇團最後一次義演下月一日開始連演三天
page 8	自認失言
page 8	所謂按揭
page 8	糖商長期義捐又匯出肆千元
page 8	報際象棋賽華僑勝南強華字　南中一場改期
page 8	印刷商會應付工潮辦法
page 8	青支會會友乒乓單人比賽開始報名
page 8	南華遠征隊23壓倒仰光冠軍隊景祥梅開兩度兆榮亦進一球
page 8	廣州醫師設駐港通訊處
page 8	某師軍需處長被騙去八千元
page 8	　人被控　非法團體勒索煙館勒索不遂則又報告上　依法搜捕主控官詳述案情一館主到堂作證
