page 1	粵省戰時建設問題
page 2	贛北日軍反攻計劃粉碎反撲乾州街受重創回潰我軍渡過撫河猛攻日軍
page 2	華北難民亟須救濟保定已成丐城振務機關經費不足將苦無法繼續維持
page 2	鄂南日軍蠢動受創
page 2	辛潭鋪日軍進犯未逞
page 2	日方無意令其長成汪偽機關無公可辦滬偽社會部改社運指導委會
page 2	蕪湖出擊日軍歸路已斷
page 2	攻克開封我軍仍在城郊激戰在城郊斃日軍千餘此次戰況極為激烈
page 2	各界討汪銜名
page 2	粵　府捕獲漢奸二名區志武供述受收買經過
page 2	豫北我大軍向道清線西段進擊以策　開封近郊之戰事
page 2	中央社籌備追悼李堯卿民
page 2	法注意瑞典態度德利用國際公法向瑞典取獲便利
page 2	晉東南我大舉反攻先後克復陵川陽城晉南我軍再捷日軍千餘全被殲
page 3	出席太平洋學會觀感二
page 3	德蘇逐漸疏遠德文報對蘇有不滿表示謂難希望其進一步援助
page 3	　羅城北炮戰劇烈
page 3	聯軍包圍挪威克港
page 3	德軍兩路分途猛進
page 3	英機炸擊德運輸艦
page 3	意王及高級軍官反對意國參戰英法聯軍態度強硬墨索里尼未敢下手
page 3	日方積極獨佔我國資源汗系期望發還獨佔財產已我泡影現在偽部院拱　瞪目一籌莫展
page 3	當巴士南聯軍暫退
page 3	挪軍炸毀瑞邊橋梁
page 3	聯軍密電碼落德手
page 3	孟祿博士抵滬談我國必可獲勝將以銷耗戰略使日慘敗西方國家實應迅速援我
page 3	華籍巡捕長突被人刺斃
page 3	大美晚報門前恐怖份子投彈死一越警傷四華工料係寧偽方面主動
page 3	德擬利用挪威俘虜
page 3	美對聯軍申訴封鎖太嚴影響於德貨輸入聯軍方面允設法
page 3	日機十七架襲擊蒙自開遠
page 3	大批轟炸機運到挪威後聯軍地位大為加強德倫的英以北德軍被法軍擊退聯軍猛攻亞格丹炮台交戰甚烈
page 5	日軍大部撤離中山
page 5	江會各線又趨緊張
page 5	日本昨又窺察各線
page 5	各地輪渡復航無期
page 5	省行寶安匯兌所昨已成立便利民眾匯款出口
page 5	廣三路被我控制日軍車中地雷被炸事後派隊搜索大捕鄉民日護路隊又在奇槎被擊
page 5	設伏于小塘站附近
page 5	以東之奇槎站附近
page 5	被俘日軍官在韶廣播
page 5	財廳嚴防私梟資日重訂走私獎懲辦法
page 5	傀儡亦不易做順德偽商會將改組因代偽軍籌餉不力所致先成立整委會籌備改組
page 5	凡赴海外工作須先到海外部接洽防止奸徒以偽亂真
page 5	沙魚涌海關取締運輸公司之辦法須有港幣萬元以上保證
page 5	省府召集機關長官會議現未開行政會議
page 5	日機昨窺深圳大剷來日艦一艘
page 5	桂省推行一仙救國運動 慰勞征人家屬
page 5	粵青年團盛典工訓班第一期結業及第三次入團宣誓
page 5	陳村外圍我團隊活躍三洪奇日艇被焚六艘日偽死傷達二十餘名
page 5	葡警與偽軍衝突事件澳門官方發表正式報告抗戰時雙方均有死傷現已向日方提出交涉
page 5	中山日軍大部他調江會各線情勢又趨緊張中山增到偽軍偽縣長將發表前山等地仍封鎖輪渡難復航
page 6	健全機構增加稅收
page 6	靈活金庫確定經費
page 6	流動金融厲行監督
page 6	瓊島日軍圖二次掃蕩全瓊黨政軍聯合會議決定守土大計應付日軍王毅吳道南將分區督戰
page 6	決定抗日守土大計
page 6	吳王兩氏分區督戰
page 6	粵人事管理會議決設人事登記總機構普遍辦候用人員登記並通過依法保障職務
page 6	桂省新訂征全省房屋稅
page 6	財廳最近整理粵省財政情形以健全機構適應新環境實行戰時稅制充裕資源
page 7	預防霍亂傳染辦法
page 7	嚴禁售賣不潔凍品
page 7	防霍亂運動將開始
page 7	旅業商會昨日歡迎鍾標
page 7	榕樹灣捕獲劫案疑犯貨艇被劫損失千餘元
page 7	長沙會戰下月一日義映
page 7	太古輪船港府亦將徵用
page 7	港澳商行名錄已印備大批應市
page 7	難婦蹈海自殺遇救丈夫在鄉被日兵刺死攜子逃港又被人拐去
page 7	日人行竊店款處徒刑三月
page 7	港澳振濟會義學考驗新生
page 7	前昨兩日得雨水四寸餘
page 7	霍亂症漸流行衛生局勸居民慎飲食下月一日起舉行預防霍亂運動全港公立醫局免費注射防疫劑
page 8	昨仍運到大批生豬
page 8	陽江船艇亦有運來
page 8	桂省牲畜可資挹注
page 8	昨日市價無大變動
page 8	港府測量航線
page 8	郊外增闢兩路
page 8	防空署發給防空人員制服
page 8	聖馬利亞堂開慈善賣物會
page 8	東莞旅港學會籌委會昨成立
page 8	本港砲兵演習
page 8	汽車與無線電機嚴禁私運來港經港轉運他埠者不受限制
page 8	款項統一繳解辦法
page 8	傷兵之友捐款統一繳解辦法婦女團體負責人解釋
page 8	紀念徽章分配問題
page 8	參加人數已逾廿萬
page 8	三人被控藏無線電密碼
page 8	兒童保育院聘請醫生駐院望各界捐助藥物儀器
page 8	港報定期加價
page 8	僑工團體徵求成績
page 8	住客聯會努力從事
page 8	荔枝角水雷線將地月底撤消
page 8	本港文藝協會今日開座談會
page 8	偽幣案昨判決兩被告一獲釋一被罰
page 8	兩文協會會議議決要案多宗
page 8	港政府委任令布力任戰稅局長
page 8	連副臬司赴東菲渡假
page 8	消防隊大操演定下月一日舉行
page 8	兩艇互撞沉沒三小童幾被壓斃
page 8	粵禁牲畜出口後昨仍有大批生豬到港廣州灣商人可改向桂省購運來源未斷本港肉食不致　市
page 10	菲律濱女籃隊二次擊敗港協成績為卅五比十八男子賽東方挫鐘聲
page 10	足球季正式結束棒球賽下月可開始東方星島有組隊參加消息
page 10	東方菲島歸鴻八
