page 1	魯南會戰與　戰前途
page 2	魯南我軍陣線始終保持聯絡郯城方面我已向敵猛烈反攻邳縣我有大部增援可告無虞
page 2	江南我軍進襲杭北臨平長興敵犯我受重創
page 2	敵在海寧　我民眾
page 2	長興吳興敵受重創
page 2	我游擊隊迫近秣陵
page 2	三面包圍宣城敵軍
page 2	皖東敵軍再犯和縣再派艦駐三山鎮
page 2	豫北敵軍防我渡河進擊我收復溫縣孟縣後黃河沿岸安謐
page 2	綏遠日軍事不利回軍開抵包頭百靈廟與歸北交通斷絕
page 2	淮河北岸殘敵完全肅清廿五日竟日無戰事東台方面敵思蠢動
page 2	立法院昨開會議決追認前案四宗
page 2	南京偽府宣佈不承認招商局轉讓案
page 2	滬大陸報評論國防公債我國國防公債比較日本尚少經濟計劃良善財權毫無虛費
page 2	晉東我軍克復襄垣直逼黎縣晉北同蒲路仍受我軍控制
page 2	寧滬為府合併問題解決
page 2	行政院賑濟魯豫難民曹仲植攜賑款十五萬抵徐
page 2	滬發現倒日擁蔣大紙球
page 2	我已重行策定作戰方略
page 2	魯南二次大會戰保証樂觀
page 2	泥溝以北之敵被殲三百餘
page 2	郯城之敵有回竄臨沂勢
page 2	我軍佔領魯坊
page 2	魯南局勢轉佳我軍全線出擊台兒莊我軍反攻迎擊南下敵軍郯城敵軍被我猛攻陣線已動搖
page 3	日俄間積怨頗重解決懸案殊難蘇聯前請締約但卒被日本拒絕此後日本再藉故挑釁亦未可必
page 3	國府紀念週林主席報告發行兩種公債之意義同胞有錢出錢有力出力可救亡經濟不充足軍事勝利亦徒勞無功
page 3	東京報載俄機追逐日輪投兩彈未命中
page 3	捷克問題緊張日耳曼民族領袖汗倫警告捷克政府如再壓迫德軍有開入捷境可能匈牙利國民要求捷克歸還領土
page 3	鑑於中歐各國敵對行為蘇俄慎重其外交策對西共和政府之援助經已斷絕所慮者為德波各國聯合攻捷克
page 3	敵積極進行取銷佔領地領事裁判權下月派船津來華籌備取銷
page 3	美飛行家在日被捕擄謂其曾參加轟炸台灣
page 3	希特勒五月中訪羅馬
page 3	敵方於五月一日非法接收海關郵政不確此問題在東交涉中未有決定
