page 1	日美關係之展望
page 2	西線法軍縝密作戰
page 2	華沙被炸淪為焦土
page 2	英海軍打擊德潛艇政策情形邱吉爾在下院作樂觀演說
page 2	晉南日軍揚言犯中條山永濟日軍分三路東犯晉東南我軍側擊壺關
page 2	西線戰事仍有砲戰
page 2	中山當局禁止銅元出口
page 2	希特勒仍向英法求和將提出重要和平建議圖於本週內結束侵波勝利戰事即與意首相合作策動和平運動
page 3	英勇抵抗
page 3	敵潛航艇
page 3	阻止德國
page 3	違禁貨物
page 3	援助政府
page 3	法政府下令解散共產黨封閉共產黨宣傳機關
page 3	湘北　牆河南岸我軍轉移陣地集中湘陰以東一帶贛北日軍猛犯塘埠
page 3	列強必將繼續援華胡適博士之談話
page 3	瑞典商輪兩艘被德擊沉瑞命駐德公使向德提出抗議
page 3	美國民意擁護政府反對孤立主張援助各民主國
page 3	波羅的海諸小國慄慄不安咸懼蘇聯侵略蘇已向愛沙尼亞提出要求傳羅馬尼亞亦已受蘇威脅
page 3	安南過境路線即可恢復交通利便外貨輸入中國內地為宋子文最近交涉結果
page 3	北歐四國外長今日會議討論中立問題
page 3	德自由黨發出廣播反對納粹壓抑決打倒希特勒
page 3	荷民運機中途被擊
page 3	英通令全國人民將外幣硬幣賣於政府國民踴躍參加銀行應付不暇
page 3	土外長抵蘇進行談判
page 3	租界一華籍巡捕被人剌斃
page 3	法方否認炸德機廠
page 3	駐日美大使格魯返任
page 3	戈培爾失歡希特勒將自行引退
page 3	羅國邊境安靜如常
page 3	英美會商銷除不便
page 3	美修改中立法不影響於我國
page 3	平津青島霍亂病症流行
page 3	西南實業協會黔分會業成立
page 3	北路慰勞團定月底赴蘭州
page 3	津日領事阻止英界洩水
page 3	梁龍安抵柏林
page 3	汛美會議古巴代表提決議草案在大西洋劃一大陸海不准交戰國船隻開入其間
page 3	德外長抵蘇討論波蘭劃界蘇京近日外交活動極繁現德外長此行極堪重視
page 3	綏遠日軍退回五寨
page 3	張伯倫報告今後對時局方針英法意見完成一致繼續進行其對波蘭所負義務英法同具心銷除德國威脅
page 5	增來偽軍以備替防
page 5	石抱奇任全　指揮
page 5	我軍昨又冒雨夜襲
page 5	睦洲方面戰事甚烈
page 5	會台赤之海商聯防
page 5	我新空軍窺襲石龍佛山石龍等地發生地震　機在佛山散傳單
page 5	增城日軍進犯聯和不逞
page 5	中央通令嚴防偽社會黨活動
page 5	省府分區督導冬耕中區督導處設開平轄台山開平恩平陽江陽春等縣主任譚振強得抵開平著　籌備
page 5	省府修正公佈災區稅捐征免辦法淪陷期內各種稅捐准豁免已繳稅款得體察情形發還
page 5	被災期內各稅豁免
page 5	已繳未繳稅款處置
page 5	廣州市郊連晚發現我游擊隊
page 5	第四巡察團出巡粵北張主委對記者談
page 5	新會縣府強化諜報組織廣設偵探網
page 5	五邑戰士盼捐藥物
page 5	欽縣發現玩具炸彈
page 5	命之虜嘉獎中山抗戰長官
page 5	羅　鄉民送子從軍
page 5	南頭深圳昨增到日軍日機迭窺惠淡各地商旅多於夜間行動
page 5	犯橫門日軍日夜換防情形前晚我軍曾攻克珊洲坑江會方面最近仍有激戰會台赤之海面聯防
page 7	調整以後貿易激增
page 7	美貨乘機大量運來
page 7	土庫與車房禁作住宅商店衛生局諭令從速遷徙
page 7	歐美雜貨極度滯銷
page 7	滬絨運港值百餘萬
page 7	誰有閒心賞明月中秋貨品市場冷淡投機商人均大失望月餅店獲利者極少
page 7	購買力弱
page 7	商人失望
page 7	價格高昂
page 7	回教訪問團南渡宣傳救國上星期抵港日間放洋
page 7	各線輪船增加運費最高者增百分之三十三
page 7	三名手象棋賽今晚正式開始
page 7	義軍實力大增現有四千餘人
page 7	車輛失事統計去週死三人傷卅三人
page 7	馬來亞政府限制貨品入口廠聯會今日討論應付辦法
page 7	港府拍賣德僑住戶傢具
page 7	我調整對美貿易後九月份中美貿易激增千五百萬元土貨由港滬運美英法德對我貿易已一落千丈
page 8	函各社團勸銷國債
page 8	國防公債發行條例
page 8	廿七年金公債條例
page 8	皇宮舞院主人與舞女瑪利蘇沙算賬追償宿逋百一十元對薄公堂情辭各執
page 8	充當舞女
page 8	汝之愛人
page 8	得回欠款
page 8	至散場時
page 8	醉漢毆傷路人
page 8	血案捕一疑犯
page 8	澳門馬票之暢銷
page 8	南遊日記四一八月廿四日
page 8	海河隊擬與東方聯合戰南征隊南華會對此尚在考慮中募帳賽因雨改明日舉行
page 8	八月廿五日
page 8	南華南征隊昨日奏凱言旋莫慶及包家平未同返健將譚振乾隨軍來港
page 8	荷東印足球的觀感一
page 8	救債分會　僑胞繼續努力購銷國債金公債與國防債票已印妥運港最後勝利為期不遠勿功虧一簣
