page 1	日機濫炸渝市
page 2	希臘倘被侵略決心不辭一戰意繼續作反希宣傳希軍器廠突被炸燬
page 2	英軍六百登輪　滬
page 2	羅京客機一架飛維也納中途被迫下降
page 2	日決派小林為赴荷印專使以代替小磯國昭並提出經濟要求
page 2	柯雷斯謁朱紹良
page 2	財部令中國銀行收兌換英鎊鈔券以便彙集運英面免損失
page 2	美商務部長身體多病
page 2	法加民納上校已抵倫敦協助哥爾將軍
page 2	日機轟炸渝市損失六十餘架費用損失四千餘萬金圓平均用彈一噸始斃一命
page 2	美國加緊注意第五縱隊活動稽查德國旅行社傳其係納粹機關
page 2	封鎖歐陸糧食為英已定政策
page 2	星洲當局加緊統制外僑以防第五縱隊
page 2	英商船在澳水界被德海軍擊沉
page 2	日本企圖發展南美貿易據謂前途殊不樂觀
page 2	邱吉爾演說不忘責任與義務予我國人士以深刻印象緬甸協定當無續訂可能
page 2	川實行經濟建設計劃發行興業公債一萬萬元
page 2	駐莫斯科日大使亦將奉命撤回
page 2	日改派荷印專使
page 2	羅保羅匈兩談判
page 2	嚷嚷又如何
page 2	汪派中華日報對日表示不滿
page 2	現尚在研究中但並未聞其腦已由身體　出
page 2	冀晉日交通被破壞第八路軍奪得薊州陳誠將軍赴前線指揮軍事謂我軍不久即施行大反攻
page 3	德機利用密雲機會低飛襲擊英倫英空軍炸擊法國沿海部羅湟高射炮火甚密
page 3	美攷慮租英屬島建海軍根據地取銷英舊戰債為償並商售讓舊艦於英
page 3	意空軍炸擊埃及蘇丹非洲戰事將在埃及展開埃軍準備協助英軍抗敵
page 3	匈羅談判決裂羅將駐於保邊軍隊調往駐防匈羅邊界
page 3	美海長諾斯將巡視太平洋防禦共行程或在九月四日
page 3	羅斯福下屆當選希望甚高
page 3	土當局逮捕重要納粹黨人
page 3	美向日致備忘錄檢討美日各懸案警告日本勿圖獨霸遠東措詞嚴厲為向來所僅見
page 5	增城日軍增援四千
page 5	日軍夾攻二龍受創
page 5	南番兩縣日軍　徵竹木禾稈各鄉竹林砍伐一空人力物力損失甚鉅
page 5	原定長度
page 5	挨戶搜查
page 5	大量木竹
page 5	廣州日軍在環市內河設卡征收出入口稅
page 5	產竹村鄉
page 5	人力物力
page 5	順德絲艇被劫
page 5	中山稅務歸併寶安稅局
page 5	佛山炸彈案斃日軍官三人日衛兵傷亡六七人
page 5	粵財政廳易長續訊
page 5	中山日軍犯乾霧不逞周漢鈴部團隊攻睦州奏捷石岐日恐慌夜間水陸交通斷絕婆羅島呂春榮部調守岐關路線
page 5	斗門我軍擊退日艇
page 5	睦洲日軍調擾江會
page 5	中山沿海日艦動態
page 5	台山上下川島戰情
page 5	東江南岸我軍雲集深圳北犯日軍已不敢再進大亞灣方面情勢昨仍無變動增城日軍增至四千裝腔作勢
page 6	本月二十日晨日機狂炸韶關慘狀天主堂美教會亦被炸燬當局加緊善後維持治安
page 6	慘遭轟炸
page 6	救護情形
page 6	粵北我軍突擊郭塘神岡日軍犯和睦逕不得逞
page 6	辦理善後
page 6	災場巡視
page 6	粵省府實施人事管理薦任及校官須提省府任免職員有無更動須按月報告
page 6	補救辦法
page 6	親擒　謠
page 6	加緊疏散
page 6	侵粵日軍又圖蠢動各鄉繼續開築公路被雨沖毀之路基亦限期修復
page 7	淩空演習突然下墜
page 7	死者為著名游泳家
page 7	佛山輪事件本月內難解決爭持之點仍為帶水費
page 7	節家奠費賑難雷氏昆仲之義舉
page 7	霍亂症是年第一宗
page 7	營養不足患乾腳氣
page 7	港政府公布與敵國居民通信辦法函內不准書寫發信人居址並不得談及英國地方情形
page 7	貧民營養不足一乾腳氣症又流行連日到公立醫院求診者極眾霍亂症亦有發生市民宜防範
page 7	又破獲嫌疑拐帶機關搜出兩小童捕疑犯三名
page 7	英國民祈禱日經由英王指定九月八日
page 7	港府修改公共燈火法例
page 7	代督名譽副官昨委出十二人
page 7	瑞領祁勒離港
page 7	漢民學校代表謁教育司經過教育新例未獲准展期施行惟過渡時期訂有通融辦法
page 7	遠東航空學校飛機失事兩練習生一死一重傷機墮公路上全機粉碎不能復用死者芝阜拉為本港著名泳游家
page 8	政府公布禁運貨
page 8	糧食獨可自由運輸
page 8	漢文師範班畢業試昨揭曉
page 8	港工專畢業生日間回國服務
page 8	戈培爾的戲法
page 8	打單案兩疑犯提堂押候四十八小時審訊
page 8	衛生局之議案
page 8	田土官　公室竟被匪徒入竊
page 8	鯊魚涌小輪改由沙田開行
page 8	留日同學會近訊
page 8	廿七晚防空演習將有假想空戰市區內可聞高射砲並有假想敵艦襲海岸
page 8	事前不發警報
page 8	假想敵機來襲
page 8	海口封鎖情形
page 8	廣州灣政府宣佈糧食仍可自由運輸汽油礦產品洋　疋頭均禁進口港灣糧食商人已紛紛恢復辦貨
page 10	出乎意料之外國軍慘被淘汰美利堅寫意勝六分獲得國際棒球決賽權
page 10	記　同樂會暨水運會全部秩序及職員經已決定水運報名延至廿八日止截
page 10	四角游泳競賽域多利膺首席勵進始終努力獲第二名鍾聲不滿評判臨時退出
page 10	高級學界籃球昨日舉行頒獎表演賽聯隊南華告捷
