page 2	香港屋租問題
page 3	某派揚言徐紹楨謀仍任粵長
page 3	丁槐在滬電張紹曾索四十萬為運動軍隊費方允赴粵
page 3	政府允李烈鈞督辦邊防以牽制許軍進省為條件
page 3	汪兆銘由奉返滬攜回張作霖助孫文款三十萬
page 3	山海關截獲私運印花百萬有說謂即薛大可在印刷局私造者薛本帝制犯因此惹起各界注目
page 3	張紹曾覆丁槐電法統既復何和可議前年孫伯蘭上海會議言祗要恢復國會驅逐非法政府別無要求今完全達到目的何又有對等會議主張張意在實行行政協議會
page 3	曹錕齊　元請任王永泉兼建安護軍使周蔭人泉永鎮守
page 3	使
page 3	劉恩源程克李根源彭允　十六日宴議員十餘人討論制憲公債事已有具體辦法鴉片公賣不日提出閣議
page 3	莆田永泰民軍得某方接濟已與周蔭人部接觸
page 3	京傳陳炯明保楊坤如為師長
page 3	孫傳芳電告已派兵往永春一帶截許崇智軍不令回粵
page 3	京傳李烈鈞徐紹楨均與中同有密電往還張紹曾許逐孫文後徐長粵李督辦邊防一說此為張派造謠以張聲勢
page 3	保洛再電京請籌款將義械購歸中央
page 3	張紹曾已允齊燮元杜錫珪電請撥款二百萬擔任疏通上海回艦北歸
page 3	新疆楊增新電京詢問直軍移　是否專為蒙事如中路出兵請先期密示俾西路一致行動
page 3	奉天十三日軍事會議決對直暫取守勢
page 3	滬海軍通電此次舉義絕非為口腹　計所有餉需早已籌備維持齊燮元認為與陸軍鬧餉譁變同例思以金錢挽救用特駁斥
page 3	十五日黎洪元通電力言窮兵黷武之不可長千餘字
page 3	滇沈軍戰事紀聞
page 3	十七十八兩日之戰訊
page 3	派員檢查報紙之範圍
page 3	楊西巖來港之西訊
page 3	港政府擬由城門各取食水
