page 1	成都事件與北海事件
page 2	日大使川樾昨晚抵京交涉成都北海兩案及其他問題駐廣州日領事中村已離東京返任據談日政府已決定解決兩案方針
page 2	刁作謙迭訪日代領吉竹請急撤北海日艦粵當局亦請十九軍撤離北海四路軍準備派隊開北海接防
page 2	漢奸受人嗾使在滬製造恐怖事件同黨分頭工作任務彼此不明
page 2	設計誘擄一婦誤投陷阱麻面人登門送信宗女士竟入牢籠
page 2	司法當局澈查故宮竊案
page 2	京衢浙贛兩路接軌明年底可完成
page 2	中航公司飛機不敷分配決將築昆段停航
page 2	黨國元老又弱一人徐紹楨在滬逝世享年七十六歲
page 2	王克敏北上後未允就職日侵華計劃受打擊宋哲元有辭軍長消息
page 2	程潛黃紹雄飛桂即午在武鳴降落轉乘汽車赴邕沿途保護週密下午三時半抵邕寓黃旭初邸
page 3	國聯行政院會議意大利拒絕參加目的在擯亞國於國聯之外
page 3	豫棉今年豐收估計可得十五萬擔
page 3	閩惠安北區月林山發現磁石礦苗華僑卓有益現著手經營
page 3	由漢開粵直達車突遇山石傾塌延至今晨方能抵粵
page 3	哈爾濱俄藉車夫被排
page 3	新任駐華英使許介森昨抵滬定今日十時登岸十六日入京謁張
page 3	日建川中將今日啟程來華就冀察政委會最高等顧問職
page 3	滬市煙民統計已登記四萬餘人
page 3	駐滬日警在鮮人住宅搜出大批偽幣總數三萬元獲男女兩犯
page 3	湘米運粵接洽處今日宣告成立頭批機米二百萬擔旬日即可裝包運粵
page 3	滇省會澤縣發生地震六次尤以初次最為劇烈房屋牆垣倒塌甚多
page 3	英大使館決定增加駐平英兵以增厚華北保僑力量
page 3	蕭匪向北推進已逼近蘭州
page 3	日輪在葛沽擱淺忽被股匪襲擊塘沽日軍接電到援擊退匪眾乃獲脫險
page 3	王英股匪受日供給進窺綏東五縣冀察當局密切聯絡故仍未達嚴理時期
page 3	德王受日人嗾使陰謀擴充實力
page 3	合作社登記證准許免貼印花
page 3	黃希仲任滇高法院長
page 3	公務員所得捐月底截止征收
page 3	　選消息彙誌
page 3	諾氏弟子祭弔諾那骨灰
page 3	津市工商業邇來益趨凋敝華廠僅餘六十處
page 3	徐埠婦人一胎兩男一女
page 3	財部積極籌備鹽務機關改組
page 3	全經會電詢黃河險工
page 3	德國優待勞工
page 3	意閣獎勵生育
page 3	希特勒參加勞工會議席上發表學說詞對蘇聯肆意攻擊
page 3	意政府將撥款擴充國防設備墨索里尼並謂此舉適應國際環境需要
page 3	南羅捷三國外長會商歐洲局勢
page 3	英保守黨極端派準備攻擊首相包爾溫不安於位
page 3	朝鮮風災損失人口死亡數十萬物質損失數千萬
page 3	西國聖城守軍已開始撤退叛軍即可進入該城
page 4	鐘聲參加廣東水運代表十五晚出發男女代表共二十人經選出
page 4	華僑體育會為加入甲組事向足球總會上訴解釋甲組十五隊並不過多希望上訴委員會秉公接納
page 4	前日去函上訴
page 4	可多過十四除
page 4	青年會復興體育領袖班考驗合格派往各校指導體育
page 4	時間足夠分配
page 4	我足球隊在日內瓦擊敗賽維帝隊經過上上半時二比結果三比二我隊三球均由李惠堂射入
page 5	程黃昨晨飛邕
page 5	省銀行長顧翊群昨晨飛京謁孔收買白銀再發出新毫券二百萬顧氏昨與記者談話
page 5	中野順三案之昨訊雙方調查進行與日艦行動特派員電外部講示
page 5	翁丘電告
page 5	李白態度
page 5	駐軍撤退
page 5	調查進行
page 5	不致擴大
page 5	四路軍限兩月內均改易中央軍服
