page 1	國際婦女節與中國婦女
page 2	二次金融會議孔院長之訓詞列舉四點希望全國互相合作應付困難中央地方構成健全機構以收調整之效
page 2	應辦的事
page 2	全面抗戰
page 2	重要問題
page 2	負責任的
page 2	廣州Ｘ軍大舉搜索民居捕去華人數名押赴Ｘ司令部糧食缺乏米價奇昂劫案日多
page 2	中央規定
page 2	重要事項
page 2	扶助地方
page 2	陽奉陰違
page 2	上海租界Ｘ又生事
page 2	Ｘ在漢築炮壘電網包圍英法租界又在邊界架起飛槍指向租界英法領事對Ｘ質問Ｘ未答覆
page 2	滬楊樹浦捕房事已算解決據云又係誤會
page 2	新四軍軍長葉挺已返京滬游擊區指揮該軍發展迅速已有十餘萬
page 2	網球家畢治戰勝梵恩斯六對二六對三
page 2	彼此合作
page 2	務須中央地方共同致力
page 2	中國抗戰再過三年後始能結束而最後結果中國必不失敗蔣委員長英籍顧問之演說
page 2	日藏相在國會宣佈擴陸海軍預算共達十八萬萬八千餘萬元米內誇大謂將與海強爭衡
page 2	行政院會議紀
page 2	Ｘ宣佈修改華北出口條例華　Ｘ當局宣佈
page 2	橫須賀軍港忽起大火焚燬海軍庫五間
page 2	我向漢宜路出擊某部收復重要據點楊家洞Ｘ機襲平涼寧夏死傷多人
page 3	英外次向眾院報告遠東事件決要求開放長江並維護華北權利
page 3	巴力斯坦會議英阿續商英政府提案阿代表表示對此會頗感失望
page 3	本週戰況
page 3	廣中方面
page 3	鄂中方面
page 3	蘇魯方面
page 3	山西方面
page 3	其他方面
page 3	羅國機場失火飛機十七架被燬
page 3	英首相說明不再承認西共和政府英與西政府已無任何外交上關係西國防委會主席勗將士抗戰到底
page 3	甘地進食拉紮葛糾紛獲解決
page 3	西政府艦隊忽然他去或係向國民軍投誠
page 3	波外長將訪英
page 3	史汀生主張英法美聯合對付德意日美國在此險惡環境中實不容再事遲疑不決
page 3	英澳新三政府將開帝國太平洋會議其自的在研究國防計劃
page 3	美海軍軍令部長關島設防必要提出強化太平洋設備計劃共需經費六千五百萬金元
page 3	英下院討論老撾問題滇緬路完成華人往老撾日增英政府擬設法限制華人入境
page 3	滬律師陳醒民被刺
page 3	去年蘇滿衝突共達一六六次多數懸而未決
page 3	英決貸五百萬鎊支撐我國貨幣此舉一俟國會通過即可實施並再供給出口信用放款助我
page 4	中國古玉研究許地出　士今晚演講
page 4	太平洋線各輪客票一律減價
page 4	電話公司年會用戶激增獲利甚厚
page 4	九龍關新稅費
page 4	英后輪今到港
page 4	救傷班及格學員
page 4	南洋義學已復課
page 4	炮台演操高射炮
page 4	美新女服店開幕
page 4	華商會值理月會
page 4	振成學院畢業禮
page 4	一九三八年度我國茶葉出口激增較上年增加二百餘萬磅　茶出口減千七百萬鎊
page 5	石龍Ｘ騎昨竄南社茶山寶安各地安謐如常但深圳南頭仍冷落
page 5	太平Ｘ營被我焚燬
page 5	各地駐軍須就近訓練自衛團期使今後軍民均能配合作戰
page 5	省府通令褒忠鋤奸提議旌恤謝維屏
page 5	派員赴港慰問難民
page 5	東北江軍事急亟開展我東線主力將向Ｘ挺攻北江軍事同時發動牽制Ｘ軍
page 5	承辦河南煙賭之馮某被Ｘ監視
page 5	財廳整理全省營稅訂優待繳稅辦法
page 5	李主席兼長建廳後佈粵北電話網整調戰時通訊粵桂電話已通
page 5	桂省獎勵採金
page 5	在粵ＸＸ集議南侵軍事
page 5	各縣區長警官更動呈廳核准
page 5	Ｘ陷三山之詳情偽自警團反正與Ｘ激戰山田部又再佔平洲該墟已成死市一度向三桂搜索糧食向平洲退去
page 6	汕市政府嚴禁勒索華僑
page 6	順德各屬米荒嚴重縣府釐定米價禁止米商操縱
page 6	Ｘ汽船昨又犯企人石被我軍迎頭痛擊縣府注意交通線
page 6	第四戰區司令部派員巡視中新
page 6	新會抗日除奸會積極進行籌備
page 6	新鶴自衛團隊尚未進行改編暫由原日大隊長指揮
page 6	廣寧游擊司令部昨已奉令結束
page 6	潮陽囚犯前晨越獄潛逃
page 6	劫　陳村各鄉霍亂症流行蔓延甚速旬來死于此症者達五十餘宗鄉民醫藥缺乏祇得束手待斃
page 7	反對蓄婢會出發徵求會友
page 7	寶安縣府派員慰問受傷難胞
page 7	英再貸款我國約三百萬至五百萬鎊傳匯豐等銀行為債主
page 7	菲島閩橋籌巨款賑難民
page 7	檳城華僑工程隊動程返國服務
page 7	索償保險費案押候星期四再審
page 7	加倫街紅丸案昨日提堂公審
page 7	本港防空局擬定空襲疏散計劃非常時期決移市民至瀾頭島緊急防空演習短期內再舉行
page 8	中環小販寫真
page 8	大道西汽車輾斃小童司機人竟不顧而去警當局決緝拿嚴辦
page 8	伶人新靚就捐款救濟難童
page 8	公廁中遇兇徒航海客被刺重傷
page 8	駱克道大打架兩受傷九人被捕
page 8	紅磡劫殺案詳臬定讞劉全縷述與各被告行劫經過並謂此舉志在發財並非要命
page 8	三善院新主席楊永康呼聲最高
page 8	賑聯會會議紀
page 8	婦慰會舉辦跳舞籌賑大會
page 8	香港置業公司昨開股東年會
page 8	今日三八婦女節婦女界準備熱烈紀念港九分四區開會由大會派員指導國際紀念會在梅夫人公益社舉行
page 10	三八節紀念民廿八年三八節之期望
page 11	昨日公開網球戰線單打黎廣駿苦戰挫基利雙打徐氏兄弟旗開得勝
page 11	芬蘭如何籌備第八屆世界運動大會一
page 11	全國上下一致努力
page 11	運動會是民　解放的象徵
page 11	三十年之夢想實現了
page 11	雄風體育社選出組織職員定　首次　求滿藝會
page 11	籃球友誼賽記者今戰流星
page 11	精武體育會將選舉新參事員
page 11	甲組足球聯賽雛鳳與海軍之戰提前今日舉行下午五時在加山會師
