page 1	德意蘇與巴爾幹
page 2	靈山殲滅戰斃日軍近五千鹵獲武器槍彈無算
page 2	東亞新秩序與民族主義
page 2	滬華美日報被人投擲丙彈幸彈未爆發
page 2	晉我軍續獲優良戰果汾城境內展開劇戰晉南日軍被殲千餘
page 2	國府明令褒揚黃明堂
page 2	行都各界追悼蔡孑民蔣總裁親臨　致祭張繼王席報告蔡公生平
page 2	四聯總處推進農貸工作
page 2	粵黃岡日軍一部譁變
page 2	謠傳英內閣行將改組
page 2	無線電發明家昨日逝世
page 2	盛傳希特勒將有重要演說演講稿正在起草中
page 2	五原重睹青天白日旗新舊兩城已完全克復殲日軍三千餘人乘勝追擊殘餘
page 3	日皇下令輪轂展期結束有田要求縮小在華軍事行動武籐虛偽談話顯係另有作用
page 3	日空軍俘虜安田視撰覺悟書確信光榮勝利必屬中國希望日本民眾及早覺悟
page 3	美教會年會主擴大對日禁運範圍美基督教應自動抵制日貨
page 3	周恩來由蘇返抵延安
page 3	日本工人生活困苦物價飛漲工資低廉
page 3	豫南方面我克復潘新店豫北偽軍宗翰亭部反正
page 3	我軍衝入新會縣城三水日軍屢犯楊梅被擊退
page 3	在挪威水界內英艦截擊德輪挪政府令英艦退出
page 3	德新型魚雷可作兩種用途倘不擊中目標則變成一水雷
page 3	日民政黨主張致力南洋開發拓植省大臣小磯國昭答稱南進與北進均為日所注意
page 3	復活節日美國各地嚴寒紐約時裝巡行冷落
page 3	土輪私運猶太人被英海軍扣留
page 3	倫敦泰晤士報評論汪政權成立事中國政府仍堅決對日抗戰新政權不能令英國信賴
page 3	海員黨部討汪
page 3	滬工部局定期改選董事日人大肆活動要求數項條件
page 3	南洋僑商專函慰勞將士
page 3	漢日軍企圖徵外貨入口稅
page 3	美南極探險團領袖電告返國
page 3	敗象叢生
page 3	畸形教育
page 3	愚民政策
page 3	第四條路
page 3	有三條路
page 3	德認蘇聯並非可靠盟友蘇認現時只係德向彼求助正式否認莫洛多夫赴柏林
page 5	日軍源源增兵江會
page 5	急於打通江佛路線
page 5	江佛南段發生接觸
page 5	中山日軍紛紛撤退
page 5	婆羅全島已無日蹤
page 5	日偽勒索不遂焚燒新會南坦之慘況我軍反攻江會之另訊前旬三埠澳門之交通
page 5	到南坦鄉勒索滋擾
page 5	各鄉情形甚為蕭索
page 5	切實展開反攻軍事
page 5	已開始向會城反攻
page 5	當局限制閏丁出口
page 5	一門忠烈老秀才勗子女抗戰兩子為國犧牲一在前線服役
page 5	寶安秩序恢復各界慰勞將士俘虜日偽軍解平湖訊辦
page 5	北線我軍轉採攻勢衝入神岡戰事劇烈進出該墟數次現仍相持中竄擾樂同日偽軍已被已被解決
page 5	衝入神岡展開混戰
page 5	增城近郊戰事激烈
page 5	樂同日偽竄回新街
page 5	增從迭有劇戰
page 5	靈山我軍大捷為桂南第二次之重要勝利我繼續痛剿被困日軍彼作流寇式突圍進擾各地我已銜尾追擊決不使漏網運桂貨物多改道先運西江日軍又圖迂迴合浦救援靈山日軍
page 5	檀墟日軍悉被解決
page 5	反攻舊州包圍宋秦
page 5	日軍突圍合浦告緊
page 5	粵桂邊境切實聯防
page 5	進襲官塘圍殲日偽
page 5	廣從公路我軍奏捷
page 5	江門日軍續有增加揚言西犯似圖打通江佛線江佛路南段開始接獨鶴山情勢更緊中山日軍大部撤赴香洲已落艦他竄南屏日軍退去婆羅島整個已無日蹤
page 6	警察保甲國民兵聯繫推動戰時要政政院制定辦法十六項粵分飭各縣切實實施
page 6	聯繫辦法
page 6	密切合作
page 6	切實協助
page 6	我團隊襲古井
page 6	國民精神總動員會派員視察情形粵省視察員將到
page 6	粵成立救防團體已共有廿五縣未填報者分電催辦
page 6	我英勇團隊在大黃圃之偉烈戰績屈支隊長受傷袁大隊長傳已殉職日偽佔大黃圃待見人便殺及焚屋大火兩晝夜始熄舖戶被焚十之七
page 7	果菜工商會之呼籲
page 7	修理街燈利便夜行
page 7	改良生活有利商人
page 7	賭業特盛不容忽視
page 7	大學生聯誼會昨成立第一屆職員同時宣誓就職
page 7	港僑救護團藥物續運前方並續招考新團員
page 7	高士奎昨逝世杜月笙為之治喪
page 7	鮮魚行捐軍鞋
page 7	蔡無忌昨返滇
page 7	南頭光復後港寶小輪今日復航避居流浮山難民已歸去寶安商會派員慰勞將士
page 7	慰勞戰士救濟難民
page 7	港寶交通今日恢復
page 7	藏械案再提堂
page 7	傳港督將返英有何任務刻尚未悉
page 7	九龍躉船中發現自縊男屍懷中有信一封
page 7	長洲又發現巨鯨
page 7	克利浦昨飛美
page 7	提前收市改良生活原於商店職員有利惟休息時間沉迷於賭反為有害生果行環境不同請准延遲收市
page 8	本港操炮三天
page 8	虎戲義演展期
page 8	狄拉萊談發展航空事業目前僅為進展之開端
page 8	二次特別賽馬第二日沙甸禮竟一敗塗地勃霍與干非順卑參加復活賽勢均力敵兩不相讓同列首名
page 8	蔡孑民先生之言行二
page 8	教育方面
page 8	三學術方面
page 8	鐘鏢行鉅竊案
page 8	開本港新紀錄保險銷貨場出現
page 8	華僑協進會致函住聯會表示贊助減租運動減租不獨可使居民減輕負擔且於衛生治安風俗胥有裨益
page 10	掃桿埔萬頭攢動爭看國軍凱旋中華蟬聯國際杯錦標七比二大勝蘇格蘭隊
page 10	國
page 10	蘇
page 10	籃球消息兩則
page 10	大生杯頒獎本星期日舉行
page 10	建公盃選出職員
