page 1	日四相會議之觀察
page 2	安陽水冶日軍被殲
page 2	湯陰西北日軍受挫
page 2	國立戲劇學校下月成立內設話劇戲劇兩科注意中國固有樂劇
page 2	全國慰勞總會發動全國一致慰勞空軍慰勞總會募紀念品
page 2	于斌主教抵達韶關將赴湘鄂前線勞軍
page 2	岳陽西門江面日機觸雷粉碎
page 2	日圖偷登大榭島被擊大逞
page 2	綏南我軍克兩據點
page 2	南僑團在某地慰勞空軍將士陳團長致詞黃司令作答
page 2	重慶當局改善空防制度組織一中央局指揮一切工作
page 2	中美文協會請美制止日機暴行
page 2	來陽各界歡迎政視團
page 2	黔企業公司舉行週年紀念
page 2	天津中比銀行停業之說不確該行照常營業
page 2	外交協會湘西支會成立
page 2	滬我政府機關維持標準時計
page 2	蘇報評日四相會議圖控制內閣干涉歐戰日本人民自感賦稅重負希望從速結束對華戰事
page 2	雲貴監察使李根源視事
page 2	英議員參戰者六十餘人其中有一議員在比前線陣亡
page 2	巴爾幹經濟會議德極重視
page 2	美新建主力艦華盛頓號下水
page 2	埃及積極籌劃應付降傘部隊
page 2	德轟炸機一架在瑞士被擊落
page 2	英否認將瓜分比屬剛果
page 2	棗陽以北日軍肅清襄宜間日強渡被殲新陽店附近日軍千餘在圍殲中
page 2	粵北日軍增援北犯經我奮勇痛擊南潰良口附近戰事仍烈我克狗耳船
page 3	比境聯軍繼續撤退
page 3	哥德大將返回英倫
page 3	英國海軍努力救援
page 3	加萊斯城已陷孤立
page 3	意似已下作戰決心
page 3	意內閣定明日舉行重要會議意參戰日期料不出旬日法亦停止與意商務談判
page 3	興西實業公司開發西康實業將以開發金礦第一步森林酒店醫院以次興辦二
page 3	德意將採和平攻勢
page 3	意若參戰必難獲勝
page 3	英報認為意國敲詐
page 3	英駐比大使現已失蹤
page 3	駐意美大使否認請見墨氏被拒
page 3	德機飛法轟炸里昂馬舍馬舍被炸斃者四十名德機被法機毀多架
page 3	郭大使訪英外次質問英日談判英日談判未涉煤油問題或者有關荷屬橡皮錫礦
page 3	傳美轟炸機一隊到岷尼拉
page 3	美共產黨議決選舉運動政策
page 3	愛共和軍老黨員謀另組一團體以抵抗外力侵入
page 3	蘇名學者瓦爾加道破日本　象徵中國已成立強有力軍隊日本軍政均有崩潰現象
page 3	德跳傘部隊在荷損失重大
page 3	國私家飛機賣於聯軍不少可作偵察之用
page 3	挪威南部挪軍經已安然退出
page 3	比境英軍全部撤退只留一部守丹刻克聯軍忙於改編隊伍準備再大戰
page 5	向容奇襲擊
page 5	向古井襲擊
page 5	實力之擴展
page 5	米荒已成普遍現況
page 5	肇慶
page 5	清遠
page 5	旅菲粵僑代表在韶各向長官獻旗並電蔣委員長李長官祝捷定日間赴湘鄂必要時入渝
page 5	日軍犯派潭又被我軍擊潰
page 5	市郊各地日軍抽調空虛鄉人誤越警戒線被害市郊日軍特殊戒嚴
page 5	省振會救濟報界失業員工
page 5	汕市情形混亂
page 5	浮洋日我激戰
page 5	日偽壓榨下汕市情形混亂潮汕外圍迭起激戰我健兒夜襲汕偽市商會收穫戰果菴埠一帶已陷入我孤形包圍線中
page 5	菴埠日軍被圍
page 5	粵教育廳舉辦戰區退出員生登記擬分七處設登記站
page 5	參戰女子須保持軍人儀態嚴禁塗脂抹粉披髮及肩
page 5	粵省府限制耕地加租
page 5	桂省拿獲偷運子彈漢奸
page 5	桂參議會定開第三次會
page 5	日軍向北路增援各路次要據點日軍幾已盡撤我游擊隊乘時活躍容奇古井均有夜戰袁帶電李紹光設法收容中山各地散兵
page 6	國民精神動員會制定改進國民日會試行法
page 6	粵北日軍尚圖掙扎圖由米　再撲良被我夾擊於石鳥湖石嶺犯平公院亦被我軍擊退鳳池約等日軍潰竄派潭花縣成拉鋸戰我襲鴉湖
page 6	米　日軍北竄受創
page 6	犯平公院日軍敗潰
page 6	花縣我日頻有接觸
page 6	增城日軍出擾小樓
page 6	日軍三路竄犯派潭
page 6	省府令各縣行厲行禁娼
page 6	招桂章尚未返粵又一說偽江防部忽然空頭成立請日軍撥船遭峻拒在舊官紙局門前貼一空頭佈告
page 6	朱為珍將赴桂暢談視察兵役觀感
page 6	促進戰時施政實行各級會報
page 6	廣海運輸不通
page 7	中澳交通尚未恢復四邑賑米滯留澳門
page 7	賑米在澳無法運入
page 7	恢復交通尚待磋商
page 7	中華中學開游藝賣物會為工業合作社籌款
page 7	歐戰擴大後日貨乘機向本港傾銷疋頭入口數量創新紀錄火柴每月亦有四五千箱
page 7	港九教師聯會請許地山演講
page 7	募粽慰勞孤軍極得各界人士同情
page 7	防癆協會收捐款數百元
page 7	徵求傷兵之友運動約得款十萬元月中始能核算完竣普益商會成績良好
page 7	三善院總理昨宴全港官紳對擴充病房曾加討論
page 7	吳鐵城等請褒揚謝英伯
page 7	香港大學今舉行入學試
page 7	澳財務司羅慕昨日抵港
page 7	元朗區小販分會成立
page 7	本港政府加速完成防空計劃施柏堅對追加防空經費之解釋代督下令組射擊降傘隊民兵團
page 8	登記會員
page 8	如儀開會
page 8	議決要案
page 8	關於售貨術的我見
page 8	羲皇台慘殺案今日下午公審醫生詳述死者傷狀明日下午繼續審訊
page 8	選舉結果
page 8	稽核會費
page 8	崇正濟難會委員大會增加婦女常委十六位二屆募捐擬籌足廿萬
page 8	修改會章
page 8	募捐運動
page 8	有災即救
page 8	埋頭苦幹
page 8	慷慨捐輸
page 8	南華大學開戲劇座談會
page 8	貨車失事傷人
page 8	婦女節制會籌開遊藝大會
page 8	半島工餘別墅增設本港支部
page 8	女兒肩義演收入約七千元
page 8	學賑會昨開四屆年會修正通過新會章選出執監委員舉辦復興會務募捐及獻章運動
page 10	昨又到暹羅米船一艘本港米價繼續上漲
page 10	華人游泳會定期舉行水藝籌賑會
page 10	東方南征足球隊在菲三戰三捷詳情五
page 10	昨日棒球聯賽14-2港啤輕取工程中華隊勝來寫意十八比三破南華
