page 1	中央對粵省政治之今後
page 2	李白亦急流勇退願撤桂軍接受二中會決策葉楚槍謂中央盼李白體念時艱入京共赴國難余漢謀俟抵廣州後即約李白會商大計
page 2	平市炮聲隆隆日軍深夜演習
page 2	余漢謀赴京代表張建公畢候輪返粵粵省財政佔次要地位澈底整理國庫必有相當裨益
page 2	鄒琳宋子良昨飛粵乘機在韶降落與余漢謀晤談唐壽民等亦乘波斯頓輪南來
page 2	解決兩廣後蔣在廬山會議商討整個大政方針林主席孔財長均往參加會議側重外交經濟兩點
page 2	外蒙離我獨立已十五週年矣外蒙各界開會紀念蘇俄代表參加演說
page 2	孔財長談推行所得稅辦法辦新稅決以新人材新精神赴之將來征收新稅其手續力求簡便
page 2	中國統一告成日外相受國民指摘有田將發宣言向國民解釋植田召集部務會議決積極侵華日軍圖察日亟劉汝明擬赴津向宋辭職
page 3	石井對侵略華北經濟謂為安定地方
page 3	平漢路一帶嚴密查緝私運私貨南銷路線因此已被截斷
page 3	坊子車站日人被害案兇手已經拿獲
page 3	中暹雙方互謀經濟合作
page 3	司法院常會決議整頓粵桂司法西南最高法院分院亦經該會決議撤銷
page 3	中政會決議案
page 3	天文台長余青松大雷雨後發現彗星四週成雲尾光四射一旦消失非數百年後不復見
page 3	國勞建議各國政府改進華僑生活
page 3	京市熱度稍減最高九十六度
page 3	各省市報告廢除苛雜情形
page 3	津市慈善獎券奉令即行停辦
page 3	金培松奉派赴日調查釀造工業
page 3	國立藥學專校擬就組織大綱
page 3	陸地測量局組織條例要點
page 3	蔣鼎文令各部澈底肅清殘匪
page 3	僑民代表選舉事務所昨日舉行成立即日開始辦公
page 3	選舉總事務所擬組法規解釋委會解釋選舉法規疑問
page 3	西班牙亂事擴大黨軍已佔領七省西國首都附近發生大激戰廢帝亞爾寬蘇食指已大動
page 3	美當局否認美國對華貸款
page 3	袁像中元照准兌換法幣
page 3	曾養甫離杭赴贛視察南萍路工擬飛機赴粵一行以促成贛粵鐵路
page 3	亞軍分路反攻已與意軍劇戰
page 3	英法比三國會議討論歐洲時局
page 3	奧國大釋仇犯
page 3	世運持炬跑已抵達雅典城
page 3	石友三等出席冀察政會
page 4	女子友誼籃球賽廈門群惠隊初施下馬威四十四比八大敗飛燕隊今晚七時半與養中對壘
page 4	英銀價近期略漲
page 4	南華女部長歡讌記
page 4	公開籃球戰昨晚華僑特用新將戰印警下半場急起直追僅以九分之差而敗乙組之戰華僑乙南華乙兩隊奏凱歌
page 5	唐氏急于就職原因
page 5	財廳將改為三科制
page 5	改組法幣會之消息
page 5	省銀行易名之不確
page 5	鄒琳宋子良等抵粵
page 5	第一師昨已到省余漢謀改今日來省陳章甫赴韶覆命總部改駐第一師
page 5	余漢謀改期來省廿三日乘車南下
