page 1	極權國之苦悶
page 2	南非聯邦總理史蔑特評論英德戰局德國現在所獲成功為暫時性英國守禦力強必得最後勝利
page 2	日本新內閣經已組織完成日軍部向新閣提三志願近衛將更為軍部之傀儡
page 2	澳洲聯邦總理向希特勒答覆
page 2	羅土經濟談判經已決裂土代表已返國
page 2	汎美會議開幕參加者廿一國代表商議美洲一切問題
page 2	日軍部提三項志願
page 2	蓋達勸羅斯福諒解德意企圖德意未嘗有觸犯美國請美勿干涉歐洲問題
page 2	西平縣鄉民自動入伍
page 2	反對黨積極宣傳反對羅斯福參加競選反對派定　在芝加哥集合商議推行宣傳運動之計劃
page 2	米內內閣辭職原因
page 2	汪陳向　進讒詆周逆西尾對周要求多加阻撓
page 2	法國大戰後交通大部破壞交通部長勸人民努力挽救此損失
page 2	里昂市面漸復常態
page 2	我在雪梨購買兩批麵粉
page 2	哈里法斯發表廣播反駁希特勒之誘和德謂倘邱吉爾拒絕和平談判則德國將取迅速之軍事行動
page 3	上海領事團決定展期會議以　論上海治安問題責備上海之恐怖活動
page 3	遊蘇觀感二
page 3	鑒於遠東局勢緊張英加強新加坡防務日報稱係防止日本南進
page 3	日偽二千餘人會犯魯南趙車我分別截擊展開劇戰
page 3	稷王山我軍痛殲日軍
page 3	摩洛哥王通電擁護貝當
page 3	滇越路客運照常
page 3	英倫海岸空戰一日間擊落德機廿一架英空軍飛炸德軍事目標
page 3	立愛拉取銷獨立決議含併入蘇聯蘇聯力量達到波羅的海東端數月問增六萬餘英方里土地
page 3	寶應日軍被擊傷亡慘重
page 3	日指上海為霍亂症區
page 3	滬日大使館發表談話銷滅上海恐怖運動須得第三國之諒解
page 3	美將攷慮減少廢鐵輸日以對抗滇緬路之封鎖
page 3	邱吉爾致賀澳洲海軍意巡艦谷里昂號係澳洲巡艦擊沉
page 3	美向我國購買錳鎢
page 3	青島美日發生糾紛
page 3	日機襲渝不逞偵察機一架被擊落
page 3	英驅逐艦蝗虫號被擊沉
page 3	川省改良牲畜川　農所擬定計劃
page 3	中農在湘設縣合作金庫
page 3	蘭市學生組兵役宣傳隊
page 3	天壤之別
page 3	蓋達之言
page 3	法勸各商家返回巴黎復業
page 3	農林部部長陳濟棠就職
page 3	洛陽商民葉樹森長期捐款
page 3	湘北我迭克要點荊當以東殲斃日軍三百鎮海日軍仍在我圍攻中
page 5	呂逆請日派兵赴援
page 5	鍾部偽軍尚未解決
page 5	江會各線最近戰情
page 5	我鞏固公益封鎖線
page 5	決擴增巡江隊實力
page 5	南海賊黨截劫拖渡劫去日貨值萬餘元擄去搭客五十餘人
page 5	中山加緊戰時措施林卓夫就職後各機關已一律恢復調整國民兵團組織實行軍民合作
page 5	澳門物價飛漲
page 5	納金緩役辦法略變更中籤後申請須倍課緩役金
page 5	我機飛汕投下大批傳單
page 5	粵振濟會救濟從化義民
page 5	各方捐款救濟粵省義民
page 5	曲江縣加緊實施新制全縣人口經已統計完畢曲江興寧茂名設衛生院
page 5	中央嘉獎粵兒童教養院
page 5	粵路日軍增援二千我分三路圍攻石角砲隊施威摧毀石角近郊日陣太平場日偽北竄坭岡被痛殲
page 5	新街日偽增援二千
page 5	砲隊施威猛攻石角
page 5	太平場日軍犯坭崗
page 5	日閥強調傷兵作戰
page 5	大良容奇匪盜猖獗一夕間發生劫案三十五宗
page 5	增城擊落日機
page 5	民廳指示各縣救濟糧食辦法
page 5	婆蘿島昨晨日偽軍劇戰鍾部偽軍卸脫軍服據山地抵抗江會線我流動砲隊屢挫日汽艇
page 6	鹽田貨運停頓
page 6	日偽數百增防
page 6	嶺東軍事漸有進展潮安全城已被我軍控制蚺蛇梯雲等山先後為我收復再襲菴埠燬日機車軍品甚夥
page 6	潮城內圍被我控制
page 6	襲擊菴埠再收戰果
page 6	台山當局奉令開始訓練國民後備兵年齡十八歲至二十歲訓練時間規定兩個月
page 6	屠殺民眾洩憤
page 6	西江日艦艇四出竄擾三水日軍續增加
page 6	日艦進擾青岐
page 6	日軍最近動態
page 6	團管區駐地各縣設兵役示範縣粵軍區管轉飭遵照
page 6	粵北便衣隊炸燬廣花路橋
page 6	番禺團隊襲擊沙灣日軍大搜捕鄉民
page 6	桂軍民合作站積極擴大組織
page 6	粵府在東江各縣設站保護香港僑胞歸國各站長及護隊主任經已委定匯款返國一律優待不收匯水
page 6	設站招待
page 6	沿途保護
page 6	優待匯款
page 6	桂重申禁令不准行使法光分派員警嚴密查緝
page 6	香港邊境交通近況除沙魚涌鹵用外其餘盡被封鎖日　常來偵察商人仍不敢運貨
page 7	各區業主開始繳納戰稅
page 7	婦女兵災會賑濟新界義民陳丕士招集義民唱國歌
page 7	跑馬地景光街五賊械劫住戶掠去銀物共值千餘元遺下利刃從天台逃遁
page 7	澳洲意領撤退昨日過港赴日
page 7	中澳貨運停頓日軍又封鎖中山
page 7	塔門海面賊劫貨艇掠鎢砂卅包豬十頭共值港幣二千餘元
page 7	中國新聞學院昨舉行畢業禮由張一　頒發證書
page 7	渣華輪船公司華人代理擴充營業
page 7	泰領碧金告休
page 7	小學生投筆從戎留書校長表明素志
page 7	立法局葡籍議員請解釋疏散婦孺問題該項命令出於英政府抑港政府疏散範圍是否僅限歐藉英婦孺
page 8	宣述案由
page 8	仍可開火
page 8	德國若不能攻佔英國本國則結果必須失敗
page 8	救傷隊三百人昨動員分赴廿一個服務站工作此次動員純係演習性質
page 8	被告自辯
page 8	犯殺人罪
page 8	兩人投海獲救
page 8	教育新例實施不遠港九各校勘查將竣校舍高度限制可通融辦理義學派員謁華人代表請援
page 8	高度限制准予通融
page 8	義學派員謁華代表
page 8	本港各孔教團體仍反對改用國曆祝聖商會將會議經過覆四公司四大公司決自行採用國曆
page 8	國內各院校統考結束僑委會公費生今晨口試
page 8	七七紀念花款尚有十餘團體未報繳
page 8	兒童保育會徵求會員成績徵得會員八百餘名李祖佑夫人獲冠軍
page 8	住客聯會會議
page 8	西安輪已出塢今日照常行走港澳
page 8	我政府派員來港調查禁茶出口真相本港商務統制專員有權特許運輸出口
page 8	　威行劫　案　犯李　繯首刑　有　殺人　誤　槍　聆判面色灰白繼且放聲大哭
page 10	足球總會首次月會本星期五舉行屆時將討論新會之請求書星島嶼隊參加甲組或成問題
page 10	東方隊實未班師回港侯澄滔來電續請假一月和和杯賽當可負責出席
page 10	學籃糾紛續訊
page 10	港九乒乓義賽今夕舉行名手對抗定有看頭
page 10	夏令籃球賽會定期召開會議今日高初級兩場角逐
page 10	宵來乙組籃賽精勵挫長虹虹
